"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Algeria","Algeria","0",2020-01-01,2020-01-31,31,2020,"1",44903228,17733,0,17619.9204533855,113.079546614474,17733,0,0.251829437773324,0.0064177103928269,4004.22580645161,0,3978.6917152806,25.5340911710102,4004.22580645161,0,0.0568647117552666
"Algeria","Algeria","0",2020-02-01,2020-02-29,29,2020,"2",44903228,15909,0,16206.8164456396,-297.816445639603,15909,0,-0.663240615217246,-0.018375999175318,3840.10344827586,0,3911.9901765337,-71.8867282578351,3840.10344827586,0,-0.160092562293818
"Algeria","Algeria","0",2020-03-01,2020-03-31,31,2020,"3",44903228,15951,44,15764.0306800772,186.969319922837,15907,0.0979885009603319,0.416382804200261,0.0118605021594593,3601.83870967742,9.93548387096774,3559.61983098517,42.2188786922535,3591.90322580645,0.0221264357007201,0.0940219235290912
"Algeria","Algeria","0",2020-04-01,2020-04-30,30,2020,"4",44903228,15223,406,14775.3151742682,447.684825731774,14817,0.904166622497607,0.996999204003272,0.0302995110731332,3552.03333333333,94.7333333333333,3447.57354066259,104.459792670747,3457.3,0.210972211916108,0.232633147600763
"Algeria","Algeria","0",2020-05-01,2020-05-31,31,2020,"5",44903228,14596,203,14779.0306800772,-183.030680077165,14393,0.452083311248804,-0.407611408420715,-0.0123844847499978,3295.87096774194,45.8387096774194,3337.20047614646,-41.3295084045211,3250.03225806452,0.102083328346504,-0.0920412857724196
"Algeria","Algeria","0",2020-06-01,2020-06-30,30,2020,"6",44903228,18704,259,14401.0651742682,4302.93482573177,18445,0.576795948834681,9.58268484780599,0.298792816618888,4364.26666666667,60.4333333333333,3360.24854066259,1004.01812600408,4303.83333333333,0.134585721394759,2.2359597978214
"Algeria","Algeria","0",2020-07-01,2020-07-31,31,2020,"7",44903228,33940,298,15196.0306800772,18743.9693199228,33642,0.663649392867702,41.7430330842202,1.23347798609654,7663.87096774193,67.2903225806452,3431.36176646904,4232.5092012729,7596.58064516129,0.149856314518513,9.42584618030779
"Algeria","Algeria","0",2020-08-01,2020-08-31,31,2020,"8",44903228,23991,300,15190.6306800772,8800.36931992284,23691,0.668103415638626,19.5985226717394,0.579328765557095,5417.32258064516,67.741935483871,3430.14241163033,1987.18016901483,5349.58064516129,0.150862061595819,4.42547286136051
"Algeria","Algeria","0",2020-09-01,2020-09-30,30,2020,"9",44903228,17393,226,14218.0151742682,3174.98482573178,17167,0.503304573114432,7.07072735557403,0.223307176621802,4058.36666666667,52.7333333333333,3317.53687399592,740.829792670748,4005.63333333333,0.117437733726701,1.64983638296727
"Algeria","Algeria","0",2020-10-01,2020-10-31,31,2020,"10",44903228,19279,228,15225.4806800772,4053.51931992283,19051,0.507758595885356,9.02723367665869,0.266232600802347,4353.32258064516,51.4838709677419,3438.01176646904,915.310814176123,4301.83870967742,0.114655166812822,2.0384076044068
"Algeria","Algeria","0",2020-11-01,2020-11-30,30,2020,"11",44903228,26916,467,15427.5651742682,11488.4348257318,26449,1.04001431701079,25.5848751580438,0.744669343215185,6280.4,108.966666666667,3599.76520732925,2680.63479267075,6171.43333333333,0.242670007302519,5.96980420354356
"Algeria","Algeria","0",2020-12-01,2020-12-31,31,2020,"12",44903228,21434,325,16456.2806800772,4977.71931992283,21109,0.723778700275178,11.0854375991028,0.302481430445527,4839.93548387097,73.3870967741936,3715.9343471142,1124.00113675677,4766.54838709677,0.163433900062137,2.50316332882965
"Algeria","Algeria","0",2021-01-01,2021-01-31,31,2021,"1",44903228,18263,135,17931.2742401035,331.72575989653,18128,0.300646537037382,0.738757044140635,0.0184998430928363,4123.90322580645,30.4838709677419,4048.99740905562,74.9058167508293,4093.41935483871,0.0678879277181185,0.166816106741434
"Algeria","Algeria","0",2021-02-01,2021-02-28,28,2021,"2",44903228,14860,92,15929.1834812349,-1069.18348123487,14768,0.204885047462512,-2.38108378585804,-0.0671210475097109,3715,23,3982.29587030872,-267.295870308717,3692,0.051221261865628,-0.59527094646451
"Algeria","Algeria","0",2021-03-01,2021-03-31,31,2021,"3",44903228,16320,110,16075.3844667951,244.615533204889,16210,0.24497125240083,0.544761577508168,0.0152167765386988,3685.16129032258,24.8387096774194,3629.92552476019,55.2357655623944,3660.32258064516,0.0553160892518002,0.123010678792167
