"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Bulgaria","Bulgaria","0",2019-12-30,2020-01-05,7,2020,"1",6781955,2091,0,2472.47799625469,-381.477996254687,2091,0,-5.62489719048102,-0.154289743663058
"Bulgaria","Bulgaria","0",2020-01-06,2020-01-12,7,2020,"2",6781955,2262,0,2493.47799625468,-231.477996254681,2262,0,-3.41314556429055,-0.0928333823688727
"Bulgaria","Bulgaria","0",2020-01-13,2020-01-19,7,2020,"3",6781955,2166,0,2438.97799625468,-272.977996254681,2166,0,-4.02506351420323,-0.111923107413789
"Bulgaria","Bulgaria","0",2020-01-20,2020-01-26,7,2020,"4",6781955,2375,0,2457.14466292135,-82.1446629213483,2375,0,-1.21122394532769,-0.0334309428992613
"Bulgaria","Bulgaria","0",2020-01-27,2020-02-02,7,2020,"5",6781955,2414,0,2423.31132958801,-9.31132958801481,2414,0,-0.137295655721909,-0.0038423992304768
"Bulgaria","Bulgaria","0",2020-02-03,2020-02-09,7,2020,"6",6781955,2328,0,2286.14466292135,41.8553370786522,2328,0,0.617157398989704,0.0183082627086106
"Bulgaria","Bulgaria","0",2020-02-10,2020-02-16,7,2020,"7",6781955,2286,0,2265.31132958801,20.6886704119852,2286,0,0.305054669516167,0.00913281549505496
"Bulgaria","Bulgaria","0",2020-02-17,2020-02-23,7,2020,"8",6781955,2142,0,2233.64466292135,-91.6446629213478,2142,0,-1.35130154831974,-0.0410292041713954
"Bulgaria","Bulgaria","0",2020-02-24,2020-03-01,7,2020,"9",6781955,2152,0,2244.77359550562,-92.7735955056173,2152,0,-1.36794767151385,-0.0413287093590927
"Bulgaria","Bulgaria","0",2020-03-02,2020-03-08,7,2020,"10",6781955,2011,0,2233.57359550562,-222.573595505618,2011,0,-3.2818500787106,-0.0996490986253951
"Bulgaria","Bulgaria","0",2020-03-09,2020-03-15,7,2020,"11",6781955,2000,2,2167.17359550562,-167.173595505617,1998,0.0294900216825384,-2.46497647810428,-0.0771389960879505
"Bulgaria","Bulgaria","0",2020-03-16,2020-03-22,7,2020,"12",6781955,1970,1,2128.17359550562,-158.173595505617,1969,0.0147450108412692,-2.33227138053286,-0.0743236340492412
"Bulgaria","Bulgaria","0",2020-03-23,2020-03-29,7,2020,"13",6781955,1999,5,2107.57359550562,-108.573595505618,1994,0.0737250542063461,-1.60091884280592,-0.0515159213121431
"Bulgaria","Bulgaria","0",2020-03-30,2020-04-05,7,2020,"14",6781955,1951,12,2097.17359550562,-146.173595505617,1939,0.176940130095231,-2.15533125043763,-0.0697002841438006
"Bulgaria","Bulgaria","0",2020-04-06,2020-04-12,7,2020,"15",6781955,1920,9,2039.17359550562,-119.173595505617,1911,0.132705097571423,-1.75721595772336,-0.0584421040799462
"Bulgaria","Bulgaria","0",2020-04-13,2020-04-19,7,2020,"16",6781955,2024,13,2030.97359550562,-6.9735955056176,2011,0.1916851409365,-0.102825741332958,-0.00343362194419938
"Bulgaria","Bulgaria","0",2020-04-20,2020-04-26,7,2020,"17",6781955,1981,14,2017.17359550562,-36.1735955056174,1967,0.206430151777769,-0.533380057898016,-0.0179328123202754
"Bulgaria","Bulgaria","0",2020-04-27,2020-05-03,7,2020,"18",6781955,1891,17,1977.77359550562,-86.7735955056178,1874,0.250665184301577,-1.27947760646624,-0.0438743826405641
"Bulgaria","Bulgaria","0",2020-05-04,2020-05-10,7,2020,"19",6781955,1913,18,1995.17359550562,-82.1735955056172,1895,0.265410195142846,-1.2116505565964,-0.0411861883551004
"Bulgaria","Bulgaria","0",2020-05-11,2020-05-17,7,2020,"20",6781955,2087,17,1934.37359550562,152.626404494382,2070,0.250665184301577,2.25047798893361,0.0789022373180648
"Bulgaria","Bulgaria","0",2020-05-18,2020-05-24,7,2020,"21",6781955,1898,22,1939.77359550562,-41.7735955056173,1876,0.324390238507923,-0.615952118609123,-0.0215352944294144
"Bulgaria","Bulgaria","0",2020-05-25,2020-05-31,7,2020,"22",6781955,1799,10,1918.37359550562,-119.373595505617,1789,0.147450108412692,-1.76016495989162,-0.0622264588009797
"Bulgaria","Bulgaria","0",2020-06-01,2020-06-07,7,2020,"23",6781955,1922,20,1883.57359550562,38.4264044943827,1902,0.294900216825384,0.56659775086067,0.0204007980288488
"Bulgaria","Bulgaria","0",2020-06-08,2020-06-14,7,2020,"24",6781955,1951,14,1899.17359550562,51.8264044943826,1937,0.206430151777769,0.764180896133675,0.027288924307409
"Bulgaria","Bulgaria","0",2020-06-15,2020-06-21,7,2020,"25",6781955,1930,25,1926.37359550562,3.62640449438277,1905,0.368625271031731,0.0534713735845014,0.00188250321892047
"Bulgaria","Bulgaria","0",2020-06-22,2020-06-28,7,2020,"26",6781955,1904,20,1923.97359550562,-19.9735955056176,1884,0.294900216825384,-0.294510882269458,-0.0103814291174659
"Bulgaria","Bulgaria","0",2020-06-29,2020-07-05,7,2020,"27",6781955,2138,27,1862.77359550562,275.226404494383,2111,0.398115292714269,4.05821631807322,0.147750862025547
"Bulgaria","Bulgaria","0",2020-07-06,2020-07-12,7,2020,"28",6781955,2043,22,1905.37359550562,137.626404494382,2021,0.324390238507923,2.02930282631457,0.0722306663737833
"Bulgaria","Bulgaria","0",2020-07-13,2020-07-19,7,2020,"29",6781955,1846,32,1837.77359550562,8.22640449438268,1814,0.471840346920615,0.121298423454338,0.00447628832762681
"Bulgaria","Bulgaria","0",2020-07-20,2020-07-26,7,2020,"30",6781955,1987,40,1935.97359550562,51.0264044943824,1947,0.589800433650769,0.752384887460657,0.0263569733661868
"Bulgaria","Bulgaria","0",2020-07-27,2020-08-02,7,2020,"31",6781955,2161,48,1927.77359550562,233.226404494383,2113,0.707760520380923,3.43892586273992,0.120982259036084
"Bulgaria","Bulgaria","0",2020-08-03,2020-08-09,7,2020,"32",6781955,2059,59,1899.17359550562,159.826404494383,2000,0.869955639634884,2.35664206699075,0.0841557637872656
"Bulgaria","Bulgaria","0",2020-08-10,2020-08-16,7,2020,"33",6781955,1975,51,1823.77359550562,151.226404494382,1924,0.75199555290473,2.22983497375583,0.0829195053964231
"Bulgaria","Bulgaria","0",2020-08-17,2020-08-23,7,2020,"34",6781955,1911,47,1798.97359550562,112.026404494382,1864,0.693015509539653,1.65183054877808,0.0622724006479352
"Bulgaria","Bulgaria","0",2020-08-24,2020-08-30,7,2020,"35",6781955,1937,68,1782.57359550562,154.426404494382,1869,1.00266073720631,2.2770190084479,0.0866311522193171
"Bulgaria","Bulgaria","0",2020-08-31,2020-09-06,7,2020,"36",6781955,1946,63,1780.57359550562,165.426404494382,1883,0.928935682999961,2.43921412770186,0.0929062437587185
"Bulgaria","Bulgaria","0",2020-09-07,2020-09-13,7,2020,"37",6781955,1912,44,1781.77359550562,130.226404494383,1868,0.648780477015846,1.92018974608918,0.0730880762981718
"Bulgaria","Bulgaria","0",2020-09-14,2020-09-20,7,2020,"38",6781955,1849,41,1778.37359550562,70.6264044943821,1808,0.604545444492038,1.04138709994953,0.0397140424671578
"Bulgaria","Bulgaria","0",2020-09-21,2020-09-27,7,2020,"39",6781955,1844,35,1767.97359550562,76.0264044943824,1809,0.516075379444423,1.12101015849239,0.0430020022287945
"Bulgaria","Bulgaria","0",2020-09-28,2020-10-04,7,2020,"40",6781955,1986,48,1913.57359550562,72.4264044943827,1938,0.707760520380923,1.06792811946382,0.0378487687458113
"Bulgaria","Bulgaria","0",2020-10-05,2020-10-11,7,2020,"41",6781955,2084,48,1949.77359550562,134.226404494383,2036,0.707760520380923,1.97916978945426,0.0688420464836457
"Bulgaria","Bulgaria","0",2020-10-12,2020-10-18,7,2020,"42",6781955,2157,94,2023.57359550562,133.426404494383,2063,1.38603101907931,1.96737378078125,0.0659360276249525
"Bulgaria","Bulgaria","0",2020-10-19,2020-10-25,7,2020,"43",6781955,2372,108,2017.97359550562,354.026404494382,2264,1.59246117085708,5.22012317236523,0.175436589102484
"Bulgaria","Bulgaria","0",2020-10-26,2020-11-01,7,2020,"44",6781955,2732,204,2051.57359550562,680.426404494382,2528,3.00798221161892,10.0328947109555,0.331660733977564
"Bulgaria","Bulgaria","0",2020-11-02,2020-11-08,7,2020,"45",6781955,3236,367,2067.77359550562,1168.22640449438,2869,5.4114189787458,17.2255109993266,0.564968237834918
"Bulgaria","Bulgaria","0",2020-11-09,2020-11-15,7,2020,"46",6781955,3948,465,2089.97359550562,1858.02640449438,3483,6.85643004119019,27.3966194776341,0.889019080666844
"Bulgaria","Bulgaria","0",2020-11-16,2020-11-22,7,2020,"47",6781955,4407,750,2044.97359550562,2362.02640449438,3657,11.0587581309519,34.8281049416338,1.15504005024103
"Bulgaria","Bulgaria","0",2020-11-23,2020-11-29,7,2020,"48",6781955,4739,934,2069.77359550562,2669.22640449438,3805,13.7718401257455,39.3577722720717,1.28962240618512
"Bulgaria","Bulgaria","0",2020-11-30,2020-12-06,7,2020,"49",6781955,4753,983,2119.37359550562,2633.62640449438,3770,14.4943456569676,38.8328498861225,1.2426437745942
