"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Cape Verde","Cape Verde","0",2020-01-01,2020-01-31,31,2020,"1",593162,250,0,253.185412485556,-3.1854124855565,250,0,-0.537022345591339,-0.0125813428755032,56.4516129032258,0,57.1708995935128,-0.719286690286951,56.4516129032258,0,-0.121263110294818
"Cape Verde","Cape Verde","0",2020-02-01,2020-02-29,29,2020,"2",593162,226,0,230.179402770667,-4.179402770667,226,0,-0.704597187727298,-0.0181571535956717,54.551724137931,0,55.5605454963679,-1.00882135843686,54.551724137931,0,-0.17007518324452
"Cape Verde","Cape Verde","0",2020-03-01,2020-03-31,31,2020,"3",593162,212,1,256.222494982668,-44.2224949826685,211,0.168588007997815,-7.45538233782145,-0.17259411585099,47.8709677419355,0.225806451612903,57.8566924154413,-9.98572467350579,47.6451612903226,0.0380682598704744,-1.68347343112097
"Cape Verde","Cape Verde","0",2020-04-01,2020-04-30,30,2020,"4",593162,221,0,214.615317725163,6.38468227483702,221,0,1.07638086641373,0.0297494248896681,51.5666666666667,0,50.0769074692047,1.48975919746197,51.5666666666667,0,0.251155535496537
"Cape Verde","Cape Verde","0",2020-05-01,2020-05-31,31,2020,"5",593162,206,3,208.622494982668,-2.62249498266843,203,0.505764023993445,-0.442121205112335,-0.0125705283262301,46.5161290322581,0.67741935483871,47.1083053186671,-0.592176286409,45.8387096774194,0.114204779611423,-0.0998338205092369
"Cape Verde","Cape Verde","0",2020-06-01,2020-06-30,30,2020,"6",593162,245,11,203.215317725163,41.784682274837,234,1.85446808797597,7.04439634953638,0.205617778928203,57.1666666666667,2.56666666666667,47.4169074692047,9.74975919746197,54.6,0.432709220527725,1.64369248155849
"Cape Verde","Cape Verde","0",2020-07-01,2020-07-31,31,2020,"7",593162,227,8,222.422494982668,4.57750501733156,219,1.34870406398252,0.771712452471932,0.0205802251147675,51.258064516129,1.80645161290323,50.2244343509251,1.0336301652039,49.4516129032258,0.304546078963795,0.174257650558178
"Cape Verde","Cape Verde","0",2020-08-01,2020-08-31,31,2020,"8",593162,259,17,250.022494982668,8.97750501733151,242,2.86599613596286,1.51349968766231,0.0359067891789251,58.4838709677419,3.83870967741935,56.4566924154413,2.02717855230066,54.6451612903226,0.647160417798064,0.341757993988264
"Cape Verde","Cape Verde","0",2020-09-01,2020-09-30,30,2020,"9",593162,283,20,233.215317725163,49.784682274837,263,3.3717601599563,8.3931004135189,0.21347089359502,66.0333333333333,4.66666666666667,54.4169074692047,11.6164258641286,61.3666666666667,0.786744037323137,1.95839009648774
"Cape Verde","Cape Verde","0",2020-10-01,2020-10-31,31,2020,"10",593162,293,35,235.822494982668,57.1775050173316,258,5.90058027992353,9.63944167315701,0.242459927419281,66.1612903225806,7.90322580645161,53.250240802538,12.9110495200426,58.258064516129,1.3323890954666,2.17664811974513
"Cape Verde","Cape Verde","0",2020-11-01,2020-11-30,30,2020,"11",593162,264,10,225.015317725163,38.984682274837,254,1.68588007997815,6.57234992714249,0.173253459670925,61.6,2.33333333333333,52.5035741358714,9.09642586412862,59.2666666666667,0.393372018661569,1.53354831633325
"Cape Verde","Cape Verde","0",2020-12-01,2020-12-31,31,2020,"12",593162,273,8,239.422494982668,33.5775050173316,265,1.34870406398252,5.66076468440857,0.140243735325547,61.6451612903226,1.80645161290323,54.0631440283445,7.58201726197809,59.8387096774194,0.304546078963795,1.27823718680193
"Cape Verde","Cape Verde","0",2021-01-01,2021-01-31,31,2021,"1",593162,243,21,255.326244146446,-12.3262441464457,222,3.54034816795412,-2.07805694674401,-0.0482764479916754,54.8709677419355,4.74193548387097,57.6543131943587,-2.78334545242322,50.1290322580645,0.799433457279962,-0.469238665393809
