"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Chile","Chile","0",2019-12-30,2020-01-05,7,2020,"1",19603736,1535,0,1921.33442622987,-386.334426229874,1535,0,-1.97071836832466,-0.201076096360776
"Chile","Chile","0",2020-01-06,2020-01-12,7,2020,"2",19603736,2053,0,1954.33442622956,98.665573770435,2053,0,0.503299849428879,0.0504855118173337
"Chile","Chile","0",2020-01-13,2020-01-19,7,2020,"3",19603736,2057,0,1994.73442622956,62.2655737704358,2057,0,0.317620956385231,0.0312149692468735
"Chile","Chile","0",2020-01-20,2020-01-26,7,2020,"4",19603736,1964,0,1989.53442622956,-25.5344262295646,1964,0,-0.13025285705523,-0.012834372651674
"Chile","Chile","0",2020-01-27,2020-02-02,7,2020,"5",19603736,1970,0,1994.53442622956,-24.5344262295646,1970,0,-0.125151788565019,-0.0123008286580162
"Chile","Chile","0",2020-02-03,2020-02-09,7,2020,"6",19603736,1994,0,1936.73442622956,57.2655737704354,1994,0,0.292115613934177,0.029568108561957
"Chile","Chile","0",2020-02-10,2020-02-16,7,2020,"7",19603736,1909,0,1917.13442622956,-8.1344262295645,1909,0,-0.0414942653255711,-0.00424301296678631
"Chile","Chile","0",2020-02-17,2020-02-23,7,2020,"8",19603736,1899,0,1952.93442622956,-53.9344262295645,1899,0,-0.2751232021772,-0.0276171209361561
"Chile","Chile","0",2020-02-24,2020-03-01,7,2020,"9",19603736,1884,0,1868.41803278693,15.5819672130704,1884,0,0.0794846819660822,0.00833965790290958
"Chile","Chile","0",2020-03-02,2020-03-08,7,2020,"10",19603736,1885,0,1875.16803278693,9.8319672130699,1885,0,0.050153538147371,0.00524324596044723
"Chile","Chile","0",2020-03-09,2020-03-15,7,2020,"11",19603736,1928,0,1881.16803278693,46.8319672130706,1928,0,0.238893072285153,0.0248951536475397
"Chile","Chile","0",2020-03-16,2020-03-22,7,2020,"12",19603736,2008,1,1891.91803278693,116.08196721307,2007,0.00510106849021023,0.592142065232209,0.0613567634545313
"Chile","Chile","0",2020-03-23,2020-03-29,7,2020,"13",19603736,2006,6,1927.41803278693,78.5819672130701,2000,0.0306064109412614,0.400851996849326,0.0407705883603493
"Chile","Chile","0",2020-03-30,2020-04-05,7,2020,"14",19603736,2081,27,1972.41803278693,108.581967213071,2054,0.137728849235676,0.553884051555635,0.0550501797327667
