"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Costa Rica","Costa Rica","0",2020-01-01,2020-01-31,31,2020,"1",5180836,2085,0,2187.94659049446,-102.946590494465,2085,0,-1.98706522450169,-0.0470516926426432,470.806451612903,0,494.052455918105,-23.2460043052017,470.806451612903,0,-0.448692147468124
"Costa Rica","Costa Rica","0",2020-02-01,2020-02-29,29,2020,"2",5180836,1954,0,1916.99823135349,37.0017686465128,1954,0,0.714204592589165,0.0193019315518033,471.655172413793,0,462.723711016359,8.93146139743413,471.655172413793,0,0.172394212004281
"Costa Rica","Costa Rica","0",2020-03-01,2020-03-31,31,2020,"3",5180836,2065,2,2061.53590859334,3.46409140666401,2063,0.0386038083429006,0.0668635603725733,0.00168034492740299,466.290322580645,0.451612903225806,465.508108392044,0.782214188601551,465.838709677419,0.00871698898065498,0.0150982233099359
"Costa Rica","Costa Rica","0",2020-04-01,2020-04-30,30,2020,"4",5180836,1816,4,2015.63475025162,-199.634750251615,1812,0.0772076166858013,-3.8533308186481,-0.0990431179194021,423.733333333333,0.933333333333333,470.31477505871,-46.5814417253769,422.8,0.0180151105600203,-0.899110524351223
"Costa Rica","Costa Rica","0",2020-05-01,2020-05-31,31,2020,"5",5180836,1869,4,2095.33590859334,-226.335908593336,1865,0.0772076166858013,-4.36871401822671,-0.108018913657277,422.032258064516,0.903225806451613,473.14036645656,-51.1081083920436,421.129032258065,0.01743397796131,-0.986483810567323
"Costa Rica","Costa Rica","0",2020-06-01,2020-06-30,30,2020,"6",5180836,1862,6,2095.43475025162,-233.434750251616,1856,0.115811425028702,-4.50573517964312,-0.111401583954635,434.466666666667,1.4,488.93477505871,-54.4681083920437,433.066666666667,0.0270226658400304,-1.0513382085834
"Costa Rica","Costa Rica","0",2020-07-01,2020-07-31,31,2020,"7",5180836,2046,134,2090.33590859334,-44.3359085933362,1912,2.58645515897434,-0.855767459022756,-0.0212099444931659,462,30.258064516129,472.011334198495,-10.0113341984953,431.741935483871,0.584038261703884,-0.193237813327719
"Costa Rica","Costa Rica","0",2020-08-01,2020-08-31,31,2020,"8",5180836,2292,286,2110.93590859334,181.064091406664,2006,5.52034459303479,3.49488174122215,0.0857743196605716,517.548387096774,64.5806451612903,476.662947101721,40.8854399950531,452.967741935484,1.24652942423366,0.789166844792098
"Costa Rica","Costa Rica","0",2020-09-01,2020-09-30,30,2020,"9",5180836,2506,468,2053.43475025162,452.565249748384,2038,9.03329115223875,8.7353710819718,0.220394268526394,584.733333333333,109.2,479.13477505871,105.598558274623,475.533333333333,2.10776793552238,2.03825325246009
"Costa Rica","Costa Rica","0",2020-10-01,2020-10-31,31,2020,"10",5180836,2502,481,2139.53590859334,362.464091406664,2021,9.2842159064676,6.99624715792324,0.169412483310444,564.967741935484,108.612903225806,483.12101161785,81.8467303176338,456.354838709677,2.09643584984752,1.57979774533751
"Costa Rica","Costa Rica","0",2020-11-01,2020-11-30,30,2020,"11",5180836,2406,341,2132.83475025162,273.165249748385,2065,6.58194932246456,5.27260947361362,0.128076143600041,561.4,79.5666666666667,497.661441725377,63.7385582746231,481.833333333333,1.53578817524173,1.23027554384318
"Costa Rica","Costa Rica","0",2020-12-01,2020-12-31,31,2020,"12",5180836,2767,459,2330.53590859334,436.464091406664,2308,8.8595740146957,8.42458806661056,0.187280569158921,624.806451612903,103.645161290323,526.250043875915,98.5564077369886,521.161290322581,2.00054897106032,1.90232633762174
"Costa Rica","Costa Rica","0",2021-01-01,2021-01-31,31,2021,"1",5180836,2678,419,2250.99189335889,427.008106641111,2259,8.08749784783769,8.24206955481917,0.189697754088282,604.709677419355,94.6129032258064,508.288492048781,96.4211853705735,510.096774193548,1.82620919144722,1.86111248012046
"Costa Rica","Costa Rica","0",2021-02-01,2021-02-28,28,2021,"2",5180836,2078,196,1907.83898858814,170.161011411858,1882,3.78317321760426,3.28443153598876,0.0891904465888826,519.5,49,476.959747147035,42.5402528529646,470.5,0.945793304401066,0.821107883997189
"Costa Rica","Costa Rica","0",2021-03-01,2021-03-31,31,2021,"3",5180836,2269,157,2124.58121145776,144.41878854224,2112,3.0303989549177,2.78755761699926,0.0679751791851479,512.354838709677,35.4516129032258,479.74414452272,32.6106941869574,476.903225806452,0.684283634981416,0.629448494161123
"Costa Rica","Costa Rica","0",2021-04-01,2021-04-30,30,2021,"4",5180836,2307,274,2076.6463336688,230.3536663312,2033,5.28872174297739,4.44626439306706,0.110925805033077,538.3,63.9333333333333,484.550811189387,53.7491888106133,474.366666666667,1.23403507336139,1.03746169171565
"Costa Rica","Costa Rica","0",2021-05-01,2021-05-31,31,2021,"5",5180836,3020,810,2158.38121145776,861.61878854224,2210,15.6345423788748,16.6308832887634,0.399196760965273,681.935483870968,182.903225806452,487.376402587236,194.559081283732,499.032258064516,3.53038053716527,3.755360742624
"Costa Rica","Costa Rica","0",2021-06-01,2021-06-30,30,2021,"6",5180836,2629,626,2156.4463336688,472.5536663312,2003,12.0829920113279,9.12118558339232,0.219135370518234,613.433333333333,146.066666666667,503.170811189387,110.262522143947,467.366666666667,2.81936480264318,2.12827663612488
"Costa Rica","Costa Rica","0",2021-07-01,2021-07-31,31,2021,"7",5180836,2485,363,2153.38121145776,331.61878854224,2122,7.00659121423647,6.40087407789476,0.153999109297395,561.129032258065,81.9677419354839,486.247370329172,74.8816619288928,479.161290322581,1.58213349998888,1.44535866275043
"Costa Rica","Costa Rica","0",2021-08-01,2021-08-31,31,2021,"8",5180836,2737,476,2173.98121145776,563.01878854224,2261,9.18770638561035,10.8673347031684,0.258980521807136,618.032258064516,107.483870967742,490.898983232397,127.133274832119,510.548387096774,2.07464337739589,2.45391428781221
"Costa Rica","Costa Rica","0",2021-09-01,2021-09-30,30,2021,"9",5180836,3162,880,2114.4463336688,1047.5536663312,2282,16.9856756708763,20.2197804819763,0.495426935009307,737.8,205.333333333333,493.370811189387,244.429188810613,532.466666666667,3.96332432320447,4.71794877912779
"Costa Rica","Costa Rica","0",2021-10-01,2021-10-31,31,2021,"10",5180836,2952,643,2202.58121145776,749.41878854224,2309,12.4111243822426,14.4652096407267,0.340245701109129,666.58064516129,145.193548387097,497.357047748526,169.223597412764,521.387096774194,2.80251195728058,3.26633766080926
"Costa Rica","Costa Rica","0",2021-11-01,2021-11-30,30,2021,"11",5180836,2345,270,2193.8463336688,151.1536663312,2075,5.21151412629159,2.9175535826882,0.0688989306185468,547.166666666667,63,511.897477856053,35.2691888106133,484.166666666667,1.21601996280137,0.680762502627246
"Costa Rica","Costa Rica","0",2021-12-01,2021-12-31,31,2021,"12",5180836,2352,54,2393.58121145776,-41.5812114577602,2298,1.04230282525832,-0.8025965588905,-0.017371966014237,531.096774193548,12.1935483870968,540.486080006591,-9.38930581304263,518.903225806452,0.235358702477685,-0.18123148103979
"Costa Rica","Costa Rica","0",2022-01-01,2022-01-31,31,2022,"1",5180836,2500,222,2314.03719622334,185.962803776659,2278,4.28502272606197,3.58943621795129,0.0803629276487698,564.516129032258,50.1290322580645,522.524528179464,41.9916008527939,514.387096774194,0.967585776852703,0.81051785566642
"Costa Rica","Costa Rica","0",2022-02-01,2022-02-28,28,2022,"2",5180836,2500,462,1964.78313311087,535.216866889127,2038,8.91747972721005,10.3307046756378,0.272405059810194,625,115.5,491.195783277718,133.804216722282,509.5,2.22936993180251,2.58267616890945
"Costa Rica","Costa Rica","0",2022-03-01,2022-03-31,31,2022,"3",5180836,2409,263,2187.62651432221,221.373485677787,2146,5.07640079709143,4.27292980665258,0.101193455202921,543.967741935484,59.3870967741936,493.980180653403,49.987561282081,484.58064516129,1.14628405095613,0.964855117631228
