"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Estonia","Estonia","0",2019-12-30,2020-01-05,7,2020,"1",1326064,294,0,336.032303370787,-42.0323033707867,294,0,-3.16970397890198,-0.125084115274498
"Estonia","Estonia","0",2020-01-06,2020-01-12,7,2020,"2",1326064,326,0,342.198970037454,-16.1989700374535,326,0,-1.2215828223565,-0.0473378690639559
"Estonia","Estonia","0",2020-01-13,2020-01-19,7,2020,"3",1326064,308,0,327.532303370787,-19.5323033707869,308,0,-1.47295329416883,-0.059634738832692
"Estonia","Estonia","0",2020-01-20,2020-01-26,7,2020,"4",1326064,299,0,330.032303370787,-31.0323033707869,299,0,-2.34018142192133,-0.0940280786269656
"Estonia","Estonia","0",2020-01-27,2020-02-02,7,2020,"5",1326064,307,0,334.698970037454,-27.6989700374536,307,0,-2.08881095010901,-0.0827578586045664
"Estonia","Estonia","0",2020-02-03,2020-02-09,7,2020,"6",1326064,271,0,329.698970037454,-58.6989700374536,271,0,-4.4265563379636,-0.178038075250236
"Estonia","Estonia","0",2020-02-10,2020-02-16,7,2020,"7",1326064,322,0,322.198970037454,-0.198970037453591,322,0,-0.0150045576573673,-0.0006175377824158
"Estonia","Estonia","0",2020-02-17,2020-02-23,7,2020,"8",1326064,331,0,337.86563670412,-6.86563670412022,331,0,-0.517745501282006,-0.0203206125698207
"Estonia","Estonia","0",2020-02-24,2020-03-01,7,2020,"9",1326064,315,0,334.038764044944,-19.0387640449443,315,0,-1.43573493021033,-0.0569956726411029
"Estonia","Estonia","0",2020-03-02,2020-03-08,7,2020,"10",1326064,293,0,335.038764044944,-42.0387640449443,293,0,-3.17019118571534,-0.125474328813202
"Estonia","Estonia","0",2020-03-09,2020-03-15,7,2020,"11",1326064,340,0,324.238764044944,15.7612359550557,340,0,1.1885727955103,0.0486099680322953
"Estonia","Estonia","0",2020-03-16,2020-03-22,7,2020,"12",1326064,311,0,312.438764044944,-1.43876404494426,311,0,-0.108498839041273,-0.00460494730652983
