"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Guatemala","Guatemala","0",2019-12-30,2020-01-05,7,2020,"1",17843914,1757,0,1670.24461610486,86.7553838951371,1757,0,0.486190327386341,0.0519417234210025
"Guatemala","Guatemala","0",2020-01-06,2020-01-12,7,2020,"2",17843914,1670,0,1679.24461610487,-9.24461610487288,1670,0,-0.0518082305534138,-0.00550522301290235
"Guatemala","Guatemala","0",2020-01-13,2020-01-19,7,2020,"3",17843914,1663,0,1662.57794943821,0.422050561793867,1663,0,0.00236523535023688,0.000253853097195611
"Guatemala","Guatemala","0",2020-01-20,2020-01-26,7,2020,"4",17843914,1607,0,1605.41128277154,1.58871722846061,1607,0,0.00890341226964336,0.000989601384710603
"Guatemala","Guatemala","0",2020-01-27,2020-02-02,7,2020,"5",17843914,1599,0,1557.91128277154,41.0887172284606,1599,0,0.230267402255249,0.0263742343244111
"Guatemala","Guatemala","0",2020-02-03,2020-02-09,7,2020,"6",17843914,1610,0,1609.07794943821,0.922050561793867,1610,0,0.00516731117283947,0.000573030388065332
"Guatemala","Guatemala","0",2020-02-10,2020-02-16,7,2020,"7",17843914,1586,0,1624.07794943821,-38.0779494382061,1586,0,-0.213394602990163,-0.0234458878352347
"Guatemala","Guatemala","0",2020-02-17,2020-02-23,7,2020,"8",17843914,1517,0,1605.91128277154,-88.9112827715394,1517,0,-0.498272311621427,-0.0553650028649734
"Guatemala","Guatemala","0",2020-02-24,2020-03-01,7,2020,"9",17843914,1565,0,1584.09353932585,-19.0935393258469,1565,0,-0.107003089825735,-0.0120532903214621
"Guatemala","Guatemala","0",2020-03-02,2020-03-08,7,2020,"10",17843914,1581,0,1627.09353932585,-46.0935393258469,1581,0,-0.258315184246275,-0.0283287581271725
"Guatemala","Guatemala","0",2020-03-09,2020-03-15,7,2020,"11",17843914,1478,0,1624.69353932585,-146.693539325847,1478,0,-0.822092839753919,-0.0902899751707736
"Guatemala","Guatemala","0",2020-03-16,2020-03-22,7,2020,"12",17843914,1394,1,1636.09353932585,-242.093539325847,1393,0.00560415164520519,-1.35672890670649,-0.147970475713511
"Guatemala","Guatemala","0",2020-03-23,2020-03-29,7,2020,"13",17843914,1329,0,1664.89353932585,-335.893539325847,1329,0,-1.88239833102674,-0.201750761470225
"Guatemala","Guatemala","0",2020-03-30,2020-04-05,7,2020,"14",17843914,1305,1,1651.29353932585,-346.293539325847,1304,0.00560415164520519,-1.94068150813688,-0.209710467024066
"Guatemala","Guatemala","0",2020-04-06,2020-04-12,7,2020,"15",17843914,1259,3,1629.69353932585,-370.693539325847,1256,0.0168124549356156,-2.07742280827988,-0.227462115042311
"Guatemala","Guatemala","0",2020-04-13,2020-04-19,7,2020,"16",17843914,1314,2,1656.29353932585,-342.293539325847,1312,0.0112083032904104,-1.91826490155605,-0.206662364610303
"Guatemala","Guatemala","0",2020-04-20,2020-04-26,7,2020,"17",17843914,1405,8,1715.89353932585,-310.893539325847,1397,0.0448332131616416,-1.74229453989661,-0.181184631913698
"Guatemala","Guatemala","0",2020-04-27,2020-05-03,7,2020,"18",17843914,1351,2,1657.49353932585,-306.493539325847,1349,0.0112083032904104,-1.71763627265771,-0.184913866663099
"Guatemala","Guatemala","0",2020-05-04,2020-05-10,7,2020,"19",17843914,1375,9,1623.09353932585,-248.093539325847,1366,0.0504373648068467,-1.39035381657773,-0.152852274570012
"Guatemala","Guatemala","0",2020-05-11,2020-05-17,7,2020,"20",17843914,1402,7,1646.09353932585,-244.093539325847,1395,0.0392290615164364,-1.3679372099969,-0.148286554496663
"Guatemala","Guatemala","0",2020-05-18,2020-05-24,7,2020,"21",17843914,1470,25,1611.69353932585,-141.693539325847,1445,0.14010379113013,-0.794072081527893,-0.0879159318248033
"Guatemala","Guatemala","0",2020-05-25,2020-05-31,7,2020,"22",17843914,1542,50,1548.89353932585,-6.89353932584686,1492,0.28020758226026,-0.0386324397542314,-0.00445062178311317
"Guatemala","Guatemala","0",2020-06-01,2020-06-07,7,2020,"23",17843914,1890,144,1678.49353932585,211.506460674153,1746,0.806997836909548,1.18531427955858,0.12600969602725
"Guatemala","Guatemala","0",2020-06-08,2020-06-14,7,2020,"24",17843914,1946,132,1623.09353932585,322.906460674153,1814,0.739748017167086,1.80961677283444,0.198945071772187
"Guatemala","Guatemala","0",2020-06-15,2020-06-21,7,2020,"25",17843914,2113,147,1677.49353932585,435.506460674153,1966,0.823810291845164,2.44064424808455,0.259617369882196
"Guatemala","Guatemala","0",2020-06-22,2020-06-28,7,2020,"26",17843914,2352,196,1665.69353932585,686.306460674153,2156,1.09841372246022,3.84616548070201,0.412024447757611
"Guatemala","Guatemala","0",2020-06-29,2020-07-05,7,2020,"27",17843914,2626,220,1681.69353932585,944.306460674153,2406,1.23291336194514,5.29203660516495,0.561521132472629
"Guatemala","Guatemala","0",2020-07-06,2020-07-12,7,2020,"28",17843914,2961,272,1659.09353932585,1301.90646067415,2689,1.52432924749581,7.29608123349032,0.784709499383119
"Guatemala","Guatemala","0",2020-07-13,2020-07-19,7,2020,"29",17843914,2785,266,1661.69353932585,1123.30646067415,2519,1.49070433762458,6.29517974965668,0.676000979777463
"Guatemala","Guatemala","0",2020-07-20,2020-07-26,7,2020,"30",17843914,2710,249,1669.49353932585,1040.50646067415,2461,1.39543375965609,5.83115599343369,0.623246772847241
"Guatemala","Guatemala","0",2020-07-27,2020-08-02,7,2020,"31",17843914,2576,261,1600.09353932585,975.906460674153,2315,1.46268357939856,5.46912779715343,0.609905881555726
"Guatemala","Guatemala","0",2020-08-03,2020-08-09,7,2020,"32",17843914,2386,216,1653.89353932585,732.106460674153,2170,1.21049675536432,4.10283562605241,0.44265633988302
"Guatemala","Guatemala","0",2020-08-10,2020-08-16,7,2020,"33",17843914,2225,168,1584.89353932585,640.106460674153,2057,0.941497476394473,3.58725367469353,0.403879784219721
"Guatemala","Guatemala","0",2020-08-17,2020-08-23,7,2020,"34",17843914,2128,215,1624.69353932585,503.306460674153,1913,1.20489260371912,2.82060572962946,0.309785475532201
"Guatemala","Guatemala","0",2020-08-24,2020-08-30,7,2020,"35",17843914,2127,146,1566.69353932585,560.306460674153,1981,0.818206140199958,3.14004237340615,0.357636287257082
"Guatemala","Guatemala","0",2020-08-31,2020-09-06,7,2020,"36",17843914,2029,112,1612.09353932585,416.906460674153,1917,0.627664984262982,2.33640702748373,0.258611830209615
"Guatemala","Guatemala","0",2020-09-07,2020-09-13,7,2020,"37",17843914,1957,105,1615.69353932585,341.306460674153,1852,0.588435922746545,1.91273316310622,0.211244553726794
"Guatemala","Guatemala","0",2020-09-14,2020-09-20,7,2020,"38",17843914,1932,162,1628.09353932585,303.906460674153,1770,0.907872566523241,1.70313789157554,0.186664005066928
"Guatemala","Guatemala","0",2020-09-21,2020-09-27,7,2020,"39",17843914,1907,110,1610.29353932585,296.706460674153,1797,0.616456680972571,1.66278799973006,0.184256133076439
"Guatemala","Guatemala","0",2020-09-28,2020-10-04,7,2020,"40",17843914,1812,64,1674.89353932585,137.106460674153,1748,0.358665705293132,0.768365397155315,0.0818598062831737
"Guatemala","Guatemala","0",2020-10-05,2020-10-11,7,2020,"41",17843914,1926,91,1642.29353932585,283.706460674153,1835,0.509977799713673,1.5899340283424,0.172750153295137
"Guatemala","Guatemala","0",2020-10-12,2020-10-18,7,2020,"42",17843914,1819,146,1617.29353932585,201.706460674153,1673,0.818206140199958,1.13039359343557,0.124718522500394
"Guatemala","Guatemala","0",2020-10-19,2020-10-25,7,2020,"43",17843914,1787,114,1604.49353932585,182.506460674153,1673,0.638873287553392,1.02279388184763,0.113747083550636
"Guatemala","Guatemala","0",2020-10-26,2020-11-01,7,2020,"44",17843914,1821,94,1592.69353932585,228.306460674153,1727,0.526790254649288,1.27946402719803,0.143346133475741
"Guatemala","Guatemala","0",2020-11-02,2020-11-08,7,2020,"45",17843914,1866,83,1600.29353932585,265.706460674153,1783,0.465144586552031,1.4890592987287,0.166036076597601
"Guatemala","Guatemala","0",2020-11-09,2020-11-15,7,2020,"46",17843914,1820,111,1579.49353932585,240.506460674153,1709,0.622060832617777,1.34783467726953,0.152268087640805
"Guatemala","Guatemala","0",2020-11-16,2020-11-22,7,2020,"47",17843914,1876,144,1581.69353932585,294.306460674153,1732,0.806997836909548,1.64933803578157,0.186070470262901
"Guatemala","Guatemala","0",2020-11-23,2020-11-29,7,2020,"48",17843914,1862,90,1555.09353932585,306.906460674153,1772,0.504373648068468,1.71995034651116,0.197355627113724
"Guatemala","Guatemala","0",2020-11-30,2020-12-06,7,2020,"49",17843914,1765,84,1565.69353932585,199.306460674153,1681,0.470748738197236,1.11694362948708,0.12729595905465
"Guatemala","Guatemala","0",2020-12-07,2020-12-13,7,2020,"50",17843914,1866,173,1610.29353932585,255.706460674153,1693,0.969518234620499,1.43301778227665,0.15879493671769
"Guatemala","Guatemala","0",2020-12-14,2020-12-20,7,2020,"51",17843914,1851,233,1603.89353932585,247.106460674153,1618,1.30576733333281,1.38482207812789,0.154066622637571
"Guatemala","Guatemala","0",2020-12-21,2020-12-27,7,2020,"52",17843914,1898,112,1694.89353932585,203.106460674153,1786,0.627664984262982,1.13823940573886,0.119834347091169
