"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ireland","Ireland","0",2019-12-30,2020-01-05,7,2020,"1",5023108,723,0,730.108380149734,-7.10838014973444,723,0,-0.141513583815726,-0.00973606158071572
"Ireland","Ireland","0",2020-01-06,2020-01-12,7,2020,"2",5023108,761,0,751.941713483111,9.05828651688887,761,0,0.180332306549827,0.0120465274827346
"Ireland","Ireland","0",2020-01-13,2020-01-19,7,2020,"3",5023108,673,0,728.941713483111,-55.9417134831108,673,0,-1.11368725265534,-0.0767437402035944
"Ireland","Ireland","0",2020-01-20,2020-01-26,7,2020,"4",5023108,659,0,706.941713483111,-47.941713483111,659,0,-0.954423306907019,-0.0678156523639007
"Ireland","Ireland","0",2020-01-27,2020-02-02,7,2020,"5",5023108,656,0,698.108380149778,-42.1083801497779,656,0,-0.838293346465532,-0.0603178264967161
"Ireland","Ireland","0",2020-02-03,2020-02-09,7,2020,"6",5023108,670,0,686.275046816444,-16.2750468164444,670,0,-0.324003521653215,-0.0237150496611273
"Ireland","Ireland","0",2020-02-10,2020-02-16,7,2020,"7",5023108,695,0,690.275046816444,4.72495318355573,695,0,0.094064335936152,0.00684502968106293
"Ireland","Ireland","0",2020-02-17,2020-02-23,7,2020,"8",5023108,669,0,659.108380149778,9.89161985022236,669,0,0.196922300898614,0.0150075771271101
"Ireland","Ireland","0",2020-02-24,2020-03-01,7,2020,"9",5023108,663,0,671.730056179736,-8.73005617973649,663,0,-0.173797899223678,-0.0129963757009566
"Ireland","Ireland","0",2020-03-02,2020-03-08,7,2020,"10",5023108,652,0,681.130056179737,-29.1300561797369,652,0,-0.579920960881927,-0.0427672452792922
"Ireland","Ireland","0",2020-03-09,2020-03-15,7,2020,"11",5023108,636,2,631.330056179737,4.66994382026292,634,0.0398159864370824,0.0929692099047625,0.0073969927054025
"Ireland","Ireland","0",2020-03-16,2020-03-22,7,2020,"12",5023108,666,2,624.730056179737,41.2699438202633,664,0.0398159864370824,0.821601761703377,0.0660604422854754
"Ireland","Ireland","0",2020-03-23,2020-03-29,7,2020,"13",5023108,718,42,623.930056179737,94.0699438202633,676,0.83613571517873,1.87274380364235,0.150770014825451
"Ireland","Ireland","0",2020-03-30,2020-04-05,7,2020,"14",5023108,880,112,613.330056179737,266.669943820263,768,2.22969524047661,5.30886343316255,0.434790275045831
"Ireland","Ireland","0",2020-04-06,2020-04-12,7,2020,"15",5023108,947,176,607.530056179736,339.469943820264,771,3.50380680646325,6.75816533947236,0.558770616148466
"Ireland","Ireland","0",2020-04-13,2020-04-19,7,2020,"16",5023108,893,276,587.530056179736,305.469943820264,617,5.49460612831737,6.08129357004197,0.519922241606674
"Ireland","Ireland","0",2020-04-20,2020-04-26,7,2020,"17",5023108,785,477,589.530056179737,195.469943820263,308,9.49611276524415,3.89141431600242,0.331569089262291
"Ireland","Ireland","0",2020-04-27,2020-05-03,7,2020,"18",5023108,699,216,583.930056179737,115.069943820263,483,4.3001265352049,2.29081166123171,0.197061176424259
"Ireland","Ireland","0",2020-05-04,2020-05-10,7,2020,"19",5023108,664,155,567.530056179737,96.4699438202634,509,3.08573894887388,1.92052298736685,0.169982087767544
"Ireland","Ireland","0",2020-05-11,2020-05-17,7,2020,"20",5023108,625,85,566.130056179736,58.869943820264,540,1.692179423576,1.17198244234972,0.103986607278052
"Ireland","Ireland","0",2020-05-18,2020-05-24,7,2020,"21",5023108,569,65,571.530056179737,-2.53005617973702,504,1.29401955920518,-0.0503683412687328,-0.00442681212016849
"Ireland","Ireland","0",2020-05-25,2020-05-31,7,2020,"22",5023108,588,46,572.730056179736,15.2699438202635,542,0.915767688052895,0.303993938021311,0.0266616770946475
"Ireland","Ireland","0",2020-06-01,2020-06-07,7,2020,"23",5023108,529,29,534.730056179737,-5.73005617973695,500,0.577331803337695,-0.114073919568063,-0.010715792227342
"Ireland","Ireland","0",2020-06-08,2020-06-14,7,2020,"24",5023108,545,27,551.530056179737,-6.53005617973679,518,0.537515816900612,-0.130000314142893,-0.0118398917820877
"Ireland","Ireland","0",2020-06-15,2020-06-21,7,2020,"25",5023108,521,9,546.130056179737,-25.1300561797369,512,0.179171938966871,-0.500288988007762,-0.0460147832835378
"Ireland","Ireland","0",2020-06-22,2020-06-28,7,2020,"26",5023108,524,20,539.330056179736,-15.3300561797364,504,0.398159864370824,-0.305190654466048,-0.0284242571020881
"Ireland","Ireland","0",2020-06-29,2020-07-05,7,2020,"27",5023108,485,6,547.730056179737,-62.7300561797366,479,0.119447959311247,-1.2488295330249,-0.114527321391236
"Ireland","Ireland","0",2020-07-06,2020-07-12,7,2020,"28",5023108,518,9,520.930056179736,-2.93005617973643,509,0.179171938966871,-0.0583315385561375,-0.00562466332087674
"Ireland","Ireland","0",2020-07-13,2020-07-19,7,2020,"29",5023108,579,7,534.330056179737,44.6699438202628,572,0.139355952529788,0.889288938646408,0.0835999085277672
"Ireland","Ireland","0",2020-07-20,2020-07-26,7,2020,"30",5023108,522,11,514.930056179737,7.06994382026335,511,0.218987925403953,0.14074839362927,0.0137299109566749
"Ireland","Ireland","0",2020-07-27,2020-08-02,7,2020,"31",5023108,477,0,503.930056179737,-26.9300561797367,477,0,-0.536123375801132,-0.053440067425015
"Ireland","Ireland","0",2020-08-03,2020-08-09,7,2020,"32",5023108,539,9,518.730056179737,20.2699438202634,530,0.179171938966871,0.403533904114015,0.0390760928131759
"Ireland","Ireland","0",2020-08-10,2020-08-16,7,2020,"33",5023108,539,2,524.930056179736,14.0699438202638,537,0.0398159864370824,0.280104346159067,0.0268034639179553
"Ireland","Ireland","0",2020-08-17,2020-08-23,7,2020,"34",5023108,549,3,536.530056179736,12.4699438202641,546,0.0597239796556236,0.248251557009408,0.0232418364575027
"Ireland","Ireland","0",2020-08-24,2020-08-30,7,2020,"35",5023108,555,0,536.930056179736,18.0699438202637,555,0,0.35973631903323,0.0336541857031278
"Ireland","Ireland","0",2020-08-31,2020-09-06,7,2020,"36",5023108,546,0,546.330056179737,-0.330056179736744,546,0,-0.0065707561879367,-0.000604133300014076
"Ireland","Ireland","0",2020-09-07,2020-09-13,7,2020,"37",5023108,616,7,565.530056179736,50.4699438202636,609,0.139355952529788,1.00475529931396,0.0892436100765319
"Ireland","Ireland","0",2020-09-14,2020-09-20,7,2020,"38",5023108,515,8,549.330056179737,-34.3300561797366,507,0.15926394574833,-0.683442525618335,-0.0624944071301718
"Ireland","Ireland","0",2020-09-21,2020-09-27,7,2020,"39",5023108,552,10,564.930056179736,-12.9300561797362,542,0.199079932185412,-0.257411470741545,-0.0228878885771701
"Ireland","Ireland","0",2020-09-28,2020-10-04,7,2020,"40",5023108,621,13,562.130056179737,58.8699438202634,608,0.258803911841035,1.1719824423497,0.104726554243241
"Ireland","Ireland","0",2020-10-05,2020-10-11,7,2020,"41",5023108,624,16,574.530056179737,49.4699438202634,608,0.318527891496659,0.984847306095418,0.086105058017691
"Ireland","Ireland","0",2020-10-12,2020-10-18,7,2020,"42",5023108,611,26,585.930056179737,25.0699438202635,585,0.517607823682071,0.499092271563014,0.0427865810191057
"Ireland","Ireland","0",2020-10-19,2020-10-25,7,2020,"43",5023108,632,30,601.530056179736,30.4699438202638,602,0.597239796556236,0.606595434943142,0.0506540670864821
"Ireland","Ireland","0",2020-10-26,2020-11-01,7,2020,"44",5023108,657,33,569.930056179737,87.0699438202633,624,0.656963776211859,1.73338785111257,0.152773033947177
"Ireland","Ireland","0",2020-11-02,2020-11-08,7,2020,"45",5023108,596,32,590.530056179736,5.46994382026355,564,0.637055782993318,0.108895604479608,0.00926276954580385
"Ireland","Ireland","0",2020-11-09,2020-11-15,7,2020,"46",5023108,646,32,619.330056179736,26.6699438202636,614,0.637055782993318,0.530945060712682,0.0430625698755425
