"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Kazakhstan","Kazakhstan","0",2020-01-01,2020-01-31,31,2020,"1",19196465,11867,0,12193.7762938636,-326.776293863633,11867,0,-1.70227327720824,-0.0267986131603939,2679.64516129032,0,2753.43335667889,-73.7881953885624,2679.64516129032,0,-0.384384288401861
"Kazakhstan","Kazakhstan","0",2020-02-01,2020-02-29,29,2020,"2",19196465,10842,0,10842.8187603118,-0.818760311762162,10842,0,-0.00426516190226775,-0.000075511758506841,2617.03448275862,0,2617.23211455801,-0.197631799390867,2617.03448275862,0,-0.00102952183847842
"Kazakhstan","Kazakhstan","0",2020-03-01,2020-03-31,31,2020,"3",19196465,8511,2,11040.3315526364,-2529.33155263637,8509,0.0104185848800808,-13.1760277355043,-0.229099238603245,1921.83870967742,0.451612903225806,2492.97809253079,-571.139382853374,1921.38709677419,0.00235258368259889,-2.97523206930742
"Kazakhstan","Kazakhstan","0",2020-04-01,2020-04-30,30,2020,"4",19196465,4441,23,11106.2498896481,-6665.2498896481,4418,0.119813726120929,-34.7212358611239,-0.600135055115286,1036.23333333333,5.36666666666667,2591.45830758456,-1555.22497425122,1030.86666666667,0.0279565360948834,-8.10162170092891
"Kazakhstan","Kazakhstan","0",2020-05-01,2020-05-31,31,2020,"5",19196465,14358,16,11175.5315526364,3182.46844736363,14342,0.0833486790406463,16.5784088235185,0.284771103045463,3242.12903225806,3.61290322580645,2523.50712478886,718.621907469207,3238.51612903226,0.0188206694607911,3.74351166982675
"Kazakhstan","Kazakhstan","0",2020-06-01,2020-06-30,30,2020,"6",19196465,14949,147,10847.8498896481,4101.1501103519,14802,0.765765988685938,21.364090265327,0.378061104465093,3488.1,34.3,2531.16497425122,956.935025748777,3453.8,0.178678730693385,4.98495439524296
"Kazakhstan","Kazakhstan","0",2020-07-01,2020-07-31,31,2020,"7",19196465,28178,605,11627.7315526364,16550.2684473636,27573,3.15162192622444,86.2151883034904,1.42334455972293,6362.77419354839,136.612903225806,2625.61680220821,3737.15739134018,6226.16129032258,0.711656563986163,19.4679457459495
"Kazakhstan","Kazakhstan","0",2020-08-01,2020-08-31,31,2020,"8",19196465,17835,1085,10557.3315526364,7277.66844736363,16750,5.65208229744383,37.9115032239719,0.689347342278576,4027.25806451613,245,2383.91357640176,1643.34448811437,3782.25806451613,1.2762766478099,8.56066201831623
"Kazakhstan","Kazakhstan","0",2020-09-01,2020-09-30,30,2020,"9",19196465,13672,197,10594.8498896481,3077.1501103519,13475,1.02623061068796,16.0297748067256,0.290438292415873,3190.13333333333,45.9666666666667,2472.13164091789,718.001692415443,3144.16666666667,0.239453809160523,3.74028078823598
"Kazakhstan","Kazakhstan","0",2020-10-01,2020-10-31,31,2020,"10",19196465,12489,144,11097.1315526364,1391.86844736363,12345,0.750138111365817,7.25064978038212,0.125425966229351,2820.09677419355,32.5161290322581,2505.80389898241,314.292875211143,2787.58064516129,0.16938602514712,1.63724349879596
"Kazakhstan","Kazakhstan","0",2020-11-01,2020-11-30,30,2020,"11",19196465,12388,258,10708.4498896481,1679.5501103519,12130,1.34399744953042,8.74926769252517,0.156843439308198,2890.53333333333,60.2,2498.63830758456,391.895025748777,2830.33333333333,0.313599404890432,2.04149579492254
"Kazakhstan","Kazakhstan","0",2020-12-01,2020-12-31,31,2020,"12",19196465,13083,272,10733.9315526364,2349.06844736363,12811,1.41692754369099,12.2369845039888,0.218845111490083,2954.22580645161,61.4193548387097,2423.7909957566,530.434810695013,2892.8064516129,0.319951380833449,2.76319004928779
"Kazakhstan","Kazakhstan","0",2021-01-01,2021-01-31,31,2021,"1",19196465,12478,377,12217.3534780758,260.646521924238,12101,1.96390324989523,1.35778395618276,0.0213341230072432,2817.61290322581,85.1290322580645,2758.75723698485,58.855666240957,2732.48387096774,0.44346202416989,0.306596377202558
"Kazakhstan","Kazakhstan","0",2021-02-01,2021-02-28,28,2021,"2",19196465,11186,263,10490.2239794559,695.776020544097,10923,1.37004391173062,3.62450076378176,0.0663261358295788,2796.5,65.75,2622.55599486398,173.944005136024,2730.75,0.342510977932656,0.906125190945439
"Kazakhstan","Kazakhstan","0",2021-03-01,2021-03-31,31,2021,"3",19196465,12476,2523,11063.9087368485,1412.0912631515,9953,13.1430448262219,7.35599634178221,0.127630414958912,2817.16129032258,569.709677419355,2498.30197283676,318.859317485823,2247.45161290323,2.9677843155985,1.66103143201534
