"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Latvia","Latvia","0",2019-12-30,2020-01-05,7,2020,"1",1850654,603,0,600.905898876454,2.09410112354612,603,0,0.113154653627643,0.00348490691714232
"Latvia","Latvia","0",2020-01-06,2020-01-12,7,2020,"2",1850654,591,0,605.072565543082,-14.0725655430815,591,0,-0.760410403191602,-0.0232576493208723
"Latvia","Latvia","0",2020-01-13,2020-01-19,7,2020,"3",1850654,537,0,605.572565543081,-68.5725655430814,537,0,-3.70531528546565,-0.113235918277746
"Latvia","Latvia","0",2020-01-20,2020-01-26,7,2020,"4",1850654,555,0,595.072565543082,-40.0725655430815,555,0,-2.16531915436821,-0.0673406368625145
"Latvia","Latvia","0",2020-01-27,2020-02-02,7,2020,"5",1850654,560,0,588.405898876415,-28.405898876415,560,0,-1.53491138140436,-0.0482760266860975
"Latvia","Latvia","0",2020-02-03,2020-02-09,7,2020,"6",1850654,534,0,569.405898876415,-35.4058988764149,534,0,-1.91315604518267,-0.0621804216399582
"Latvia","Latvia","0",2020-02-10,2020-02-16,7,2020,"7",1850654,545,0,586.072565543082,-41.0725655430815,545,0,-2.21935410633654,-0.0700810240196481
"Latvia","Latvia","0",2020-02-17,2020-02-23,7,2020,"8",1850654,543,0,601.405898876415,-58.4058988764149,543,0,-3.15595994045429,-0.0971156069229326
"Latvia","Latvia","0",2020-02-24,2020-03-01,7,2020,"9",1850654,523,0,617.687078651695,-94.6870786516951,523,0,-5.11641174696594,-0.153292956780609
"Latvia","Latvia","0",2020-03-02,2020-03-08,7,2020,"10",1850654,507,0,608.887078651695,-101.887078651695,507,0,-5.50546340113793,-0.167333290890836
"Latvia","Latvia","0",2020-03-09,2020-03-15,7,2020,"11",1850654,549,0,582.087078651695,-33.0870786516953,549,0,-1.78785870571675,-0.0568421459008088
"Latvia","Latvia","0",2020-03-16,2020-03-22,7,2020,"12",1850654,546,0,592.287078651695,-46.2870786516949,546,0,-2.5011200716987,-0.0781497356941578
"Latvia","Latvia","0",2020-03-23,2020-03-29,7,2020,"13",1850654,532,0,584.487078651695,-52.4870786516951,532,0,-2.83613677390237,-0.089800237796143
"Latvia","Latvia","0",2020-03-30,2020-04-05,7,2020,"14",1850654,571,1,571.087078651695,-0.0870786516950375,570,0.0540349519683312,-0.00470529076180839,-0.000152478763660091
"Latvia","Latvia","0",2020-04-06,2020-04-12,7,2020,"15",1850654,567,4,563.887078651695,3.11292134830501,563,0.216139807873325,0.168206555536854,0.00552046937437956
"Latvia","Latvia","0",2020-04-13,2020-04-19,7,2020,"16",1850654,514,0,540.287078651695,-26.287078651695,514,0,-1.42042103233208,-0.0486539095424886
"Latvia","Latvia","0",2020-04-20,2020-04-26,7,2020,"17",1850654,554,7,534.887078651695,19.1129213483047,547,0.378244663778318,1.03276578703013,0.0357326286446911
"Latvia","Latvia","0",2020-04-27,2020-05-03,7,2020,"18",1850654,522,4,499.087078651695,22.9129213483052,518,0.216139807873325,1.23809860450982,0.0459096665259406
"Latvia","Latvia","0",2020-05-04,2020-05-10,7,2020,"19",1850654,453,2,529.687078651695,-76.6870786516948,451,0.108069903936662,-4.14378261153597,-0.144778080762136
"Latvia","Latvia","0",2020-05-11,2020-05-17,7,2020,"20",1850654,587,1,519.287078651695,67.7129213483053,586,0.0540349519683312,3.65886445269106,0.130395929596628
"Latvia","Latvia","0",2020-05-18,2020-05-24,7,2020,"21",1850654,538,3,510.487078651695,27.5129213483049,535,0.162104855904994,1.48665938356413,0.0538954314396602
"Latvia","Latvia","0",2020-05-25,2020-05-31,7,2020,"22",1850654,506,2,514.487078651695,-8.48707865169513,504,0.108069903936662,-0.458598887295795,-0.0164961939839908
"Latvia","Latvia","0",2020-06-01,2020-06-07,7,2020,"23",1850654,505,1,491.287078651695,13.7129213483048,504,0.0540349519683312,0.740977046401153,0.0279122369469578
"Latvia","Latvia","0",2020-06-08,2020-06-14,7,2020,"24",1850654,523,3,469.087078651695,53.9129213483048,520,0.162104855904994,2.91318211552807,0.114931584777964
"Latvia","Latvia","0",2020-06-15,2020-06-21,7,2020,"25",1850654,514,2,517.687078651695,-3.6870786516954,512,0.108069903936662,-0.19923111784782,-0.00712221495135312
"Latvia","Latvia","0",2020-06-22,2020-06-28,7,2020,"26",1850654,560,0,488.087078651695,71.9129213483049,560,0,3.88581125095803,0.147336253086148
"Latvia","Latvia","0",2020-06-29,2020-07-05,7,2020,"27",1850654,516,0,484.487078651695,31.5129213483049,516,0,1.70279919143746,0.0650438840102896
"Latvia","Latvia","0",2020-07-06,2020-07-12,7,2020,"28",1850654,472,0,495.887078651695,-23.8870786516954,472,0,-1.29073714760811,-0.0481703994317492
