"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Lebanon","Lebanon","0",2020-01-01,2020-01-31,31,2020,"1",5489744,2803,0,2532.65029191752,270.34970808248,2803,0,4.92463233408479,0.106745770999356,632.935483870968,0,571.888775594279,61.0467082766889,632.935483870968,0,1.11201375285786
"Lebanon","Lebanon","0",2020-02-01,2020-02-29,29,2020,"2",5489744,2506,0,2407.91440518859,98.0855948114113,2506,0,1.78670617084169,0.0407346683918897,604.896551724138,0,581.220718493797,23.6758332303407,604.896551724138,0,0.431273903306614
"Lebanon","Lebanon","0",2020-03-01,2020-03-31,31,2020,"3",5489744,2241,12,2481.78035030103,-240.780350301028,2229,0.218589427849459,-4.38600325080784,-0.0970192024736688,506.032258064516,2.70967741935484,560.402014584103,-54.369756519587,503.322580645161,0.049358903062781,-0.990387830827576
"Lebanon","Lebanon","0",2020-04-01,2020-04-30,30,2020,"4",5489744,1852,12,2112.37453254938,-260.374532549382,1840,0.218589427849459,-4.74292667471165,-0.123261537448637,432.133333333333,2.8,492.887390928189,-60.7540575948559,429.333333333333,0.0510041998315404,-1.10668289076605
"Lebanon","Lebanon","0",2020-05-01,2020-05-31,31,2020,"5",5489744,2202,3,2155.18035030103,46.8196496989722,2199,0.0546473569623647,0.852856703317535,0.0217242374599567,497.225806451613,0.67741935483871,486.653627487329,10.572178964284,496.548387096774,0.0123397257656953,0.192580545910411
"Lebanon","Lebanon","0",2020-06-01,2020-06-30,30,2020,"6",5489744,1841,7,1958.57453254938,-117.574532549382,1834,0.127510499578851,-2.14171248330309,-0.0600306654637959,429.566666666667,1.63333333333333,457.000724261523,-27.4340575948559,427.933333333333,0.0297524499017319,-0.499732912770721
"Lebanon","Lebanon","0",2020-07-01,2020-07-31,31,2020,"7",5489744,1955,27,1939.38035030103,15.6196496989724,1928,0.491826212661283,0.284524190908945,0.00805393830897994,441.451612903226,6.09677419354839,437.924595229264,3.5270176739615,435.354838709677,0.111057531891257,0.0642473979471811
"Lebanon","Lebanon","0",2020-08-01,2020-08-31,31,2020,"8",5489744,2158,106,1913.18035030103,244.819649698972,2052,1.93087327933689,4.45958226283361,0.127964752335268,487.290322580645,23.9354838709677,432.008466197006,55.2818563836389,463.354838709677,0.436003643721233,1.0070024464463
"Lebanon","Lebanon","0",2020-09-01,2020-09-30,30,2020,"9",5489744,2237,200,1780.17453254938,456.825467450618,2037,3.64315713082432,8.32143479642435,0.256618359097857,521.966666666667,46.6666666666667,415.374057594856,106.592609071811,475.3,0.85006999719234,1.94166811916568
"Lebanon","Lebanon","0",2020-10-01,2020-10-31,31,2020,"10",5489744,2788,270,2178.98035030103,609.019649698972,2518,4.91826212661283,11.0937713980647,0.279497540955261,629.548387096774,60.9677419354839,492.027821035716,137.520566061058,568.58064516129,1.11057531891257,2.5050451544017
"Lebanon","Lebanon","0",2020-11-01,2020-11-30,30,2020,"11",5489744,2882,381,2036.37453254938,845.625467450618,2501,6.94021433422032,15.4037322587468,0.415260284360344,672.466666666667,88.9,475.154057594856,197.312609071811,583.566666666667,1.61938334465141,3.59420419370759
"Lebanon","Lebanon","0",2020-12-01,2020-12-31,31,2020,"12",5489744,3171,450,2093.98035030103,1077.01964969897,2721,8.19710354435471,19.6187590841936,0.514340857851957,716.032258064516,101.612903225806,472.834272648619,243.197985415897,614.41935483871,1.85095886485429,4.43004237385017
"Lebanon","Lebanon","0",2021-01-01,2021-01-31,31,2021,"1",5489744,4116,1614,2540.9770753512,1575.0229246488,2502,29.4002780457522,28.6902799957303,0.619849324863001,929.41935483871,364.451612903226,573.769017014786,355.650337823923,564.967741935484,6.63877246194405,6.47845032161651
"Lebanon","Lebanon","0",2021-02-01,2021-02-28,28,2021,"2",5489744,3947,1610,2332.40383965722,1614.59616034278,2337,29.3274149031357,29.4111375747718,0.692245542084199,986.75,402.5,583.100959914305,403.649040085695,584.25,7.33185372578393,7.35278439369295
"Lebanon","Lebanon","0",2021-03-01,2021-03-31,31,2021,"3",5489744,4299,1542,2490.10713373471,1808.89286626529,2757,28.0887414786555,32.9504047231582,0.726431743341214,970.741935483871,348.193548387097,562.282256004611,408.45967947926,622.548387096774,6.34261904356736,7.4404139697454
"Lebanon","Lebanon","0",2021-04-01,2021-04-30,30,2021,"4",5489744,3368,1044,2120.43271006584,1247.56728993416,2324,19.0172802229029,22.7254183425339,0.588355048482258,785.866666666667,243.6,494.767632348697,291.09903431797,542.266666666667,4.43736538534402,5.30259761325792
"Lebanon","Lebanon","0",2021-05-01,2021-05-31,31,2021,"5",5489744,2335,451,2163.5071337347,171.492866265295,1884,8.21531933000883,3.12387729309955,0.0792661431946653,527.258064516129,101.838709677419,488.533868907837,38.7241956082924,425.41935483871,1.85507210677619,0.705391646828931
"Lebanon","Lebanon","0",2021-06-01,2021-06-30,30,2021,"6",5489744,1912,122,1966.63271006584,-54.6327100658439,1790,2.22232584980283,-0.995177736263182,-0.0277798237496084,446.133333333333,28.4666666666667,458.88096568203,-12.7476323486969,417.666666666667,0.518542698287328,-0.232208138461409
"Lebanon","Lebanon","0",2021-07-01,2021-07-31,31,2021,"7",5489744,2064,55,1947.7071337347,116.292866265296,2009,1.00186821097669,2.11836592499205,0.0597075732029104,466.064516129032,12.4193548387097,439.804836649772,26.2596794792603,453.645161290323,0.226228305704413,0.47834069274014
"Lebanon","Lebanon","0",2021-08-01,2021-08-31,31,2021,"8",5489744,2475,147,1921.5071337347,553.492866265295,2328,2.67772049115587,10.082307412974,0.288051424086836,558.870967741935,33.1935483870968,433.888707617514,124.982260124422,525.677419354839,0.604646562519068,2.27665006099413
"Lebanon","Lebanon","0",2021-09-01,2021-09-30,30,2021,"9",5489744,2369,272,1788.23271006584,580.767289934156,2097,4.95469369792107,10.5791324683657,0.324771651175519,552.766666666667,63.4666666666667,417.254299015364,135.512367651303,489.3,1.15609519618158,2.46846424261866
"Lebanon","Lebanon","0",2021-10-01,2021-10-31,31,2021,"10",5489744,2229,177,2187.3071337347,41.6928662652949,2052,3.22419406077952,0.759468315194569,0.0190612765908675,503.322580645161,39.9677419354839,493.908062456224,9.41451818893756,463.354838709677,0.72804382017602,0.171492845366515
"Lebanon","Lebanon","0",2021-11-01,2021-11-30,30,2021,"11",5489744,2557,223,2044.43271006584,512.567289934157,2334,4.06212020086911,9.33681588675458,0.250713700387649,596.633333333333,52.0333333333333,477.034299015363,119.59903431797,544.6,0.94782804686946,2.17859037357607
"Lebanon","Lebanon","0",2021-12-01,2021-12-31,31,2021,"12",5489744,3054,394,2102.3071337347,951.692866265295,2660,7.1770195477239,17.3358332604452,0.452689738332683,689.612903225806,88.9677419354839,474.714514069127,214.89838915668,600.645161290323,1.62061731722798,3.91454299429408
