"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Macao","Macao","0",2020-01-01,2020-01-31,31,2020,"1",695180,201,0,214.639236301159,-13.6392363011595,201,0,-1.96197190672336,-0.0635449349159177,45.3870967741935,0,48.4669243260683,-3.07982755187472,45.3870967741935,0,-0.443025914421404
"Macao","Macao","0",2020-02-01,2020-02-29,29,2020,"2",695180,187,0,187.661935341639,-0.661935341638696,187,0,-0.0952178344657061,-0.0035272754724267,45.1379310344828,0,45.2977085307404,-0.159777496257616,45.1379310344828,0,-0.0229836152158601
"Macao","Macao","0",2020-03-01,2020-03-31,31,2020,"3",695180,167,0,194.967083561393,-27.9670835613929,167,0,-4.02299887243489,-0.143445155205322,37.7096774193548,0,44.0248253203145,-6.31514790095968,37.7096774193548,0,-0.908419100227234
"Macao","Macao","0",2020-04-01,2020-04-30,30,2020,"4",695180,189,0,181.884274414251,7.11572558574883,189,0,1.02358030808551,0.0391222694136955,44.1,0,42.4396640299919,1.66033597000806,44.1,0,0.238835405219952
"Macao","Macao","0",2020-05-01,2020-05-31,31,2020,"5",695180,165,0,181.567083561393,-16.5670835613929,165,0,-2.38313581538492,-0.0912449725822196,37.258064516129,0,40.9990188687016,-3.74095435257259,37.258064516129,0,-0.538127442183691
"Macao","Macao","0",2020-06-01,2020-06-30,30,2020,"6",695180,178,0,180.884274414251,-2.88427441425119,178,0,-0.414896057747806,-0.0159454127429883,41.5333333333333,0,42.2063306966586,-0.672997363325279,41.5333333333333,0,-0.0968090801411546
"Macao","Macao","0",2020-07-01,2020-07-31,31,2020,"7",695180,187,0,192.367083561393,-5.36708356139286,187,0,-0.77204228565161,-0.0279002179688397,42.2258064516129,0,43.437728546121,-1.21192209450807,42.2258064516129,0,-0.174332129018105
"Macao","Macao","0",2020-08-01,2020-08-31,31,2020,"8",695180,206,0,187.367083561393,18.6329164386071,206,0,2.68030099234833,0.0994460504184655,46.5161290322581,0,42.3086962880565,4.20743274420161,46.5161290322581,0,0.605229256336719
"Macao","Macao","0",2020-09-01,2020-09-30,30,2020,"9",695180,184,0,170.484274414251,13.5157255857488,184,0,1.94420518221883,0.0792784298269509,42.9333333333333,0,39.7796640299919,3.1536693033414,42.9333333333333,0,0.45364787585106
"Macao","Macao","0",2020-10-01,2020-10-31,31,2020,"10",695180,184,0,174.167083561393,9.8329164386071,184,0,1.41444179041501,0.0564568013515656,41.5483870967742,0,39.3280511267661,2.22033597000806,41.5483870967742,0,0.319390081706616
"Macao","Macao","0",2020-11-01,2020-11-30,30,2020,"11",695180,192,0,176.284274414251,15.7157255857488,192,0,2.26066998270215,0.0891499008517254,44.8,0,41.1329973633253,3.66700263667473,44.8,0,0.527489662630502
"Macao","Macao","0",2020-12-01,2020-12-31,31,2020,"12",695180,190,0,207.367083561393,-17.3670835613929,190,0,-2.49821392465158,-0.0837504355229609,42.9032258064516,0,46.8248253203145,-3.92159951386291,42.9032258064516,0,-0.564112821695519
"Macao","Macao","0",2021-01-01,2021-01-31,31,2021,"1",695180,212,0,217.561597488291,-5.56159748829077,212,0,-0.800022654318417,-0.0255633234564299,47.8709677419355,0,49.1268123360657,-1.25584459413017,47.8709677419355,0,-0.180650276781578
