"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Malaysia","Malaysia","0",2020-01-01,2020-01-31,31,2020,"1",33573874,16028,0,15557.5768731374,470.423126862621,16028,0,1.40115831393964,0.0302375576028733,3619.22580645161,0,3513.00122941812,106.224577033495,3619.22580645161,0,0.316390587018629
"Malaysia","Malaysia","0",2020-02-01,2020-02-29,29,2020,"2",33573874,13827,0,14514.192113273,-687.192113273002,13827,0,-2.0468061364411,-0.0473462186465463,3337.55172413793,0,3503.42568251417,-165.873958376242,3337.55172413793,0,-0.494056653623713
"Malaysia","Malaysia","0",2020-03-01,2020-03-31,31,2020,"3",33573874,14676,48,15609.692247765,-933.692247764986,14628,0.142968309227586,-2.78100837503884,-0.0598149042879864,3313.93548387097,10.8387096774194,3524.76921723725,-210.833733366287,3303.09677419355,0.0322831665997774,-0.627969633073285
"Malaysia","Malaysia","0",2020-04-01,2020-04-30,30,2020,"4",33573874,13038,55,14770.4828204177,-1732.48282041773,12983,0.163817854323275,-5.1602112416867,-0.117293580818012,3042.2,12.8333333333333,3446.4459914308,-404.245991430803,3029.36666666667,0.0382241660087642,-1.2040492897269
"Malaysia","Malaysia","0",2020-05-01,2020-05-31,31,2020,"5",33573874,13886,12,15238.892247765,-1352.89224776499,13874,0.0357420773068964,-4.02959827562642,-0.088778910288798,3135.54838709677,2.70967741935484,3441.04018497919,-305.491797882416,3132.83870967742,0.00807079164994436,-0.909909288044675
"Malaysia","Malaysia","0",2020-06-01,2020-06-30,30,2020,"6",33573874,13317,6,14847.0828204177,-1530.08282041773,13311,0.0178710386534482,-4.55736153777705,-0.103056124824303,3107.3,1.4,3464.31932476414,-357.019324764137,3105.9,0.00416990901913792,-1.06338435881464
"Malaysia","Malaysia","0",2020-07-01,2020-07-31,31,2020,"7",33573874,13659,4,15440.292247765,-1781.29224776499,13655,0.0119140257689655,-5.30559043548263,-0.11536648524401,3084.29032258065,0.903225806451613,3486.51760433403,-402.227281753384,3083.38709677419,0.00269026388331478,-1.19803654994769
"Malaysia","Malaysia","0",2020-08-01,2020-08-31,31,2020,"8",33573874,13950,2,15039.692247765,-1089.69224776499,13948,0.00595701288448274,-3.24565538002849,-0.0724544245861761,3150,0.451612903225806,3396.0595398179,-246.0595398179,3149.54838709677,0.00134513194165739,-0.732889924522562
"Malaysia","Malaysia","0",2020-09-01,2020-09-30,30,2020,"9",33573874,13249,9,14245.4828204177,-996.482820417728,13240,0.0268065579801723,-2.96803050019705,-0.0699507930324055,3091.43333333333,2.1,3323.9459914308,-232.51265809747,3089.33333333333,0.00625486352870687,-0.692540450045979
"Malaysia","Malaysia","0",2020-10-01,2020-10-31,31,2020,"10",33573874,13880,127,14836.892247765,-956.892247764987,13753,0.378270318164654,-2.85010972449884,-0.0644941158691189,3134.1935483871,28.6774193548387,3350.2659914308,-216.072443043707,3105.51612903226,0.0854158782952444,-0.643573163596512
"Malaysia","Malaysia","0",2020-11-01,2020-11-30,30,2020,"11",33573874,12846,97,14664.4828204177,-1818.48282041773,12749,0.288915124897413,-5.41636279571946,-0.124005929338729,2997.4,22.6333333333333,3421.71265809747,-424.31265809747,2974.76666666667,0.0674135291427297,-1.26381798566787
"Malaysia","Malaysia","0",2020-12-01,2020-12-31,31,2020,"12",33573874,14151,111,15649.092247765,-1498.09224776499,14040,0.330614215088792,-4.46207741103987,-0.0957302969428752,3195.38709677419,25.0645161290323,3533.6659914308,-338.27889465661,3170.32258064516,0.0746548227619853,-1.007565867009
"Malaysia","Malaysia","0",2021-01-01,2021-01-31,31,2021,"1",33573874,15393,289,15944.1409557257,-551.140955725677,15104,0.860788361807756,-1.641576887212,-0.0345669896707579,3475.83870967742,65.258064516129,3600.28989322838,-124.451183550959,3410.58064516129,0.194371565569493,-0.370678651951096
"Malaysia","Malaysia","0",2021-02-01,2021-02-28,28,2021,"2",33573874,13504,375,14362.8573852977,-858.857385297735,13129,1.11693991584051,-2.55811225507588,-0.0597971115536445,3376,93.75,3590.71434632443,-214.714346324434,3282.25,0.279234978960128,-0.63952806376897
"Malaysia","Malaysia","0",2021-03-01,2021-03-31,31,2021,"3",33573874,14648,137,15996.2563303533,-1348.25633035328,14511,0.408055382587068,-4.01579016574996,-0.0842857417704,3307.61290322581,30.9354838709677,3612.05788104752,-304.444977821709,3276.67741935484,0.0921415380035314,-0.906791327749992
"Malaysia","Malaysia","0",2021-04-01,2021-04-30,30,2021,"4",33573874,14341,234,15144.5770938903,-803.577093890275,14107,0.69697050748448,-2.39345955098978,-0.0530603851734136,3346.23333333333,54.6,3533.73465524106,-187.501321907731,3291.63333333333,0.162626451746379,-0.558473895230949
"Malaysia","Malaysia","0",2021-05-01,2021-05-31,31,2021,"5",33573874,15164,1290,15625.4563303533,-461.456330353285,13874,3.84227331049137,-1.37445065277032,-0.0295323426463316,3424.12903225806,291.290322580645,3528.32884878945,-104.199816531387,3132.83870967742,0.867610102369018,-0.310359824819105
"Malaysia","Malaysia","0",2021-06-01,2021-06-30,30,2021,"6",33573874,14802,2374,15221.1770938903,-419.177093890276,12428,7.07097429388101,-1.2485216745922,-0.0275390721298769,3453.8,553.933333333333,3551.6079885744,-97.8079885743976,2899.86666666667,1.64989400190557,-0.291321724071514
"Malaysia","Malaysia","0",2021-07-01,2021-07-31,31,2021,"7",33573874,22489,3854,15826.8563303533,6662.14366964671,18635,11.4791638283982,19.8432378391803,0.420939163823066,5078.16129032258,870.258064516129,3573.80626814429,1504.35502217829,4207.90322580645,2.5920692515738,4.48073112497619
"Malaysia","Malaysia","0",2021-08-01,2021-08-31,31,2021,"8",33573874,23958,7640,15426.2563303533,8531.74366964672,16318,22.7557892187241,25.4118534835948,0.553066375077622,5409.87096774194,1725.16129032258,3483.34820362816,1926.52276411377,3684.70967741935,5.13840401713124,5.73816046403753
"Malaysia","Malaysia","0",2021-09-01,2021-09-30,30,2021,"9",33573874,19137,9671,14619.5770938903,4517.42290610972,9466,28.8051358029163,13.4551732281765,0.308998193114466,4465.3,2256.56666666667,3411.23465524106,1054.06534475894,2208.73333333333,6.7211983540138,3.13954041990786
