"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Mexico","Mexico","0",2019-12-30,2020-01-05,7,2020,"1",127504120,16927,0,16786.7207396954,140.279260304582,16927,0,0.110019394121995,0.00835656126529027
"Mexico","Mexico","0",2020-01-06,2020-01-12,7,2020,"2",127504120,17033,0,16669.0540730325,363.945926967452,17033,0,0.285438562273479,0.0218336280734879
"Mexico","Mexico","0",2020-01-13,2020-01-19,7,2020,"3",127504120,16507,0,16445.7207396992,61.2792603007911,16507,0,0.0480606119243763,0.00372615230859807
"Mexico","Mexico","0",2020-01-20,2020-01-26,7,2020,"4",127504120,15888,0,16103.7207396992,-215.720739699211,15888,0,-0.169187269947991,-0.0133957079352111
"Mexico","Mexico","0",2020-01-27,2020-02-02,7,2020,"5",127504120,15512,0,16002.2207396992,-490.22073969922,15512,0,-0.384474430864838,-0.0306345442719117
"Mexico","Mexico","0",2020-02-03,2020-02-09,7,2020,"6",127504120,16012,0,16096.5540730325,-84.5540730325429,16012,0,-0.0663147771480191,-0.00525293007738847
"Mexico","Mexico","0",2020-02-10,2020-02-16,7,2020,"7",127504120,15174,0,15714.0540730326,-540.054073032552,15174,0,-0.423558135245004,-0.0343675839807219
"Mexico","Mexico","0",2020-02-17,2020-02-23,7,2020,"8",127504120,14759,0,15410.2207396992,-651.220739699218,14759,0,-0.51074486040076,-0.0422590143709991
"Mexico","Mexico","0",2020-02-24,2020-03-01,7,2020,"9",127504120,14282,0,15316.8648876393,-1034.86488763935,14282,0,-0.811632508533328,-0.0675637537597187
"Mexico","Mexico","0",2020-03-02,2020-03-08,7,2020,"10",127504120,14293,0,14950.8648876394,-657.864887639356,14293,0,-0.5159557884399,-0.0440017947177923
"Mexico","Mexico","0",2020-03-09,2020-03-15,7,2020,"11",127504120,14111,0,14670.8648876394,-559.864887639358,14111,0,-0.439095526983252,-0.0381616824861539
"Mexico","Mexico","0",2020-03-16,2020-03-22,7,2020,"12",127504120,13378,3,14596.0648876393,-1218.06488763933,13375,0.00235286514663212,-0.955314140154315,-0.0834515944548071
"Mexico","Mexico","0",2020-03-23,2020-03-29,7,2020,"13",127504120,13927,17,14303.0648876394,-376.064887639361,13910,0.013332902497582,-0.294943322332926,-0.0262926086537126
"Mexico","Mexico","0",2020-03-30,2020-04-05,7,2020,"14",127504120,13712,74,14384.0648876393,-672.064887639346,13638,0.0580373402835924,-0.527092683467284,-0.0467228765226769
"Mexico","Mexico","0",2020-04-06,2020-04-12,7,2020,"15",127504120,14217,202,14015.4648876393,201.535112360658,14015,0.158426253206563,0.158061647231994,0.0143794810929461
"Mexico","Mexico","0",2020-04-13,2020-04-19,7,2020,"16",127504120,15213,390,13881.4648876393,1331.53511236065,14823,0.305872469062176,1.04430751913009,0.0959218009870346
"Mexico","Mexico","0",2020-04-20,2020-04-26,7,2020,"17",127504120,17325,665,14051.8648876394,3273.13511236065,16660,0.521551774170121,2.5670818420304,0.232932435554503
"Mexico","Mexico","0",2020-04-27,2020-05-03,7,2020,"18",127504120,19063,803,13975.4648876393,5087.53511236066,18260,0.629783570915199,3.99009468271352,0.364033336512501
"Mexico","Mexico","0",2020-05-04,2020-05-10,7,2020,"19",127504120,20865,1311,13923.6648876393,6941.33511236066,19554,1.02820206907824,5.44400848565573,0.498527878139526
"Mexico","Mexico","0",2020-05-11,2020-05-17,7,2020,"20",127504120,22567,1712,13995.0648876393,8571.93511236066,20855,1.34270171034473,6.72286912168851,0.612496989558907
"Mexico","Mexico","0",2020-05-18,2020-05-24,7,2020,"21",127504120,23493,2217,14192.4648876393,9300.53511236065,21276,1.73876734336114,7.29430163696722,0.655314998909089
"Mexico","Mexico","0",2020-05-25,2020-05-31,7,2020,"22",127504120,23433,2536,13796.4648876394,9636.53511236065,20897,1.98895533728636,7.55782253339002,0.698478573376742
"Mexico","Mexico","0",2020-06-01,2020-06-07,7,2020,"23",127504120,24480,3769,13736.8648876394,10743.1351123606,20711,2.95598291255216,8.42571605714439,0.782066009983653
"Mexico","Mexico","0",2020-06-08,2020-06-14,7,2020,"24",127504120,25119,3442,13582.6648876394,11536.3351123606,21677,2.69952061156926,9.04781360191392,0.849342541231292
"Mexico","Mexico","0",2020-06-15,2020-06-21,7,2020,"25",127504120,25424,4684,13782.4648876394,11641.5351123606,20740,3.67360678227496,9.13032073972248,0.844662780371108
"Mexico","Mexico","0",2020-06-22,2020-06-28,7,2020,"26",127504120,25146,4823,13573.6648876393,11572.3351123607,20323,3.78262286740225,9.07604798367351,0.852557891192586
"Mexico","Mexico","0",2020-06-29,2020-07-05,7,2020,"27",127504120,26138,3991,13700.4648876393,12437.5351123607,22147,3.13009493340294,9.75461429196222,0.9078184729032
"Mexico","Mexico","0",2020-07-06,2020-07-12,7,2020,"28",127504120,27154,4367,13699.6648876394,13454.3351123606,22787,3.42498736511416,10.5520787189941,0.982092279096545
"Mexico","Mexico","0",2020-07-13,2020-07-19,7,2020,"29",127504120,27136,4178,13815.6648876393,13320.3351123607,22958,3.27675686087634,10.4469840757778,0.964147235814772
"Mexico","Mexico","0",2020-07-20,2020-07-26,7,2020,"30",127504120,26380,4496,13871.8648876393,12508.1351123607,21884,3.52616056641934,9.80998505174629,0.901690956023234
"Mexico","Mexico","0",2020-07-27,2020-08-02,7,2020,"31",127504120,25334,4066,13947.2648876394,11386.7351123606,21268,3.18891656206874,8.9304840599352,0.816413483510451
