"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Namibia","Namibia","0",2020-01-01,2020-01-31,31,2020,"1",2567024,1616,0,1563.97519081066,52.024809189337,1616,0,2.02665846479569,0.033264472157241,364.903225806452,0,353.155688247569,11.7475375588826,364.903225806452,0,0.45763255656677
"Namibia","Namibia","0",2020-02-01,2020-02-29,29,2020,"2",2567024,1442,0,1453.24004025146,-11.2400402514565,1442,0,-0.437862686576228,-0.00773446914489895,348.068965517241,0,350.782078681386,-2.71311316414468,348.068965517241,0,-0.105690993311503
"Namibia","Namibia","0",2020-03-01,2020-03-31,31,2020,"3",2567024,1588,0,1564.37022897281,23.6297710271938,1588,0,0.920512275194692,0.0151049736114637,358.58064516129,0,353.244890413214,5.33575474807602,358.58064516129,0,0.207857610527834
"Namibia","Namibia","0",2020-04-01,2020-04-30,30,2020,"4",2567024,1354,0,1531.79699578014,-177.796995780135,1354,0,-6.9261914099804,-0.116070860740645,315.933333333333,0,357.419299015365,-41.4859656820315,315.933333333333,0,-1.61611132899543
"Namibia","Namibia","0",2020-05-01,2020-05-31,31,2020,"5",2567024,1306,0,1646.57022897281,-340.570228972806,1306,0,-13.2671229007912,-0.206836139133444,294.903225806452,0,371.806180735795,-76.9029549293433,294.903225806452,0,-2.99580194533995
"Namibia","Namibia","0",2020-06-01,2020-06-30,30,2020,"6",2567024,1451,0,1668.39699578014,-217.396995780135,1451,0,-8.46883378496403,-0.130302917309247,338.566666666667,0,389.292632348698,-50.7259656820315,338.566666666667,0,-1.97606121649161
"Namibia","Namibia","0",2020-07-01,2020-07-31,31,2020,"7",2567024,1588,10,1773.17022897281,-185.170228972806,1578,0.389556155298899,-7.21342024744631,-0.104428907020436,358.58064516129,2.25806451612903,400.393277509988,-41.8126323486982,356.322580645161,0.0879642931320094,-1.62883683006852
"Namibia","Namibia","0",2020-08-01,2020-08-31,31,2020,"8",2567024,1559,65,1796.57022897281,-237.570228972806,1494,2.53211500944284,-9.25469450121254,-0.132235425669186,352.032258064516,14.6774193548387,405.67714847773,-53.6448904132143,337.354838709677,0.571767905358061,-2.08976972608025
"Namibia","Namibia","0",2020-09-01,2020-09-30,30,2020,"9",2567024,1431,46,1613.59699578013,-182.596995780135,1385,1.79195831437493,-7.11317836452386,-0.113161462408309,333.9,10.7333333333333,376.505965682032,-42.6059656820315,323.166666666667,0.418123606687485,-1.6597416183889
"Namibia","Namibia","0",2020-10-01,2020-10-31,31,2020,"10",2567024,1597,12,1647.37022897281,-50.3702289728083,1585,0.467467386358678,-1.96220327401724,-0.0305761437756562,360.612903225806,2.70967741935484,371.986825897086,-11.3739226712793,357.903225806452,0.105557151758411,-0.443078158649054
