"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Palestine","Palestine","0",2020-01-01,2020-01-31,31,2020,"1",5250076,1329,0,1340.12270571074,-11.122705710743,1329,0,-0.211857994260332,-0.0082997666283432,300.096774193548,0,302.608352902426,-2.51157870887746,300.096774193548,0,-0.0478389019297523
"Palestine","Palestine","0",2020-02-01,2020-02-29,29,2020,"2",5250076,1194,0,1188.72116402123,5.27883597877076,1194,0,0.100547801189369,0.00444076890236689,288.206896551724,0,286.932694763745,1.27420178797915,288.206896551724,0,0.0242701589077786
"Palestine","Palestine","0",2020-03-01,2020-03-31,31,2020,"3",5250076,1105,1,1153.68405856605,-48.684058566052,1104,0.0190473433146492,-0.92730197745808,-0.0421987789504198,249.516129032258,0.225806451612903,260.509303547173,-10.993174514915,249.290322580645,0.00430101300653368,-0.209390769103437
"Palestine","Palestine","0",2020-04-01,2020-04-30,30,2020,"4",5250076,889,1,1041.01683087037,-152.016830870373,888,0.0190473433146492,-2.89551676719295,-0.14602725562398,207.433333333333,0.233333333333333,242.903927203087,-35.4705938697537,207.2,0.00444438010675147,-0.675620579011689
"Palestine","Palestine","0",2020-05-01,2020-05-31,31,2020,"5",5250076,1044,1,1067.68405856605,-23.684058566052,1043,0.0190473433146492,-0.451118394591851,-0.0221826469881556,235.741935483871,0.225806451612903,241.089948708463,-5.3480132245924,235.516129032258,0.00430101300653368,-0.101865443940095
"Palestine","Palestine","0",2020-06-01,2020-06-30,30,2020,"6",5250076,883,5,956.516830870373,-73.5168308703729,878,0.0952367165732458,-1.40030031699299,-0.076858899391741,206.033333333333,1.16666666666667,223.18726053642,-17.153927203087,204.866666666667,0.0222219005337574,-0.326736740631698
"Palestine","Palestine","0",2020-07-01,2020-07-31,31,2020,"7",5250076,1045,74,966.684058566052,78.3159414339477,971,1.40950340528404,1.49171062350236,0.0810150335468645,235.967741935484,16.7096774193548,218.28349709556,17.6842448399237,219.258064516129,0.318274962483492,0.336837882726339
"Palestine","Palestine","0",2020-08-01,2020-08-31,31,2020,"8",5250076,1048,70,1017.68405856605,30.315941433948,978,1.33331403202544,0.577438144399204,0.0297891483892005,236.645161290323,15.8064516129032,229.799626127818,6.84553516250438,220.838709677419,0.301070910457358,0.130389258412724
"Palestine","Palestine","0",2020-09-01,2020-09-30,30,2020,"9",5250076,1149,159,925.516830870373,223.483169129627,990,3.02852758702922,4.25676064745781,0.241468508918913,268.1,37.1,215.953927203087,52.1460727969129,231,0.706656436973484,0.993244151073488
"Palestine","Palestine","0",2020-10-01,2020-10-31,31,2020,"10",5250076,1165,172,998.684058566052,166.315941433948,993,3.27614305011966,3.16787683519149,0.166535091861535,263.064516129032,38.8387096774194,225.509303547173,37.5552125818592,224.225806451613,0.739774237123793,0.715327027301304
"Palestine","Palestine","0",2020-11-01,2020-11-30,30,2020,"11",5250076,1357,249,1064.01683087037,292.983169129627,1108,4.74278848534764,5.58055100782592,0.275355765650779,316.633333333333,58.1,248.270593869754,68.3627394635796,258.533333333333,1.10665064658112,1.30212856849272
"Palestine","Palestine","0",2020-12-01,2020-12-31,31,2020,"12",5250076,1898,668,1192.68405856605,705.315941433948,1230,12.7236253341856,13.4343948817874,0.591368633099649,428.58064516129,150.838709677419,269.315755160076,159.264890001214,277.741935483871,2.8730766883645,3.03357303782296
"Palestine","Palestine","0",2021-01-01,2021-01-31,31,2021,"1",5250076,1625,433,1364.24541142144,260.754588578565,1192,8.24749965524309,4.96668216952602,0.191134664185441,366.935483870968,97.7741935483871,308.05541548226,58.8800683887081,269.161290322581,1.86233863182908,1.12150887698975
"Palestine","Palestine","0",2021-02-01,2021-02-28,28,2021,"2",5250076,1324,209,1169.51902937432,154.480970625685,1115,3.98089475276167,2.94245208308765,0.132089317698688,331,52.25,292.379757343579,38.6202426564212,278.75,0.995223688190419,0.735613020771913
"Palestine","Palestine","0",2021-03-01,2021-03-31,31,2021,"3",5250076,1892,585,1177.80676427674,714.193235723256,1307,11.1426958390698,13.603483753821,0.606375559544201,427.225806451613,132.096774193548,265.956366127007,161.269440324606,295.129032258065,2.5160926088222,3.0717543960241
"Palestine","Palestine","0",2021-04-01,2021-04-30,30,2021,"4",5250076,1794,622,1064.36138478395,729.638615216054,1172,11.8474475417118,13.8976771996454,0.685517743923191,418.6,145.133333333333,248.350989782921,170.249010217079,273.466666666667,2.76440442639941,3.24279134658392
"Palestine","Palestine","0",2021-05-01,2021-05-31,31,2021,"5",5250076,1556,248,1091.80676427674,464.193235723256,1308,4.72374114203299,8.84164792515872,0.425160615331739,351.354838709677,56,246.537011288297,104.81782742138,295.354838709677,1.06665122562035,1.99650114439068
"Palestine","Palestine","0",2021-06-01,2021-06-30,30,2021,"6",5250076,1090,66,979.861384783946,110.138615216054,1024,1.25712465876684,2.09784801622022,0.112402240690747,254.333333333333,15.4,228.634323116254,25.6990102170792,238.933333333333,0.293329087045597,0.489497870451385
"Palestine","Palestine","0",2021-07-01,2021-07-31,31,2021,"7",5250076,1046,40,990.806764276745,55.1932357232554,1006,0.761893732585966,1.0512845094672,0.0557053481195646,236.193548387097,9.03225806451613,223.730559675394,12.4629887117028,227.161290322581,0.172040520261347,0.237386824718401
"Palestine","Palestine","0",2021-08-01,2021-08-31,31,2021,"8",5250076,1139,77,1041.80676427674,97.1932357232556,1062,1.46664543522799,1.85127292868247,0.0932929589785589,257.193548387097,17.3870967741935,235.246688707652,21.9468596794448,239.806451612903,0.331178001503093,0.418029370992816
"Palestine","Palestine","0",2021-09-01,2021-09-30,30,2021,"9",5250076,1498,418,948.861384783946,549.138615216054,1080,7.96178950552335,10.4596317313512,0.578734285135959,349.533333333333,97.5333333333333,221.400989782921,128.132343550413,252,1.85775088462211,2.44058073731528
"Palestine","Palestine","0",2021-10-01,2021-10-31,31,2021,"10",5250076,1344,565,1022.80676427674,321.193235723255,779,10.7617489727768,6.11787783116388,0.314031200165537,303.483870967742,127.58064516129,230.956366127007,72.5275048407351,175.903225806452,2.43007234869153,1.38145628445636
"Palestine","Palestine","0",2021-11-01,2021-11-30,30,2021,"11",5250076,1057,133,1087.36138478395,-30.3613847839463,924,2.53329666084834,-0.57830371948799,-0.0279220737546965,246.633333333333,31.0333333333333,253.717656449587,-7.08432311625413,215.6,0.591102554197946,-0.134937534547198
"Palestine","Palestine","0",2021-12-01,2021-12-31,31,2021,"12",5250076,1390,123,1216.80676427674,173.193235723256,1267,2.34282322770185,3.29887102059581,0.142334215101277,313.870967741935,27.7741935483871,274.76281773991,39.1081500020255,286.096774193548,0.529024599803643,0.744906359489376
