"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Peru","Peru","0",2019-12-30,2020-01-05,7,2020,"1",33359415,2407,0,2293.68076922589,113.319230774112,2407,0,0.339691900394872,0.0494049705148625
"Peru","Peru","0",2020-01-06,2020-01-12,7,2020,"2",33359415,2428,0,2290.68076922955,137.319230770453,2428,0,0.411635608029857,0.0599469086286692
"Peru","Peru","0",2020-01-13,2020-01-19,7,2020,"3",33359415,2329,0,2269.93076922955,59.0692307704526,2329,0,0.177069144559197,0.0260224812012666
"Peru","Peru","0",2020-01-20,2020-01-26,7,2020,"4",33359415,2358,0,2288.43076922955,69.5692307704526,2358,0,0.208544516654302,0.0304004087455416
"Peru","Peru","0",2020-01-27,2020-02-02,7,2020,"5",33359415,2255,0,2331.43076922955,-76.4307692295479,2255,0,-0.22911303819191,-0.0327827745255355
"Peru","Peru","0",2020-02-03,2020-02-09,7,2020,"6",33359415,2330,0,2297.43076922955,32.569230770453,2330,0,0.0976313007001263,0.014176370929939
"Peru","Peru","0",2020-02-10,2020-02-16,7,2020,"7",33359415,2354,0,2325.18076922955,28.819230770453,2354,0,0.0863900963804462,0.0123944044058142
"Peru","Peru","0",2020-02-17,2020-02-23,7,2020,"8",33359415,2346,0,2375.18076922955,-29.1807692295474,2346,0,-0.0874738637639402,-0.0122857045693465
"Peru","Peru","0",2020-02-24,2020-03-01,7,2020,"9",33359415,2417,0,2442.57435897314,-25.5743589731405,2417,0,-0.0766630918831776,-0.0104702478674558
"Peru","Peru","0",2020-03-02,2020-03-08,7,2020,"10",33359415,2409,2,2327.24102563981,81.7589743601925,2407,0.00599530897049603,0.245085156200109,0.0351312878466101
"Peru","Peru","0",2020-03-09,2020-03-15,7,2020,"11",33359415,2469,3,2370.57435897314,98.4256410268595,2466,0.00899296345574405,0.295046064287577,0.0415197442148554
"Peru","Peru","0",2020-03-16,2020-03-22,7,2020,"12",33359415,2185,29,2314.90769230647,-129.907692306474,2156,0.0869319800721925,-0.389418376510721,-0.0561178714547532
"Peru","Peru","0",2020-03-23,2020-03-29,7,2020,"13",33359415,2150,61,2278.90769230647,-128.907692306474,2089,0.182856923600129,-0.386420722025475,-0.0565655610982678
"Peru","Peru","0",2020-03-30,2020-04-05,7,2020,"14",33359415,2390,222,2286.90769230647,103.092307693526,2168,0.66547929572506,0.309035118552067,0.045079347994825
"Peru","Peru","0",2020-04-06,2020-04-12,7,2020,"15",33359415,2514,529,2215.24102563981,298.758974360192,1985,1.5857592226962,0.895576179498929,0.134865222746543
"Peru","Peru","0",2020-04-13,2020-04-19,7,2020,"16",33359415,3096,940,2294.90769230647,801.092307693526,2156,2.81779521613314,2.40139794925518,0.349073869236281
"Peru","Peru","0",2020-04-20,2020-04-26,7,2020,"17",33359415,3881,1702,2218.57435897314,1662.42564102686,2179,5.10200793389213,4.98337767921548,0.749321578653919
"Peru","Peru","0",2020-04-27,2020-05-03,7,2020,"18",33359415,4752,2516,2302.57435897314,2449.42564102686,2236,7.54209868488401,7.34253175910567,1.06377699876724
"Peru","Peru","0",2020-05-04,2020-05-10,7,2020,"19",33359415,5451,3254,2229.90769230647,3221.09230769353,2197,9.75436769499705,9.65572180355539,1.44449580527786
"Peru","Peru","0",2020-05-11,2020-05-17,7,2020,"20",33359415,5967,3577,2302.90769230647,3664.09230769353,2390,10.7226100937322,10.9836827405203,1.59107215627204
"Peru","Peru","0",2020-05-18,2020-05-24,7,2020,"21",33359415,6347,3809,2352.90769230647,3994.09230769353,2538,11.4180659343097,11.9729087206521,1.69751338769191
"Peru","Peru","0",2020-05-25,2020-05-31,7,2020,"22",33359415,6554,4066,2368.90769230647,4185.09230769353,2488,12.1884631370184,12.5454607273345,1.76667597529676
"Peru","Peru","0",2020-06-01,2020-06-07,7,2020,"23",33359415,6647,4124,2453.90769230647,4193.09230769353,2523,12.3623270971628,12.5694419632165,1.70874084662588
"Peru","Peru","0",2020-06-08,2020-06-14,7,2020,"24",33359415,6725,4176,2468.90769230647,4256.09230769353,2549,12.5182051303957,12.7582941957871,1.72387664429748
"Peru","Peru","0",2020-06-15,2020-06-21,7,2020,"25",33359415,6593,4330,2542.24102563981,4050.75897436019,2263,12.9798439211239,12.1427758081495,1.59338116783822
"Peru","Peru","0",2020-06-22,2020-06-28,7,2020,"26",33359415,6159,3530,2519.24102563981,3639.75897436019,2629,10.5817203329255,10.9107398147126,1.44478393981211
"Peru","Peru","0",2020-06-29,2020-07-05,7,2020,"27",33359415,6237,3755,2558.90769230647,3678.09230769353,2482,11.2561925921063,11.0256499033137,1.43736810778753
"Peru","Peru","0",2020-07-06,2020-07-12,7,2020,"28",33359415,6493,3903,2460.57435897314,4032.42564102686,2590,11.699845455923,12.0878188092533,1.63881478579241
"Peru","Peru","0",2020-07-13,2020-07-19,7,2020,"29",33359415,6763,4901,2518.57435897314,4244.42564102686,1862,14.6915046322005,12.7233215601259,1.68524928632934
"Peru","Peru","0",2020-07-20,2020-07-26,7,2020,"30",33359415,6778,3480,2534.24102563981,4243.75897436019,3298,10.4318376086631,12.7213231238024,1.67456801915232
"Peru","Peru","0",2020-07-27,2020-08-02,7,2020,"31",33359415,6918,4376,2501.57435897314,4416.42564102686,2542,13.1177360274453,13.2389181315885,1.765458470257
"Peru","Peru","0",2020-08-03,2020-08-09,7,2020,"32",33359415,7120,4433,2549.24102563981,4570.75897436019,2687,13.2886023331045,13.7015561404785,1.79298815937305
"Peru","Peru","0",2020-08-10,2020-08-16,7,2020,"33",33359415,6717,4322,2453.90769230647,4263.09230769353,2395,12.9558626852419,12.7792777771838,1.73726677701009
"Peru","Peru","0",2020-08-17,2020-08-23,7,2020,"34",33359415,6128,3786,2441.90769230647,3686.09230769353,2342,11.349119881149,11.0496311391957,1.50951336911997
"Peru","Peru","0",2020-08-24,2020-08-30,7,2020,"35",33359415,5578,3401,2512.24102563981,3065.75897436019,2177,10.1950229043285,9.1900861401802,1.22032836143953
"Peru","Peru","0",2020-08-31,2020-09-06,7,2020,"36",33359415,4730,2674,2486.90769230647,2243.09230769353,2056,8.0157280935532,6.72401571698282,0.901960420418008
"Peru","Peru","0",2020-09-07,2020-09-13,7,2020,"37",33359415,4275,2214,2493.90769230647,1781.09230769353,2061,6.63680703033911,5.33909934479824,0.714177318265655
"Peru","Peru","0",2020-09-14,2020-09-20,7,2020,"38",33359415,3885,1889,2532.24102563981,1352.75897436019,1996,5.66256932263351,4.05510400695034,0.534214144966077
"Peru","Peru","0",2020-09-21,2020-09-27,7,2020,"39",33359415,3483,1591,2536.24102563981,946.758974360193,1892,4.7692682860296,2.83805628593965,0.373292192969459
"Peru","Peru","0",2020-09-28,2020-10-04,7,2020,"40",33359415,3235,1213,2470.57435897314,764.425641026859,2022,3.63615489060585,2.29148395146275,0.309412116356855
"Peru","Peru","0",2020-10-05,2020-10-11,7,2020,"41",33359415,3147,1170,2510.57435897314,636.425641026859,1977,3.50725574774018,1.90778417735101,0.253498024765602
"Peru","Peru","0",2020-10-12,2020-10-18,7,2020,"42",33359415,3001,978,2551.90769230647,449.092307693526,2023,2.93170608657256,1.34622357044788,0.175982975029801
"Peru","Peru","0",2020-10-19,2020-10-25,7,2020,"43",33359415,2961,860,2504.57435897314,456.425641026859,2101,2.5779828573133,1.36820637000637,0.182236809776329
"Peru","Peru","0",2020-10-26,2020-11-01,7,2020,"44",33359415,2794,772,2523.90769230647,270.092307693526,2022,2.31418926261147,0.809643417588486,0.107013544321307
"Peru","Peru","0",2020-11-02,2020-11-08,7,2020,"45",33359415,2861,739,2486.90769230647,374.092307693526,2122,2.21526666459829,1.12139948405428,0.150424685584762
"Peru","Peru","0",2020-11-09,2020-11-15,7,2020,"46",33359415,2850,730,2376.57435897314,473.425641026859,2120,2.18828777423105,1.41916649625558,0.199205061368841
"Peru","Peru","0",2020-11-16,2020-11-22,7,2020,"47",33359415,2755,646,2401.57435897314,353.425641026859,2109,1.93648479747022,1.05944795802582,0.147164146596725
"Peru","Peru","0",2020-11-23,2020-11-29,7,2020,"48",33359415,2635,661,2377.90769230647,257.092307693526,1974,1.98144961474894,0.770673909280262,0.108117025957453
"Peru","Peru","0",2020-11-30,2020-12-06,7,2020,"49",33359415,2800,686,2407.57435897314,392.425641026859,2114,2.05639097688014,1.17635648295049,0.16299627031841
"Peru","Peru","0",2020-12-07,2020-12-13,7,2020,"50",33359415,2964,747,2433.57435897314,530.425641026859,2217,2.23924790048027,1.59003280191472,0.21796155070054
"Peru","Peru","0",2020-12-14,2020-12-20,7,2020,"51",33359415,3151,816,2419.57435897314,731.425641026859,2335,2.44608605996238,2.19256135344957,0.302295169526129
"Peru","Peru","0",2020-12-21,2020-12-27,7,2020,"52",33359415,3253,880,2477.90769230647,775.092307693526,2373,2.63793594701826,2.32345893263873,0.312801122535787
"Peru","Peru","0",2020-12-28,2021-01-03,7,2020,"53",33359415,3501,1082,2477.90769230647,1023.09230769353,2419,3.24346215303835,3.06687724498024,0.412885561019917
"Peru","Peru","0",2021-01-04,2021-01-10,7,2021,"1",33359415,3984,1401,2453.13461537976,1530.86538462024,2583,4.19971393383247,4.5890054865178,0.624044589735349
"Peru","Peru","0",2021-01-11,2021-01-17,7,2021,"2",33359415,4639,2027,2450.13461538342,2188.86538461658,2612,6.07624564159773,6.56146213780003,0.893365356692475
"Peru","Peru","0",2021-01-18,2021-01-24,7,2021,"3",33359415,5706,2907,2429.38461538342,3276.61538461658,2799,8.71418158861599,9.82216080412856,1.34874295484886
"Peru","Peru","0",2021-01-25,2021-01-31,7,2021,"4",33359415,6705,3900,2447.88461538342,4257.11538461658,2805,11.6908524924673,12.7613610269142,1.73909969361435
