"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Poland","Poland","0",2019-12-30,2020-01-05,7,2020,"1",39857144,8463,0,8689.75959737824,-226.759597378245,8463,0,-0.568930873166036,-0.0260950369037435
"Poland","Poland","0",2020-01-06,2020-01-12,7,2020,"2",39857144,8242,0,8660.42626404496,-418.426264044956,8242,0,-1.04981496929373,-0.0483147424027054
"Poland","Poland","0",2020-01-13,2020-01-19,7,2020,"3",39857144,8059,0,8652.25959737829,-593.259597378288,8059,0,-1.48846489697879,-0.0685670131254558
"Poland","Poland","0",2020-01-20,2020-01-26,7,2020,"4",39857144,8015,0,8707.59293071162,-692.592930711622,8015,0,-1.73768830679795,-0.0795389651563582
"Poland","Poland","0",2020-01-27,2020-02-02,7,2020,"5",39857144,8560,0,9012.59293071162,-452.592930711624,8560,0,-1.13553778642951,-0.0502178378842955
"Poland","Poland","0",2020-02-03,2020-02-09,7,2020,"6",39857144,8343,0,8933.42626404496,-590.426264044956,8343,0,-1.48135617555778,-0.0660918047111767
"Poland","Poland","0",2020-02-10,2020-02-16,7,2020,"7",39857144,8624,0,9028.75959737829,-404.75959737829,8624,0,-1.01552584243941,-0.0448300337397201
"Poland","Poland","0",2020-02-17,2020-02-23,7,2020,"8",39857144,8474,0,8930.09293071162,-456.092930711624,8474,0,-1.14431914818489,-0.0510737048595618
"Poland","Poland","0",2020-02-24,2020-03-01,7,2020,"9",39857144,8471,0,9019.91151685394,-548.911516853945,8471,0,-1.37719731462431,-0.0608555323218292
"Poland","Poland","0",2020-03-02,2020-03-08,7,2020,"10",39857144,8364,0,8860.91151685394,-496.911516853945,8364,0,-1.24673136854448,-0.0560790519021425
"Poland","Poland","0",2020-03-09,2020-03-15,7,2020,"11",39857144,8410,3,8639.11151685394,-229.111516853944,8407,0.00752688150460555,-0.574831746233357,-0.0265202638496994
"Poland","Poland","0",2020-03-16,2020-03-22,7,2020,"12",39857144,8322,4,8506.91151685394,-184.911516853945,8318,0.0100358420061407,-0.463935692065505,-0.0217366216267322
"Poland","Poland","0",2020-03-23,2020-03-29,7,2020,"13",39857144,8148,15,8377.11151685395,-229.111516853945,8133,0.0376344075230277,-0.574831746233361,-0.0273497035813591
"Poland","Poland","0",2020-03-30,2020-04-05,7,2020,"14",39857144,7991,72,8188.11151685395,-197.111516853945,7919,0.180645156110533,-0.494545010184236,-0.0240728910992751
