"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-01-01,2020-01-31,31,2020,"1",47681,29,0,33.3548017827823,-4.35480178278228,29,0,-9.13320144875796,-0.13055996588264,6.54838709677419,0,7.53172943482181,-0.983342338047612,6.54838709677419,0,-2.06233581100986
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-02-01,2020-02-29,29,2020,"2",47681,31,0,32.2395150318191,-1.2395150318191,31,0,-2.59959948788638,-0.038447074361874,7.48275862068965,0,7.7819519042322,-0.299193283542542,7.48275862068965,0,-0.62748953155878
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-03-01,2020-03-31,31,2020,"3",47681,34,0,34.1935022284776,-0.193502228477556,34,0,-0.40582669926712,-0.00565903507586307,7.67741935483871,0,7.72111340643042,-0.0436940515917061,7.67741935483871,0,-0.0916382869312852
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-04-01,2020-04-30,30,2020,"4",47681,27,0,30.5098408662686,-3.5098408662686,27,0,-7.36108904232001,-0.115039632020797,6.3,0,7.11896286879601,-0.818962868796008,6.3,0,-1.717587443208
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-05-01,2020-05-31,31,2020,"5",47681,35,0,25.4435022284776,9.55649777152244,35,0,20.0425699367095,0.375596790320256,7.90322580645161,0,5.74530695481751,2.1579188516341,7.90322580645161,0,4.52574159861182
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-06-01,2020-06-30,30,2020,"6",47681,37,0,27.5098408662686,9.4901591337314,37,0,19.9034398056488,0.344973247205069,8.63333333333333,0,6.41896286879601,2.21437046453733,8.63333333333333,0,4.64413595465138
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-07-01,2020-07-31,31,2020,"7",47681,38,0,31.1935022284776,6.80649777152244,38,0,14.2750734496391,0.218202423109405,8.58064516129032,0,7.04369405159171,1.53695110969862,8.58064516129032,0,3.22340368217658
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-08-01,2020-08-31,31,2020,"8",47681,28,0,30.4435022284776,-2.44350222847756,28,0,-5.12468746141558,-0.0802635061544218,6.32258064516129,0,6.87433921288203,-0.55175856772074,6.32258064516129,0,-1.15718749128739
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-09-01,2020-09-30,30,2020,"9",47681,29,0,33.0098408662686,-4.00984086626861,29,0,-8.4097247672419,-0.121474104722695,6.76666666666667,0,7.70229620212934,-0.935629535462676,6.76666666666667,0,-1.96226911235644
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-10-01,2020-10-31,31,2020,"10",47681,32,0,30.6935022284776,1.30649777152244,32,0,2.7400804754985,0.0425659399112255,7.2258064516129,0,6.93079082578526,0.295015625827648,7.2258064516129,0,0.618727849306113
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-11-01,2020-11-30,30,2020,"11",47681,26,0,24.5098408662686,1.49015913373139,26,0,3.12526820689875,0.0607984010121505,6.06666666666667,0,5.71896286879601,0.347703797870658,6.06666666666667,0,0.729229248276375
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2020-12-01,2020-12-31,31,2020,"12",47681,31,0,29.1935022284776,1.80649777152244,31,0,3.78871620042038,0.0618801320028073,7,0,6.5920811483659,0.4079188516341,7,0,0.855516561385247
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-01-01,2021-01-31,31,2021,"1",47681,50,0,32.5322026741736,17.4677973258264,50,0,36.6347126231128,0.536938660464378,11.2903225806452,0,7.34598124900694,3.94434133163822,11.2903225806452,0,8.27235446328353
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-02-01,2021-02-28,28,2021,"2",47681,27,0,30.3848148736693,-3.38481487366932,27,0,-7.09887559755316,-0.11139823914486,6.75,0,7.59620371841733,-0.846203718417331,6.75,0,-1.77471889938829
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-03-01,2021-03-31,31,2021,"3",47681,27,0,33.3709031198689,-6.37090311986886,27,0,-13.3615132230215,-0.19091191799588,6.09677419354839,0,7.53536522061555,-1.43859102706716,6.09677419354839,0,-3.01711588906936
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-04-01,2021-04-30,30,2021,"4",47681,28,0,29.7137772127763,-1.71377721277632,28,0,-3.59425601974858,-0.0576761816750592,6.53333333333333,0,6.93321468298114,-0.399881349647808,6.53333333333333,0,-0.838659737941336
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-05-01,2021-05-31,31,2021,"5",47681,29,0,24.6209031198689,4.37909688013114,29,0,9.18415486279889,0.177860936246374,6.54838709677419,0,5.55955876900265,0.988828327771547,6.54838709677419,0,2.07384142063201
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-06-01,2021-06-30,30,2021,"6",47681,32,3,26.7137772127763,5.28622278722368,29,6.29181434953126,11.0866441291577,0.197883764063715,7.46666666666667,0.7,6.23321468298114,1.23345198368552,6.76666666666667,1.46809001489063,2.58688363013679
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-07-01,2021-07-31,31,2021,"7",47681,32,0,30.3709031198689,1.62909688013113,32,0,3.41665837572856,0.0536400538930752,7.2258064516129,0,6.85794586577684,0.367860585836062,7.2258064516129,0,0.771503504196771
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-08-01,2021-08-31,31,2021,"8",47681,42,0,29.6209031198689,12.3790968801311,42,0,25.9623264615489,0.417917604673828,9.48387096774193,0,6.68859102706716,2.79527994067477,9.48387096774193,0,5.86246081389814
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-09-01,2021-09-30,30,2021,"9",47681,59,10,32.2137772127763,26.7862227872237,49,20.9727144984375,56.1779803007984,0.831514497983179,13.7666666666667,2.33333333333333,7.51654801631448,6.25011865035219,11.4333333333333,4.89363338296876,13.1081954035196
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-10-01,2021-10-31,31,2021,"10",47681,51,10,29.8709031198689,21.1290968801311,41,20.9727144984375,44.3134516476817,0.707347106156859,11.5161290322581,2.25806451612903,6.74504263997039,4.77108639228767,9.25806451612903,4.73577424158267,10.006263275283
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-11-01,2021-11-30,30,2021,"11",47681,39,5,23.7137772127763,15.2862227872237,34,10.4863572492188,32.0593586275952,0.644613578430175,9.1,1.16666666666667,5.53321468298114,3.56678531701886,7.93333333333333,2.44681669148438,7.48051701310555
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2021-12-01,2021-12-31,31,2021,"12",47681,38,0,28.3709031198689,9.62909688013113,38,0,20.1948299744786,0.339400435701591,8.58064516129032,0,6.40633296255104,2.17431219873929,8.58064516129032,0,4.56012289746291
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-01-01,2022-01-31,31,2022,"1",47681,69,5,31.7096035655647,37.2903964344353,64,10.4863572492188,78.2080837952965,1.17599692967878,15.5806451612903,1.12903225806452,7.16023306319202,8.4204120980983,14.4516129032258,2.36788712079133,17.6598898892605
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-02-01,2022-02-28,28,2022,"2",47681,40,9,29.6418221304097,10.3581778695903,31,18.8754430485938,21.7239107182952,0.349444707684277,10,2.25,7.41045553260242,2.58954446739758,7.75,4.71886076214845,5.4309776795738
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-03-01,2022-03-31,31,2022,"3",47681,40,1,32.54830401126,7.45169598874005,39,2.09727144984375,15.6282292500997,0.228942681196604,9.03225806451613,0.225806451612903,7.34961703480063,1.6826410297155,8.80645161290323,0.473577424158267,3.528954991958
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-04-01,2022-04-30,30,2022,"4",47681,36,0,28.9177135592838,7.08228644071617,36,0,14.8534771517296,0.244911701825833,8.4,0,6.74746649716623,1.65253350283377,8.4,0,3.46581133540357
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-05-01,2022-05-31,31,2022,"5",47681,28,0,23.79830401126,4.20169598874005,28,0,8.81209703810752,0.176554429540527,6.32258064516129,0,5.37381058318773,0.948770061973559,6.32258064516129,0,1.98982836344363
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-06-01,2022-06-30,30,2022,"6",47681,39,0,25.9177135592838,13.0822864407162,39,0,27.4371058507921,0.504762366895981,9.1,0,6.04746649716623,3.05253350283377,9.1,0,6.40199136518482
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-07-01,2022-07-31,31,2022,"7",47681,37,3,29.54830401126,7.45169598874005,34,6.29181434953126,15.6282292500997,0.252186927070347,8.35483870967742,0.67741935483871,6.67219767996193,1.68264102971549,7.67741935483871,1.4207322724748,3.528954991958
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-08-01,2022-08-31,31,2022,"8",47681,38,0,28.79830401126,9.20169598874004,38,0,19.2984542873263,0.319522149121776,8.58064516129032,0,6.50284284125225,2.07780232003807,8.58064516129032,0,4.35771548423497
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-09-01,2022-09-30,30,2022,"9",47681,33,0,31.4177135592838,1.58228644071617,33,0,3.31848417758891,0.0503628769079731,7.7,0,7.33079983049956,0.369200169500439,7.7,0,0.774312974770745
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-10-01,2022-10-31,31,2022,"10",47681,36,0,29.04830401126,6.95169598874005,36,0,14.5795935251778,0.239315038359739,8.12903225806452,0,6.55929445415547,1.56973780390904,8.12903225806452,0,3.29216627987887
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-11-01,2022-11-30,30,2022,"11",47681,36,0,22.9177135592838,13.0822864407162,36,0,27.4371058507921,0.570837330996164,8.4,0,5.34746649716623,3.05253350283377,8.4,0,6.40199136518482
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2022-12-01,2022-12-31,31,2022,"12",47681,30,0,27.54830401126,2.45169598874005,30,0,5.14187200088095,0.08899625863494,6.7741935483871,0,6.22058477673612,0.553608771650978,6.7741935483871,0,1.16106787116667
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2023-01-01,2023-01-31,31,2023,"1",47681,42,0,30.8870044569558,11.1129955430442,42,0,23.3069682746676,0.359795186954156,9.48387096774193,0,6.97448487737711,2.50938609036483,9.48387096774193,0,5.26286380395719
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2023-02-01,2023-02-28,28,2023,"2",47681,32,1,28.89882938715,3.10117061285,31,2.09727144984375,6.50399658742476,0.107311288332978,8,0.25,7.2247073467875,0.7752926532125,7.75,0.524317862460938,1.62599914685619
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2023-03-01,2023-03-31,31,2023,"3",47681,35,0,31.725704902651,3.27429509734896,35,0,6.86708562603335,0.103206378152857,7.90322580645161,0,7.16386884898572,0.739356957465894,7.90322580645161,0,1.55063223813656
"Saint Kitts and Nevis","Saint Kitts and Nevis","0",2023-04-01,2023-04-30,30,2023,"4",47681,38,0,28.1216499057913,9.87835009420867,38,0,20.7175816241452,0.35127206715472,8.86666666666667,0,6.56171831135131,2.30494835531536,8.86666666666667,0,4.83410237896721
