"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Slovenia","Slovenia","0",2019-12-30,2020-01-05,7,2020,"1",2119843,420,0,447.240870786462,-27.240870786462,420,0,-1.28504190104937,-0.0609087240586033
"Slovenia","Slovenia","0",2020-01-06,2020-01-12,7,2020,"2",2119843,426,0,460.407537453166,-34.4075374531661,426,0,-1.62311725222887,-0.0747327848790186
"Slovenia","Slovenia","0",2020-01-13,2020-01-19,7,2020,"3",2119843,430,0,469.074204119833,-39.0742041198328,430,0,-1.84325934136787,-0.0833006884127243
"Slovenia","Slovenia","0",2020-01-20,2020-01-26,7,2020,"4",2119843,455,0,481.2408707865,-26.2408707864995,455,0,-1.23786859623564,-0.0545275191269886
"Slovenia","Slovenia","0",2020-01-27,2020-02-02,7,2020,"5",2119843,476,0,494.740870786499,-18.7408707864993,476,0,-0.884068810119397,-0.0378801750433648
"Slovenia","Slovenia","0",2020-02-03,2020-02-09,7,2020,"6",2119843,449,0,466.574204119833,-17.5742041198328,449,0,-0.829033287834656,-0.037666471838034
"Slovenia","Slovenia","0",2020-02-10,2020-02-16,7,2020,"7",2119843,502,0,477.907537453166,24.092462546834,502,0,1.13652107947777,0.050412392897643
"Slovenia","Slovenia","0",2020-02-17,2020-02-23,7,2020,"8",2119843,441,0,460.574204119833,-19.5742041198328,441,0,-0.92337989746565,-0.0424995667250612
"Slovenia","Slovenia","0",2020-02-24,2020-03-01,7,2020,"9",2119843,431,0,470.689044943802,-39.6890449438024,431,0,-1.87226341497,-0.0843211571846569
"Slovenia","Slovenia","0",2020-03-02,2020-03-08,7,2020,"10",2119843,425,0,420.089044943802,4.91095505619757,425,0,0.23166597980122,0.0116902716586065
"Slovenia","Slovenia","0",2020-03-09,2020-03-15,7,2020,"11",2119843,437,1,450.489044943802,-13.4890449438025,436,0.0471733048154981,-0.636322828803948,-0.029943114255942
"Slovenia","Slovenia","0",2020-03-16,2020-03-22,7,2020,"12",2119843,443,1,429.489044943803,13.5109550561974,442,0.0471733048154981,0.637356401214494,0.0314582064787363
"Slovenia","Slovenia","0",2020-03-23,2020-03-29,7,2020,"13",2119843,390,9,436.289044943802,-46.2890449438024,381,0.424559743339483,-2.18360722675228,-0.106097197443417
"Slovenia","Slovenia","0",2020-03-30,2020-04-05,7,2020,"14",2119843,383,17,412.489044943803,-29.4890449438026,366,0.801946181863468,-1.39109570585192,-0.071490492427066
"Slovenia","Slovenia","0",2020-04-06,2020-04-12,7,2020,"15",2119843,424,25,379.889044943802,44.1109550561977,399,1.17933262038745,2.08085952856875,0.116115364850079
