"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"South Africa","South Africa","0",2019-12-29,2020-01-04,7,2020,"1",60041996,10454,0,10253.2391910742,200.760808925752,10454,0,0.334367313381374,0.0195802326644754
"South Africa","South Africa","0",2020-01-05,2020-01-11,7,2020,"2",60041996,9678,0,9356.90585774058,321.094142259421,9678,0,0.534782591603751,0.0343162736850444
"South Africa","South Africa","0",2020-01-12,2020-01-18,7,2020,"3",60041996,9254,0,9104.07252440725,149.927475592753,9254,0,0.249704349590165,0.016468176762741
"South Africa","South Africa","0",2020-01-19,2020-01-25,7,2020,"4",60041996,8626,0,8877.23919107391,-251.239191073908,8626,0,-0.418439105645169,-0.0283015006880213
"South Africa","South Africa","0",2020-01-26,2020-02-01,7,2020,"5",60041996,9412,0,9280.57252440725,131.427475592751,9412,0,0.218892582439716,0.0141615698004736
"South Africa","South Africa","0",2020-02-02,2020-02-08,7,2020,"6",60041996,10093,0,9488.23919107391,604.760808926087,10093,0,1.00722968791059,0.0637379388048118
"South Africa","South Africa","0",2020-02-09,2020-02-15,7,2020,"7",60041996,9278,0,9071.23919107391,206.760808926087,9278,0,0.344360318944238,0.0227930059577239
"South Africa","South Africa","0",2020-02-16,2020-02-22,7,2020,"8",60041996,9310,0,9036.40585774057,273.594142259426,9310,0,0.455671297568832,0.0302768762898211
"South Africa","South Africa","0",2020-02-23,2020-02-29,7,2020,"9",60041996,9017,0,9359.73919107391,-342.739191073912,9017,0,-0.570832440470353,-0.0366184552878109
"South Africa","South Africa","0",2020-03-01,2020-03-07,7,2020,"10",60041996,9834,0,9367.28702928867,466.712970711325,9834,0,0.777310885386498,0.0498237076810024
"South Africa","South Africa","0",2020-03-08,2020-03-14,7,2020,"11",60041996,9396,0,9148.68702928868,247.312970711318,9396,0,0.411899981991469,0.0270326189888854
"South Africa","South Africa","0",2020-03-15,2020-03-21,7,2020,"12",60041996,9112,0,9037.68702928867,74.3129707113294,9112,0,0.123768321611642,0.00822256518404552
