"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"South Korea","South Korea","0",2019-12-30,2020-01-05,7,2020,"1",51815808,6438,0,6423.2848782771,14.7151217229039,6438,0,0.0283989042936547,0.00229090286383982
"South Korea","South Korea","0",2020-01-06,2020-01-12,7,2020,"2",51815808,6320,0,6433.28487827714,-113.284878277138,6320,0,-0.218629956088184,-0.0176091810669943
"South Korea","South Korea","0",2020-01-13,2020-01-19,7,2020,"3",51815808,6403,0,6415.28487827714,-12.284878277138,6403,0,-0.0237087459432032,-0.00191493885466187
"South Korea","South Korea","0",2020-01-20,2020-01-26,7,2020,"4",51815808,6490,0,6365.4515449438,124.548455056195,6490,0,0.240367679022192,0.0195663189291144
"South Korea","South Korea","0",2020-01-27,2020-02-02,7,2020,"5",51815808,6434,0,6359.78487827714,74.215121722862,6434,0,0.143228726111657,0.0116694390051393
"South Korea","South Korea","0",2020-02-03,2020-02-09,7,2020,"6",51815808,6431,0,6225.61821161047,205.381788389529,6431,0,0.396368977570569,0.0329897821242078
"South Korea","South Korea","0",2020-02-10,2020-02-16,7,2020,"7",51815808,6161,0,6181.78487827714,-20.784878277138,6161,0,-0.0401130062029294,-0.00336227783502729
"South Korea","South Korea","0",2020-02-17,2020-02-23,7,2020,"8",51815808,5970,6,6187.61821161047,-217.618211610471,5964,0.0115794778303949,-0.419984209472273,-0.0351699481396786
"South Korea","South Korea","0",2020-02-24,2020-03-01,7,2020,"9",51815808,6012,11,6200.54185393257,-188.541853932569,6001,0.0212290426890574,-0.363869369618957,-0.0304073189689044
"South Korea","South Korea","0",2020-03-02,2020-03-08,7,2020,"10",51815808,5961,33,6128.34185393257,-167.341853932568,5928,0.0636871280671721,-0.322955214618227,-0.0273062204950569
"South Korea","South Korea","0",2020-03-09,2020-03-15,7,2020,"11",51815808,5933,25,6046.14185393257,-113.141853932569,5908,0.0482478242933122,-0.218353931550327,-0.0187130663927407
"South Korea","South Korea","0",2020-03-16,2020-03-22,7,2020,"12",51815808,5838,36,5942.94185393257,-104.941853932569,5802,0.0694768669823695,-0.202528645182121,-0.0176582333315488
"South Korea","South Korea","0",2020-03-23,2020-03-29,7,2020,"13",51815808,5708,41,5925.54185393257,-217.541853932568,5667,0.079126431841032,-0.419836845799198,-0.0367125672714966
"South Korea","South Korea","0",2020-03-30,2020-04-05,7,2020,"14",51815808,5649,31,5931.94185393257,-282.941853932569,5618,0.0598273021237071,-0.546053154150503,-0.0476980154053589
"South Korea","South Korea","0",2020-04-06,2020-04-12,7,2020,"15",51815808,5874,31,5778.14185393257,95.8581460674313,5843,0.0598273021237071,0.184997879541763,0.0165897875979266
"South Korea","South Korea","0",2020-04-13,2020-04-19,7,2020,"16",51815808,5745,20,5847.74185393257,-102.741853932568,5725,0.0385982594346497,-0.198282836644308,-0.017569492036225
"South Korea","South Korea","0",2020-04-20,2020-04-26,7,2020,"17",51815808,5578,9,5695.94185393257,-117.941853932569,5569,0.0173692167455924,-0.227617513814643,-0.020706295281287
