"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Ukraine","Ukraine","0",2020-01-01,2020-01-31,31,2020,"1",39701744,53610,0,55838.8734423464,-2228.8734423464,53610,0,-5.61404416477625,-0.0399161606411654,12105.4838709677,0,12608.7778740782,-503.294003110479,12105.4838709677,0,-1.26768739204625
"Ukraine","Ukraine","0",2020-02-01,2020-02-29,29,2020,"2",39701744,47128,0,48591.8180512886,-1463.81805128863,47128,0,-3.68703715204207,-0.030124784582943,11375.724137931,0,11729.0595296214,-353.335391690359,11375.724137931,0,-0.889974484975671
"Ukraine","Ukraine","0",2020-03-01,2020-03-31,31,2020,"3",39701744,48326,17,51226.0481308156,-2900.04813081555,48309,0.0428192776619586,-7.30458624390795,-0.0566127631670849,10912.3225806452,3.83870967741935,11567.1721585713,-654.849577926092,10908.4838709677,0.00966886914947453,-1.64942270023728
"Ukraine","Ukraine","0",2020-04-01,2020-04-30,30,2020,"4",39701744,46223,244,48272.1756104667,-2049.17561046666,45979,0.614582573501053,-5.16142467309914,-0.0424504506903215,10785.3666666667,56.9333333333333,11263.5076424422,-478.140975775553,10728.4333333333,0.143402600483579,-1.20433242372313
"Ukraine","Ukraine","0",2020-05-01,2020-05-31,31,2020,"5",39701744,44680,447,50236.2481308155,-5556.24813081555,44233,1.12589512440562,-13.994972439537,-0.110602370550186,10089.0322580645,100.935483870968,11343.6689327648,-1254.63667470029,9988.09677419355,0.254234382930301,-3.16015506699223
"Ukraine","Ukraine","0",2020-06-01,2020-06-30,30,2020,"6",39701744,47043,465,44125.9756104667,2917.02438953334,46578,1.17123318310652,7.34734572247844,0.0661067398324315,10976.7,108.5,10296.0609757756,680.639024224446,10868.2,0.273287742724854,1.7143806685783
"Ukraine","Ukraine","0",2020-07-01,2020-07-31,31,2020,"7",39701744,47297,544,45064.8481308155,2232.15186918445,46753,1.37021688518268,5.62230180413348,0.0495319958186677,10679.9677419355,122.838709677419,10175.9334488938,504.034293041651,10557.1290322581,0.309403812783185,1.2695520202882
"Ukraine","Ukraine","0",2020-08-01,2020-08-31,31,2020,"8",39701744,44008,888,43370.0481308155,637.951869184457,43120,2.2366775625776,1.60686107185734,0.0147095033710876,9937.29032258064,200.516129032258,9793.23667470028,144.053647880361,9736.77419354839,0.505056223807846,0.362839596871012
"Ukraine","Ukraine","0",2020-09-01,2020-09-30,30,2020,"9",39701744,48372,1616,41598.5756104667,6773.42438953334,46756,4.07035015892501,17.0607729210418,0.162828276933335,11286.8,377.066666666667,9706.33430910889,1580.46569089111,10909.7333333333,0.949748370415835,3.98084701490976
"Ukraine","Ukraine","0",2020-10-01,2020-10-31,31,2020,"10",39701744,59047,3178,48982.6481308155,10064.3518691845,55869,8.00468614174732,25.3498986573095,0.20546769628106,13333.1935483871,717.612903225806,11060.5979650229,2272.59558336423,12615.5806451613,1.80750977394294,5.72417066455376
"Ukraine","Ukraine","0",2020-11-01,2020-11-30,30,2020,"11",39701744,63438,5332,47743.5756104667,15694.4243895333,58106,13.4301404996214,39.5308185694143,0.328723271955624,14802.2,1244.13333333333,11140.1676424422,3662.03235755778,13558.0666666667,3.13369944991165,9.22385766619668
"Ukraine","Ukraine","0",2020-12-01,2020-12-31,31,2020,"12",39701744,67663,6550,49704.8481308155,17958.1518691845,61113,16.4980158050488,45.2326524224841,0.361295779878883,15278.7419354839,1479.03225806452,11223.6753843777,4055.06655110617,13799.7096774194,3.72535840759166,10.2138247405609
"Ukraine","Ukraine","0",2021-01-01,2021-01-31,31,2021,"1",39701744,57721,4579,55552.3561526183,2168.64384738172,53142,11.5334983773005,5.46233900299624,0.0390378374127611,13033.7741935484,1033.96774193548,12544.080421559,489.69377198942,11999.8064516129,2.6043383432614,1.23343138777334
"Ukraine","Ukraine","0",2021-02-01,2021-02-28,28,2021,"2",39701744,51391,3544,46657.4483084086,4733.55169159143,47847,8.9265600019989,11.9227802476169,0.10145329123664,12847.75,886,11664.3620771021,1183.38792289786,11961.75,2.23164000049973,2.98069506190423
"Ukraine","Ukraine","0",2021-03-01,2021-03-31,31,2021,"3",39701744,64938,7052,50939.5308410874,13998.4691589126,57886,17.762443886596,35.2590786916377,0.27480561614481,14663.4193548387,1592.38709677419,11502.474706052,3160.94464878671,13071.0322580645,4.01087442600555,7.96172744649884
"Ukraine","Ukraine","0",2021-04-01,2021-04-30,30,2021,"4",39701744,68621,11467,47994.9008139556,20626.0991860444,57154,28.8828621735106,51.9526275370785,0.429756054002448,16011.5666666667,2675.63333333333,11198.810189923,4812.7564767437,13335.9333333333,6.73933450715247,12.1222797586517
"Ukraine","Ukraine","0",2021-05-01,2021-05-31,31,2021,"5",39701744,57293,6650,49949.7308410874,7343.26915891258,50643,16.7498939089426,18.4960871212926,0.147013187764211,12937.1290322581,1501.61290322581,11278.9714802455,1658.15755201252,11435.5161290323,3.78223410847092,4.17653580158221
"Ukraine","Ukraine","0",2021-06-01,2021-06-30,30,2021,"6",39701744,49077,2008,43848.7008139556,5228.29918604442,47069,5.057712326189,13.1689408557076,0.119234985050696,11451.3,468.533333333333,10231.3635232563,1219.9364767437,10982.7666666667,1.18013287611077,3.07275286633176
"Ukraine","Ukraine","0",2021-07-01,2021-07-31,31,2021,"7",39701744,46851,975,44778.3308410874,2072.66915891257,45876,2.45581151296527,5.22059977746209,0.0462873251409974,10579.2580645161,220.161290322581,10111.2359963746,468.022068141548,10359.0967741935,0.554538083572804,1.17884511103983
"Ukraine","Ukraine","0",2021-08-01,2021-08-31,31,2021,"8",39701744,43538,1448,43083.5308410874,454.469158912572,42090,3.6471949443833,1.14470830025143,0.0105485588121565,9831.16129032258,326.967741935484,9728.53922218103,102.622068141549,9504.1935483871,0.823560148731713,0.258482519411612
"Ukraine","Ukraine","0",2021-09-01,2021-09-30,30,2021,"9",39701744,48425,2976,41321.3008139556,7103.69918604443,45449,7.4958923718817,17.8926628161333,0.171913735679039,11299.1666666667,694.4,9641.63685658963,1657.52981007703,10604.7666666667,1.74904155343906,4.17495465709776
"Ukraine","Ukraine","0",2021-10-01,2021-10-31,31,2021,"10",39701744,74282,12093,48696.1308410874,25585.8691589126,62189,30.4596191038862,64.4452021022365,0.525418934050597,16773.3548387097,2730.67741935484,10995.9005125036,5777.45432620606,14042.6774193548,6.87797850732914,14.5521424101824
"Ukraine","Ukraine","0",2021-11-01,2021-11-30,30,2021,"11",39701744,87862,19195,47466.3008139556,40395.6991860444,68667,48.3480020424292,101.747921164482,0.851039547917913,20501.1333333333,4478.83333333333,11075.470189923,9425.66314341036,16022.3,11.2812004765668,23.7411816050458
"Ukraine","Ukraine","0",2021-12-01,2021-12-31,31,2021,"12",39701744,64264,10820,49418.3308410874,14845.6691589126,53444,27.2532108413172,37.3929899878267,0.300408146253486,14511.2258064516,2443.22580645161,11158.9779318585,3352.24787459316,12068,6.15395083513614,8.44357838434795
"Ukraine","Ukraine","0",2022-01-01,2022-01-31,31,2022,"1",39701744,57248,4792,55265.8388628901,1982.16113710995,52456,12.0699987385945,4.9926298882738,0.035865937763607,12926.9677419355,1082.06451612903,12479.3829690397,447.584772895795,11844.9032258065,2.72548358613423,1.12736803928763
