"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Argentina","Argentina",0,"2015-01-01","2015-01-31",31,2015,1,45605823,25724,0,"TBC"
"Argentina","Argentina",0,"2015-02-01","2015-02-28",28,2015,2,45605823,22764,0,"TBC"
"Argentina","Argentina",0,"2015-03-01","2015-03-31",31,2015,3,45605823,25164,0,"TBC"
"Argentina","Argentina",0,"2015-04-01","2015-04-30",30,2015,4,45605823,25875,0,"TBC"
"Argentina","Argentina",0,"2015-05-01","2015-05-31",31,2015,5,45605823,27609,0,"TBC"
"Argentina","Argentina",0,"2015-06-01","2015-06-30",30,2015,6,45605823,29533,0,"TBC"
"Argentina","Argentina",0,"2015-07-01","2015-07-31",31,2015,7,45605823,33409,0,"TBC"
"Argentina","Argentina",0,"2015-08-01","2015-08-31",31,2015,8,45605823,31860,0,"TBC"
"Argentina","Argentina",0,"2015-09-01","2015-09-30",30,2015,9,45605823,29948,0,"TBC"
"Argentina","Argentina",0,"2015-10-01","2015-10-31",31,2015,10,45605823,28664,0,"TBC"
"Argentina","Argentina",0,"2015-11-01","2015-11-30",30,2015,11,45605823,25670,0,"TBC"
"Argentina","Argentina",0,"2015-12-01","2015-12-31",31,2015,12,45605823,27220,0,"TBC"
"Argentina","Argentina",0,"2016-01-01","2016-01-31",31,2016,1,45605823,27659,0,"TBC"
"Argentina","Argentina",0,"2016-02-01","2016-02-29",29,2016,2,45605823,25435,0,"TBC"
"Argentina","Argentina",0,"2016-03-01","2016-03-31",31,2016,3,45605823,27029,0,"TBC"
"Argentina","Argentina",0,"2016-04-01","2016-04-30",30,2016,4,45605823,27201,0,"TBC"
"Argentina","Argentina",0,"2016-05-01","2016-05-31",31,2016,5,45605823,33224,0,"TBC"
"Argentina","Argentina",0,"2016-06-01","2016-06-30",30,2016,6,45605823,36162,0,"TBC"
"Argentina","Argentina",0,"2016-07-01","2016-07-31",31,2016,7,45605823,34485,0,"TBC"
"Argentina","Argentina",0,"2016-08-01","2016-08-31",31,2016,8,45605823,31373,0,"TBC"
"Argentina","Argentina",0,"2016-09-01","2016-09-30",30,2016,9,45605823,29634,0,"TBC"
"Argentina","Argentina",0,"2016-10-01","2016-10-31",31,2016,10,45605823,27928,0,"TBC"
"Argentina","Argentina",0,"2016-11-01","2016-11-30",30,2016,11,45605823,25703,0,"TBC"
"Argentina","Argentina",0,"2016-12-01","2016-12-31",31,2016,12,45605823,26673,0,"TBC"
"Argentina","Argentina",0,"2017-01-01","2017-01-31",31,2017,1,45605823,26822,0,"TBC"
"Argentina","Argentina",0,"2017-02-01","2017-02-28",28,2017,2,45605823,23803,0,"TBC"
"Argentina","Argentina",0,"2017-03-01","2017-03-31",31,2017,3,45605823,26173,0,"TBC"
"Argentina","Argentina",0,"2017-04-01","2017-04-30",30,2017,4,45605823,25881,0,"TBC"
"Argentina","Argentina",0,"2017-05-01","2017-05-31",31,2017,5,45605823,30080,0,"TBC"
"Argentina","Argentina",0,"2017-06-01","2017-06-30",30,2017,6,45605823,37476,0,"TBC"
"Argentina","Argentina",0,"2017-07-01","2017-07-31",31,2017,7,45605823,34822,0,"TBC"
"Argentina","Argentina",0,"2017-08-01","2017-08-31",31,2017,8,45605823,30025,0,"TBC"
"Argentina","Argentina",0,"2017-09-01","2017-09-30",30,2017,9,45605823,27326,0,"TBC"
"Argentina","Argentina",0,"2017-10-01","2017-10-31",31,2017,10,45605823,28010,0,"TBC"
"Argentina","Argentina",0,"2017-11-01","2017-11-30",30,2017,11,45605823,25239,0,"TBC"
"Argentina","Argentina",0,"2017-12-01","2017-12-31",31,2017,12,45605823,26684,0,"TBC"
"Argentina","Argentina",0,"2018-01-01","2018-01-31",31,2018,1,45605823,26128,0,"TBC"
"Argentina","Argentina",0,"2018-02-01","2018-02-28",28,2018,2,45605823,23584,0,"TBC"
"Argentina","Argentina",0,"2018-03-01","2018-03-31",31,2018,3,45605823,25722,0,"TBC"
"Argentina","Argentina",0,"2018-04-01","2018-04-30",30,2018,4,45605823,25331,0,"TBC"
"Argentina","Argentina",0,"2018-05-01","2018-05-31",31,2018,5,45605823,27721,0,"TBC"
"Argentina","Argentina",0,"2018-06-01","2018-06-30",30,2018,6,45605823,31454,0,"TBC"
"Argentina","Argentina",0,"2018-07-01","2018-07-31",31,2018,7,45605823,33674,0,"TBC"
"Argentina","Argentina",0,"2018-08-01","2018-08-31",31,2018,8,45605823,33775,0,"TBC"
"Argentina","Argentina",0,"2018-09-01","2018-09-30",30,2018,9,45605823,30052,0,"TBC"
"Argentina","Argentina",0,"2018-10-01","2018-10-31",31,2018,10,45605823,27858,0,"TBC"
"Argentina","Argentina",0,"2018-11-01","2018-11-30",30,2018,11,45605823,25617,0,"TBC"
"Argentina","Argentina",0,"2018-12-01","2018-12-31",31,2018,12,45605823,26685,0,"TBC"
"Argentina","Argentina",0,"2019-01-01","2019-01-31",31,2019,1,45605823,26359,0,"TBC"
"Argentina","Argentina",0,"2019-02-01","2019-02-28",28,2019,2,45605823,23763,0,"TBC"
"Argentina","Argentina",0,"2019-03-01","2019-03-31",31,2019,3,45605823,26092,0,"TBC"
"Argentina","Argentina",0,"2019-04-01","2019-04-30",30,2019,4,45605823,25654,0,"TBC"
"Argentina","Argentina",0,"2019-05-01","2019-05-31",31,2019,5,45605823,28458,0,"TBC"
"Argentina","Argentina",0,"2019-06-01","2019-06-30",30,2019,6,45605823,31494,0,"TBC"
"Argentina","Argentina",0,"2019-07-01","2019-07-31",31,2019,7,45605823,36110,0,"TBC"
"Argentina","Argentina",0,"2019-08-01","2019-08-31",31,2019,8,45605823,32554,0,"TBC"
"Argentina","Argentina",0,"2019-09-01","2019-09-30",30,2019,9,45605823,29577,0,"TBC"
"Argentina","Argentina",0,"2019-10-01","2019-10-31",31,2019,10,45605823,28480,0,"TBC"
"Argentina","Argentina",0,"2019-11-01","2019-11-30",30,2019,11,45605823,25785,0,"TBC"
"Argentina","Argentina",0,"2019-12-01","2019-12-31",31,2019,12,45605823,26729,0,"TBC"
"Argentina","Argentina",0,"2020-01-01","2020-01-31",31,2020,1,45605823,25791,0,"TBC"
"Argentina","Argentina",0,"2020-02-01","2020-02-29",29,2020,2,45605823,24371,0,"TBC"
"Argentina","Argentina",0,"2020-03-01","2020-03-31",31,2020,3,45605823,26029,27,"TBC"
"Argentina","Argentina",0,"2020-04-01","2020-04-30",30,2020,4,45605823,24899,191,"TBC"
"Argentina","Argentina",0,"2020-05-01","2020-05-31",31,2020,5,45605823,26898,321,"TBC"
"Argentina","Argentina",0,"2020-06-01","2020-06-30",30,2020,6,45605823,28330,768,"TBC"
