"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Barbados","Barbados",0,"2015-01-01","2015-01-31",31,2015,1,281646,336,0,"TBC"
"Barbados","Barbados",0,"2015-02-01","2015-02-28",28,2015,2,281646,187,0,"TBC"
"Barbados","Barbados",0,"2015-03-01","2015-03-31",31,2015,3,281646,224,0,"TBC"
"Barbados","Barbados",0,"2015-04-01","2015-04-30",30,2015,4,281646,202,0,"TBC"
"Barbados","Barbados",0,"2015-05-01","2015-05-31",31,2015,5,281646,185,0,"TBC"
"Barbados","Barbados",0,"2015-06-01","2015-06-30",30,2015,6,281646,183,0,"TBC"
"Barbados","Barbados",0,"2015-07-01","2015-07-31",31,2015,7,281646,210,0,"TBC"
"Barbados","Barbados",0,"2015-08-01","2015-08-31",31,2015,8,281646,175,0,"TBC"
"Barbados","Barbados",0,"2015-09-01","2015-09-30",30,2015,9,281646,248,0,"TBC"
"Barbados","Barbados",0,"2015-10-01","2015-10-31",31,2015,10,281646,221,0,"TBC"
"Barbados","Barbados",0,"2015-11-01","2015-11-30",30,2015,11,281646,177,0,"TBC"
"Barbados","Barbados",0,"2015-12-01","2015-12-31",31,2015,12,281646,222,0,"TBC"
"Barbados","Barbados",0,"2016-01-01","2016-01-31",31,2016,1,281646,216,0,"TBC"
"Barbados","Barbados",0,"2016-02-01","2016-02-29",29,2016,2,281646,208,0,"TBC"
"Barbados","Barbados",0,"2016-03-01","2016-03-31",31,2016,3,281646,164,0,"TBC"
"Barbados","Barbados",0,"2016-04-01","2016-04-30",30,2016,4,281646,242,0,"TBC"
"Barbados","Barbados",0,"2016-05-01","2016-05-31",31,2016,5,281646,239,0,"TBC"
"Barbados","Barbados",0,"2016-06-01","2016-06-30",30,2016,6,281646,217,0,"TBC"
"Barbados","Barbados",0,"2016-07-01","2016-07-31",31,2016,7,281646,187,0,"TBC"
"Barbados","Barbados",0,"2016-08-01","2016-08-31",31,2016,8,281646,205,0,"TBC"
"Barbados","Barbados",0,"2016-09-01","2016-09-30",30,2016,9,281646,219,0,"TBC"
"Barbados","Barbados",0,"2016-10-01","2016-10-31",31,2016,10,281646,238,0,"TBC"
"Barbados","Barbados",0,"2016-11-01","2016-11-30",30,2016,11,281646,242,0,"TBC"
"Barbados","Barbados",0,"2016-12-01","2016-12-31",31,2016,12,281646,207,0,"TBC"
"Barbados","Barbados",0,"2017-01-01","2017-01-31",31,2017,1,281646,310,0,"TBC"
"Barbados","Barbados",0,"2017-02-01","2017-02-28",28,2017,2,281646,206,0,"TBC"
"Barbados","Barbados",0,"2017-03-01","2017-03-31",31,2017,3,281646,236,0,"TBC"
"Barbados","Barbados",0,"2017-04-01","2017-04-30",30,2017,4,281646,197,0,"TBC"
"Barbados","Barbados",0,"2017-05-01","2017-05-31",31,2017,5,281646,192,0,"TBC"
"Barbados","Barbados",0,"2017-06-01","2017-06-30",30,2017,6,281646,212,0,"TBC"
"Barbados","Barbados",0,"2017-07-01","2017-07-31",31,2017,7,281646,205,0,"TBC"
"Barbados","Barbados",0,"2017-08-01","2017-08-31",31,2017,8,281646,194,0,"TBC"
"Barbados","Barbados",0,"2017-09-01","2017-09-30",30,2017,9,281646,214,0,"TBC"
"Barbados","Barbados",0,"2017-10-01","2017-10-31",31,2017,10,281646,252,0,"TBC"
"Barbados","Barbados",0,"2017-11-01","2017-11-30",30,2017,11,281646,224,0,"TBC"
"Barbados","Barbados",0,"2017-12-01","2017-12-31",31,2017,12,281646,190,0,"TBC"
"Barbados","Barbados",0,"2018-01-01","2018-01-31",31,2018,1,281646,222,0,"TBC"
"Barbados","Barbados",0,"2018-02-01","2018-02-28",28,2018,2,281646,232,0,"TBC"
"Barbados","Barbados",0,"2018-03-01","2018-03-31",31,2018,3,281646,218,0,"TBC"
"Barbados","Barbados",0,"2018-04-01","2018-04-30",30,2018,4,281646,143,0,"TBC"
"Barbados","Barbados",0,"2018-05-01","2018-05-31",31,2018,5,281646,296,0,"TBC"
"Barbados","Barbados",0,"2018-06-01","2018-06-30",30,2018,6,281646,193,0,"TBC"
"Barbados","Barbados",0,"2018-07-01","2018-07-31",31,2018,7,281646,221,0,"TBC"
"Barbados","Barbados",0,"2018-08-01","2018-08-31",31,2018,8,281646,201,0,"TBC"
"Barbados","Barbados",0,"2018-09-01","2018-09-30",30,2018,9,281646,188,0,"TBC"
"Barbados","Barbados",0,"2018-10-01","2018-10-31",31,2018,10,281646,239,0,"TBC"
"Barbados","Barbados",0,"2018-11-01","2018-11-30",30,2018,11,281646,191,0,"TBC"
"Barbados","Barbados",0,"2018-12-01","2018-12-31",31,2018,12,281646,187,0,"TBC"
"Barbados","Barbados",0,"2019-01-01","2019-01-31",31,2019,1,281646,263,0,"TBC"
"Barbados","Barbados",0,"2019-02-01","2019-02-28",28,2019,2,281646,244,0,"TBC"
"Barbados","Barbados",0,"2019-03-01","2019-03-31",31,2019,3,281646,206,0,"TBC"
"Barbados","Barbados",0,"2019-04-01","2019-04-30",30,2019,4,281646,252,0,"TBC"
"Barbados","Barbados",0,"2019-05-01","2019-05-31",31,2019,5,281646,291,0,"TBC"
"Barbados","Barbados",0,"2019-06-01","2019-06-30",30,2019,6,281646,208,0,"TBC"
"Barbados","Barbados",0,"2019-07-01","2019-07-31",31,2019,7,281646,245,0,"TBC"
"Barbados","Barbados",0,"2019-08-01","2019-08-31",31,2019,8,281646,215,0,"TBC"
"Barbados","Barbados",0,"2019-09-01","2019-09-30",30,2019,9,281646,251,0,"TBC"
"Barbados","Barbados",0,"2019-10-01","2019-10-31",31,2019,10,281646,220,0,"TBC"
"Barbados","Barbados",0,"2019-11-01","2019-11-30",30,2019,11,281646,266,0,"TBC"
"Barbados","Barbados",0,"2019-12-01","2019-12-31",31,2019,12,281646,235,0,"TBC"
"Barbados","Barbados",0,"2020-01-01","2020-01-31",31,2020,1,281646,255,0,"TBC"
"Barbados","Barbados",0,"2020-02-01","2020-02-29",29,2020,2,281646,224,0,"TBC"
"Barbados","Barbados",0,"2020-03-01","2020-03-31",31,2020,3,281646,244,0,"TBC"
"Barbados","Barbados",0,"2020-04-01","2020-04-30",30,2020,4,281646,183,7,"TBC"
"Barbados","Barbados",0,"2020-05-01","2020-05-31",31,2020,5,281646,245,0,"TBC"
"Barbados","Barbados",0,"2020-06-01","2020-06-30",30,2020,6,281646,238,0,"TBC"
"Barbados","Barbados",0,"2020-07-01","2020-07-31",31,2020,7,281646,229,0,"TBC"
"Barbados","Barbados",0,"2020-08-01","2020-08-31",31,2020,8,281646,233,0,"TBC"
"Barbados","Barbados",0,"2020-09-01","2020-09-30",30,2020,9,281646,187,0,"TBC"
"Barbados","Barbados",0,"2020-10-01","2020-10-31",31,2020,10,281646,225,0,"TBC"
"Barbados","Barbados",0,"2020-11-01","2020-11-30",30,2020,11,281646,209,0,"TBC"
"Barbados","Barbados",0,"2020-12-01","2020-12-31",31,2020,12,281646,241,0,"TBC"
"Barbados","Barbados",0,"2021-01-01","2021-01-31",31,2021,1,281646,173,7,"TBC"
"Barbados","Barbados",0,"2021-02-01","2021-02-28",28,2021,2,281646,222,19,"TBC"
"Barbados","Barbados",0,"2021-03-01","2021-03-31",31,2021,3,281646,322,9,"TBC"
"Barbados","Barbados",0,"2021-04-01","2021-04-30",30,2021,4,281646,189,2,"TBC"
