"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Czech Republic","Czech Republic",0,"2014-12-29","2015-01-04",7,2015,1,10493990,2378,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-01-05","2015-01-11",7,2015,2,10493990,2432,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-01-12","2015-01-18",7,2015,3,10493990,2396,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-01-19","2015-01-25",7,2015,4,10493990,2499,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-01-26","2015-02-01",7,2015,5,10493990,2580,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-02-02","2015-02-08",7,2015,6,10493990,2598,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-02-09","2015-02-15",7,2015,7,10493990,2732,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-02-16","2015-02-22",7,2015,8,10493990,2684,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-02-23","2015-03-01",7,2015,9,10493990,2609,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-03-02","2015-03-08",7,2015,10,10493990,2357,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-03-09","2015-03-15",7,2015,11,10493990,2291,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-03-16","2015-03-22",7,2015,12,10493990,2273,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-03-23","2015-03-29",7,2015,13,10493990,2222,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-03-30","2015-04-05",7,2015,14,10493990,2209,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-04-06","2015-04-12",7,2015,15,10493990,2111,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-04-13","2015-04-19",7,2015,16,10493990,2183,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-04-20","2015-04-26",7,2015,17,10493990,2193,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-04-27","2015-05-03",7,2015,18,10493990,2041,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-05-04","2015-05-10",7,2015,19,10493990,1988,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-05-11","2015-05-17",7,2015,20,10493990,1983,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-05-18","2015-05-24",7,2015,21,10493990,1993,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-05-25","2015-05-31",7,2015,22,10493990,2029,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-06-01","2015-06-07",7,2015,23,10493990,1995,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-06-08","2015-06-14",7,2015,24,10493990,1886,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-06-15","2015-06-21",7,2015,25,10493990,1761,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-06-22","2015-06-28",7,2015,26,10493990,1890,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-06-29","2015-07-05",7,2015,27,10493990,2050,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-07-06","2015-07-12",7,2015,28,10493990,2139,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-07-13","2015-07-19",7,2015,29,10493990,1943,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-07-20","2015-07-26",7,2015,30,10493990,2109,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-07-27","2015-08-02",7,2015,31,10493990,1886,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-08-03","2015-08-09",7,2015,32,10493990,2156,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-08-10","2015-08-16",7,2015,33,10493990,2521,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-08-17","2015-08-23",7,2015,34,10493990,1813,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-08-24","2015-08-30",7,2015,35,10493990,1963,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-08-31","2015-09-06",7,2015,36,10493990,1989,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-09-07","2015-09-13",7,2015,37,10493990,1922,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-09-14","2015-09-20",7,2015,38,10493990,1961,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-09-21","2015-09-27",7,2015,39,10493990,1915,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-09-28","2015-10-04",7,2015,40,10493990,2007,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-10-05","2015-10-11",7,2015,41,10493990,2035,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-10-12","2015-10-18",7,2015,42,10493990,2080,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-10-19","2015-10-25",7,2015,43,10493990,2098,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-10-26","2015-11-01",7,2015,44,10493990,2016,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-11-02","2015-11-08",7,2015,45,10493990,2020,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-11-09","2015-11-15",7,2015,46,10493990,2023,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-11-16","2015-11-22",7,2015,47,10493990,1975,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-11-23","2015-11-29",7,2015,48,10493990,1979,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-11-30","2015-12-06",7,2015,49,10493990,2019,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-12-07","2015-12-13",7,2015,50,10493990,2048,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-12-14","2015-12-20",7,2015,51,10493990,2009,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-12-21","2015-12-27",7,2015,52,10493990,2029,0,"TBC"
"Czech Republic","Czech Republic",0,"2015-12-28","2016-01-03",7,2015,53,10493990,2156,0,"TBC"
"Czech Republic","Czech Republic",0,"2016-01-04","2016-01-10",7,2016,1,10493990,2222,0,"TBC"
"Czech Republic","Czech Republic",0,"2016-01-11","2016-01-17",7,2016,2,10493990,2054,0,"TBC"
