"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Dominican Republic","Dominican Republic",0,"2015-01-01","2015-01-31",31,2015,1,11228821,3637,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-02-01","2015-02-28",28,2015,2,11228821,3212,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-03-01","2015-03-31",31,2015,3,11228821,3650,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-04-01","2015-04-30",30,2015,4,11228821,3430,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-05-01","2015-05-31",31,2015,5,11228821,3261,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-06-01","2015-06-30",30,2015,6,11228821,3248,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-07-01","2015-07-31",31,2015,7,11228821,3417,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-08-01","2015-08-31",31,2015,8,11228821,3380,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-09-01","2015-09-30",30,2015,9,11228821,3400,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-10-01","2015-10-31",31,2015,10,11228821,3777,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-11-01","2015-11-30",30,2015,11,11228821,3604,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2015-12-01","2015-12-31",31,2015,12,11228821,3772,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-01-01","2016-01-31",31,2016,1,11228821,3827,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-02-01","2016-02-29",29,2016,2,11228821,3608,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-03-01","2016-03-31",31,2016,3,11228821,3768,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-04-01","2016-04-30",30,2016,4,11228821,3500,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-05-01","2016-05-31",31,2016,5,11228821,3563,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-06-01","2016-06-30",30,2016,6,11228821,3762,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-07-01","2016-07-31",31,2016,7,11228821,3684,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-08-01","2016-08-31",31,2016,8,11228821,3585,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-09-01","2016-09-30",30,2016,9,11228821,3431,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-10-01","2016-10-31",31,2016,10,11228821,3678,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-11-01","2016-11-30",30,2016,11,11228821,3816,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2016-12-01","2016-12-31",31,2016,12,11228821,3892,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-01-01","2017-01-31",31,2017,1,11228821,4146,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-02-01","2017-02-28",28,2017,2,11228821,3496,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-03-01","2017-03-31",31,2017,3,11228821,3721,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-04-01","2017-04-30",30,2017,4,11228821,3424,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-05-01","2017-05-31",31,2017,5,11228821,3648,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-06-01","2017-06-30",30,2017,6,11228821,3417,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-07-01","2017-07-31",31,2017,7,11228821,3547,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-08-01","2017-08-31",31,2017,8,11228821,3458,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-09-01","2017-09-30",30,2017,9,11228821,3367,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-10-01","2017-10-31",31,2017,10,11228821,3662,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-11-01","2017-11-30",30,2017,11,11228821,3572,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2017-12-01","2017-12-31",31,2017,12,11228821,3752,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-01-01","2018-01-31",31,2018,1,11228821,3643,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-02-01","2018-02-28",28,2018,2,11228821,3595,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-03-01","2018-03-31",31,2018,3,11228821,4126,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-04-01","2018-04-30",30,2018,4,11228821,3549,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-05-01","2018-05-31",31,2018,5,11228821,3416,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-06-01","2018-06-30",30,2018,6,11228821,3324,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-07-01","2018-07-31",31,2018,7,11228821,3527,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-08-01","2018-08-31",31,2018,8,11228821,3377,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-09-01","2018-09-30",30,2018,9,11228821,3313,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-10-01","2018-10-31",31,2018,10,11228821,3492,0,"TBC"
"Dominican Republic","Dominican Republic",0,"2018-11-01","2018-11-30",30,2018,11,11228821,3525,0,"TBC"
