"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Macao","Macao",0,"2015-01-01","2015-01-31",31,2015,1,695180,212,0,"TBC"
"Macao","Macao",0,"2015-02-01","2015-02-28",28,2015,2,695180,193,0,"TBC"
"Macao","Macao",0,"2015-03-01","2015-03-31",31,2015,3,695180,188,0,"TBC"
"Macao","Macao",0,"2015-04-01","2015-04-30",30,2015,4,695180,187,0,"TBC"
"Macao","Macao",0,"2015-05-01","2015-05-31",31,2015,5,695180,181,0,"TBC"
"Macao","Macao",0,"2015-06-01","2015-06-30",30,2015,6,695180,194,0,"TBC"
"Macao","Macao",0,"2015-07-01","2015-07-31",31,2015,7,695180,178,0,"TBC"
"Macao","Macao",0,"2015-08-01","2015-08-31",31,2015,8,695180,201,0,"TBC"
"Macao","Macao",0,"2015-09-01","2015-09-30",30,2015,9,695180,178,0,"TBC"
"Macao","Macao",0,"2015-10-01","2015-10-31",31,2015,10,695180,196,0,"TBC"
"Macao","Macao",0,"2015-11-01","2015-11-30",30,2015,11,695180,181,0,"TBC"
"Macao","Macao",0,"2015-12-01","2015-12-31",31,2015,12,695180,231,0,"TBC"
"Macao","Macao",0,"2016-01-01","2016-01-31",31,2016,1,695180,250,0,"TBC"
"Macao","Macao",0,"2016-02-01","2016-02-29",29,2016,2,695180,203,0,"TBC"
"Macao","Macao",0,"2016-03-01","2016-03-31",31,2016,3,695180,205,0,"TBC"
"Macao","Macao",0,"2016-04-01","2016-04-30",30,2016,4,695180,185,0,"TBC"
"Macao","Macao",0,"2016-05-01","2016-05-31",31,2016,5,695180,206,0,"TBC"
"Macao","Macao",0,"2016-06-01","2016-06-30",30,2016,6,695180,175,0,"TBC"
"Macao","Macao",0,"2016-07-01","2016-07-31",31,2016,7,695180,198,0,"TBC"
"Macao","Macao",0,"2016-08-01","2016-08-31",31,2016,8,695180,148,0,"TBC"
"Macao","Macao",0,"2016-09-01","2016-09-30",30,2016,9,695180,140,0,"TBC"
"Macao","Macao",0,"2016-10-01","2016-10-31",31,2016,10,695180,157,0,"TBC"
"Macao","Macao",0,"2016-11-01","2016-11-30",30,2016,11,695180,191,0,"TBC"
"Macao","Macao",0,"2016-12-01","2016-12-31",31,2016,12,695180,190,0,"TBC"
"Macao","Macao",0,"2017-01-01","2017-01-31",31,2017,1,695180,167,0,"TBC"
"Macao","Macao",0,"2017-02-01","2017-02-28",28,2017,2,695180,151,0,"TBC"
