"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Moldova","Moldova",0,"2015-01-01","2015-01-31",31,2015,1,4024025,4013,0,"TBC"
"Moldova","Moldova",0,"2015-02-01","2015-02-28",28,2015,2,4024025,3476,0,"TBC"
"Moldova","Moldova",0,"2015-03-01","2015-03-31",31,2015,3,4024025,3681,0,"TBC"
"Moldova","Moldova",0,"2015-04-01","2015-04-30",30,2015,4,4024025,3578,0,"TBC"
"Moldova","Moldova",0,"2015-05-01","2015-05-31",31,2015,5,4024025,3282,0,"TBC"
"Moldova","Moldova",0,"2015-06-01","2015-06-30",30,2015,6,4024025,3023,0,"TBC"
"Moldova","Moldova",0,"2015-07-01","2015-07-31",31,2015,7,4024025,3070,0,"TBC"
"Moldova","Moldova",0,"2015-08-01","2015-08-31",31,2015,8,4024025,2682,0,"TBC"
"Moldova","Moldova",0,"2015-09-01","2015-09-30",30,2015,9,4024025,2898,0,"TBC"
"Moldova","Moldova",0,"2015-10-01","2015-10-31",31,2015,10,4024025,3320,0,"TBC"
"Moldova","Moldova",0,"2015-11-01","2015-11-30",30,2015,11,4024025,3391,0,"TBC"
"Moldova","Moldova",0,"2015-12-01","2015-12-31",31,2015,12,4024025,3469,0,"TBC"
"Moldova","Moldova",0,"2016-01-01","2016-01-31",31,2016,1,4024025,3964,0,"TBC"
"Moldova","Moldova",0,"2016-02-01","2016-02-29",29,2016,2,4024025,3472,0,"TBC"
"Moldova","Moldova",0,"2016-03-01","2016-03-31",31,2016,3,4024025,3317,0,"TBC"
"Moldova","Moldova",0,"2016-04-01","2016-04-30",30,2016,4,4024025,3044,0,"TBC"
"Moldova","Moldova",0,"2016-05-01","2016-05-31",31,2016,5,4024025,3153,0,"TBC"
"Moldova","Moldova",0,"2016-06-01","2016-06-30",30,2016,6,4024025,3209,0,"TBC"
"Moldova","Moldova",0,"2016-07-01","2016-07-31",31,2016,7,4024025,2918,0,"TBC"
"Moldova","Moldova",0,"2016-08-01","2016-08-31",31,2016,8,4024025,2626,0,"TBC"
"Moldova","Moldova",0,"2016-09-01","2016-09-30",30,2016,9,4024025,2925,0,"TBC"
"Moldova","Moldova",0,"2016-10-01","2016-10-31",31,2016,10,4024025,3123,0,"TBC"
"Moldova","Moldova",0,"2016-11-01","2016-11-30",30,2016,11,4024025,3268,0,"TBC"
"Moldova","Moldova",0,"2016-12-01","2016-12-31",31,2016,12,4024025,3470,0,"TBC"
"Moldova","Moldova",0,"2017-01-01","2017-01-31",31,2017,1,4024025,4312,0,"TBC"
"Moldova","Moldova",0,"2017-02-01","2017-02-28",28,2017,2,4024025,3274,0,"TBC"
"Moldova","Moldova",0,"2017-03-01","2017-03-31",31,2017,3,4024025,3247,0,"TBC"
"Moldova","Moldova",0,"2017-04-01","2017-04-30",30,2017,4,4024025,2964,0,"TBC"
"Moldova","Moldova",0,"2017-05-01","2017-05-31",31,2017,5,4024025,3093,0,"TBC"
"Moldova","Moldova",0,"2017-06-01","2017-06-30",30,2017,6,4024025,2884,0,"TBC"
"Moldova","Moldova",0,"2017-07-01","2017-07-31",31,2017,7,4024025,2442,0,"TBC"
"Moldova","Moldova",0,"2017-08-01","2017-08-31",31,2017,8,4024025,2748,0,"TBC"
"Moldova","Moldova",0,"2017-09-01","2017-09-30",30,2017,9,4024025,2620,0,"TBC"
"Moldova","Moldova",0,"2017-10-01","2017-10-31",31,2017,10,4024025,3010,0,"TBC"
"Moldova","Moldova",0,"2017-11-01","2017-11-30",30,2017,11,4024025,3170,0,"TBC"
"Moldova","Moldova",0,"2017-12-01","2017-12-31",31,2017,12,4024025,3004,0,"TBC"
"Moldova","Moldova",0,"2018-01-01","2018-01-31",31,2018,1,4024025,3623,0,"TBC"
"Moldova","Moldova",0,"2018-02-01","2018-02-28",28,2018,2,4024025,3094,0,"TBC"
"Moldova","Moldova",0,"2018-03-01","2018-03-31",31,2018,3,4024025,3468,0,"TBC"
"Moldova","Moldova",0,"2018-04-01","2018-04-30",30,2018,4,4024025,3032,0,"TBC"
