"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"United States","United States",0,"2014-12-29","2015-01-04",7,2015,1,332915074,61889,0,"TBC"
"United States","United States",0,"2015-01-05","2015-01-11",7,2015,2,332915074,61273,0,"TBC"
"United States","United States",0,"2015-01-12","2015-01-18",7,2015,3,332915074,58754,0,"TBC"
"United States","United States",0,"2015-01-19","2015-01-25",7,2015,4,332915074,57407,0,"TBC"
"United States","United States",0,"2015-01-26","2015-02-01",7,2015,5,332915074,57474,0,"TBC"
"United States","United States",0,"2015-02-02","2015-02-08",7,2015,6,332915074,56751,0,"TBC"
"United States","United States",0,"2015-02-09","2015-02-15",7,2015,7,332915074,56788,0,"TBC"
"United States","United States",0,"2015-02-16","2015-02-22",7,2015,8,332915074,56435,0,"TBC"
"United States","United States",0,"2015-02-23","2015-03-01",7,2015,9,332915074,56602,0,"TBC"
"United States","United States",0,"2015-03-02","2015-03-08",7,2015,10,332915074,55844,0,"TBC"
"United States","United States",0,"2015-03-09","2015-03-15",7,2015,11,332915074,54567,0,"TBC"
"United States","United States",0,"2015-03-16","2015-03-22",7,2015,12,332915074,53498,0,"TBC"
"United States","United States",0,"2015-03-23","2015-03-29",7,2015,13,332915074,53316,0,"TBC"
"United States","United States",0,"2015-03-30","2015-04-05",7,2015,14,332915074,52919,0,"TBC"
"United States","United States",0,"2015-04-06","2015-04-12",7,2015,15,332915074,52972,0,"TBC"
"United States","United States",0,"2015-04-13","2015-04-19",7,2015,16,332915074,51709,0,"TBC"
"United States","United States",0,"2015-04-20","2015-04-26",7,2015,17,332915074,51597,0,"TBC"
"United States","United States",0,"2015-04-27","2015-05-03",7,2015,18,332915074,51776,0,"TBC"
"United States","United States",0,"2015-05-04","2015-05-10",7,2015,19,332915074,50808,0,"TBC"
"United States","United States",0,"2015-05-11","2015-05-17",7,2015,20,332915074,49495,0,"TBC"
"United States","United States",0,"2015-05-18","2015-05-24",7,2015,21,332915074,49942,0,"TBC"
"United States","United States",0,"2015-05-25","2015-05-31",7,2015,22,332915074,49350,0,"TBC"
"United States","United States",0,"2015-06-01","2015-06-07",7,2015,23,332915074,49902,0,"TBC"
"United States","United States",0,"2015-06-08","2015-06-14",7,2015,24,332915074,49227,0,"TBC"
"United States","United States",0,"2015-06-15","2015-06-21",7,2015,25,332915074,49174,0,"TBC"
"United States","United States",0,"2015-06-22","2015-06-28",7,2015,26,332915074,49357,0,"TBC"
"United States","United States",0,"2015-06-29","2015-07-05",7,2015,27,332915074,49048,0,"TBC"
"United States","United States",0,"2015-07-06","2015-07-12",7,2015,28,332915074,49366,0,"TBC"
"United States","United States",0,"2015-07-13","2015-07-19",7,2015,29,332915074,48759,0,"TBC"
"United States","United States",0,"2015-07-20","2015-07-26",7,2015,30,332915074,48825,0,"TBC"
"United States","United States",0,"2015-07-27","2015-08-02",7,2015,31,332915074,48448,0,"TBC"
"United States","United States",0,"2015-08-03","2015-08-09",7,2015,32,332915074,48285,0,"TBC"
"United States","United States",0,"2015-08-10","2015-08-16",7,2015,33,332915074,48570,0,"TBC"
"United States","United States",0,"2015-08-17","2015-08-23",7,2015,34,332915074,48636,0,"TBC"
"United States","United States",0,"2015-08-24","2015-08-30",7,2015,35,332915074,48849,0,"TBC"
"United States","United States",0,"2015-08-31","2015-09-06",7,2015,36,332915074,48932,0,"TBC"
"United States","United States",0,"2015-09-07","2015-09-13",7,2015,37,332915074,49045,0,"TBC"
"United States","United States",0,"2015-09-14","2015-09-20",7,2015,38,332915074,49399,0,"TBC"
"United States","United States",0,"2015-09-21","2015-09-27",7,2015,39,332915074,48993,0,"TBC"
"United States","United States",0,"2015-09-28","2015-10-04",7,2015,40,332915074,51191,0,"TBC"
"United States","United States",0,"2015-10-05","2015-10-11",7,2015,41,332915074,50145,0,"TBC"
"United States","United States",0,"2015-10-12","2015-10-18",7,2015,42,332915074,51018,0,"TBC"
"United States","United States",0,"2015-10-19","2015-10-25",7,2015,43,332915074,50569,0,"TBC"
