"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Belgium","Belgium","0",2019-12-30,2020-01-05,7,2020,"1",11655923,2234,0,2346.93024344581,-112.930243445812,2234,0,-0.968865729859508,-0.0481182786583404
"Belgium","Belgium","0",2020-01-06,2020-01-12,7,2020,"2",11655923,2388,0,2406.93024344574,-18.9302434457381,2388,0,-0.162408789468995,-0.00786489076585695
"Belgium","Belgium","0",2020-01-13,2020-01-19,7,2020,"3",11655923,2314,0,2387.26357677907,-73.2635767790716,2314,0,-0.628552340119883,-0.0306893539078411
"Belgium","Belgium","0",2020-01-20,2020-01-26,7,2020,"4",11655923,2204,0,2368.5969101124,-164.596910112405,2204,0,-1.41213106943487,-0.0694913133634857
"Belgium","Belgium","0",2020-01-27,2020-02-02,7,2020,"5",11655923,2356,0,2466.93024344574,-110.930243445738,2356,0,-0.951707071552705,-0.0449669153558205
"Belgium","Belgium","0",2020-02-03,2020-02-09,7,2020,"6",11655923,2169,0,2417.76357677907,-248.763576779072,2169,0,-2.13422460648609,-0.102889951345231
"Belgium","Belgium","0",2020-02-10,2020-02-16,7,2020,"7",11655923,2307,0,2470.0969101124,-163.096910112405,2307,0,-1.39926207570524,-0.0660285470763099
"Belgium","Belgium","0",2020-02-17,2020-02-23,7,2020,"8",11655923,2301,0,2439.26357677907,-138.263576779072,2301,0,-1.18620873507033,-0.0566825078254323
"Belgium","Belgium","0",2020-02-24,2020-03-01,7,2020,"9",11655923,2249,0,2523.91629213488,-274.91629213488,2249,0,-2.35859735977048,-0.108924488895129
"Belgium","Belgium","0",2020-03-02,2020-03-08,7,2020,"10",11655923,2212,0,2431.91629213488,-219.91629213488,2212,0,-1.88673425635087,-0.0904292194785309
"Belgium","Belgium","0",2020-03-09,2020-03-15,7,2020,"11",11655923,2234,4,2323.71629213488,-89.7162921348809,2230,0.0343173166123352,-0.769705600619366,-0.0386089697948692
"Belgium","Belgium","0",2020-03-16,2020-03-22,7,2020,"12",11655923,2554,71,2301.31629213488,252.68370786512,2483,0.60913236986895,2.16785670139653,0.109799643242742
"Belgium","Belgium","0",2020-03-23,2020-03-29,7,2020,"13",11655923,3198,356,2205.91629213488,992.083707865119,2842,3.05424117849783,8.51141267718669,0.449737694672441
"Belgium","Belgium","0",2020-03-30,2020-04-05,7,2020,"14",11655923,4021,1016,2098.71629213488,1922.28370786512,3005,8.71659841953314,16.4919046553852,0.915933094467814
"Belgium","Belgium","0",2020-04-06,2020-04-12,7,2020,"15",11655923,4292,2153,2074.31629213488,2217.68370786512,2139,18.4712956665894,19.0262384872062,1.06911550387655
"Belgium","Belgium","0",2020-04-13,2020-04-19,7,2020,"16",11655923,3703,2083,2030.51629213488,1672.48370786512,1620,17.8707426258736,14.3487882329449,0.823674113989342
"Belgium","Belgium","0",2020-04-20,2020-04-26,7,2020,"17",11655923,3039,1411,2011.31629213488,1027.68370786512,1628,12.1054334350012,8.81683679503647,0.510950819562198
"Belgium","Belgium","0",2020-04-27,2020-05-03,7,2020,"18",11655923,2429,750,1991.31629213488,437.683707865119,1679,6.43449686481285,3.75503259471703,0.219796176827278
"Belgium","Belgium","0",2020-05-04,2020-05-10,7,2020,"19",11655923,2390,812,2009.31629213488,380.68370786512,1578,6.96641527230405,3.26601083299126,0.189459324724156
"Belgium","Belgium","0",2020-05-11,2020-05-17,7,2020,"20",11655923,2042,396,1960.31629213488,81.6837078651208,1646,3.39741434462119,0.700791416219212,0.0416686369402988
"Belgium","Belgium","0",2020-05-18,2020-05-24,7,2020,"21",11655923,2082,228,1949.31629213488,132.683707865118,1854,1.95608704690311,1.13833720302646,0.0680667926495417
"Belgium","Belgium","0",2020-05-25,2020-05-31,7,2020,"22",11655923,1983,187,1910.51629213488,72.4837078651194,1796,1.60433455162667,0.621861588010829,0.0379393298887409
"Belgium","Belgium","0",2020-06-01,2020-06-07,7,2020,"23",11655923,1799,128,1857.11629213488,-58.1162921348816,1671,1.09815413159473,-0.498598799381925,-0.0312938357070106
"Belgium","Belgium","0",2020-06-08,2020-06-14,7,2020,"24",11655923,1899,60,1839.71629213488,59.2837078651194,1839,0.514759749185028,0.508614443190122,0.0322243750944469
"Belgium","Belgium","0",2020-06-15,2020-06-21,7,2020,"25",11655923,1822,41,1901.71629213488,-79.7162921348813,1781,0.351752495276436,-0.683912309088532,-0.0419180781405576
"Belgium","Belgium","0",2020-06-22,2020-06-28,7,2020,"26",11655923,1968,36,1876.11629213488,91.88370786512,1932,0.308855849511017,0.788300573580659,0.0489754863546135
"Belgium","Belgium","0",2020-06-29,2020-07-05,7,2020,"27",11655923,1768,39,2002.31629213488,-234.31629213488,1729,0.334593836970268,-2.01027659615528,-0.11702261678401
"Belgium","Belgium","0",2020-07-06,2020-07-12,7,2020,"28",11655923,1682,11,1840.91629213488,-158.91629213488,1671,0.0943726206839218,-1.36339517801275,-0.0863245617488598
"Belgium","Belgium","0",2020-07-13,2020-07-19,7,2020,"29",11655923,1859,18,1883.91629213488,-24.9162921348816,1841,0.154427924755508,-0.213765071499542,-0.0132257957738908
"Belgium","Belgium","0",2020-07-20,2020-07-26,7,2020,"30",11655923,1810,21,1974.91629213488,-164.91629213488,1789,0.18016591221476,-1.41487115293126,-0.0835054593410672
"Belgium","Belgium","0",2020-07-27,2020-08-02,7,2020,"31",11655923,1947,24,1864.51629213488,82.4837078651199,1923,0.205903899674011,0.70765487954167,0.044238662978201
"Belgium","Belgium","0",2020-08-03,2020-08-09,7,2020,"32",11655923,2046,27,1854.51629213488,191.48370786512,2019,0.231641887133263,1.6428017572278,0.103252642577051
"Belgium","Belgium","0",2020-08-10,2020-08-16,7,2020,"33",11655923,2882,67,1834.31629213488,1047.68370786512,2815,0.574815053256615,8.98842337809816,0.57115760916334
"Belgium","Belgium","0",2020-08-17,2020-08-23,7,2020,"34",11655923,2215,53,1880.91629213488,334.083707865121,2162,0.454704445113441,2.86621409445756,0.177617531020442
"Belgium","Belgium","0",2020-08-24,2020-08-30,7,2020,"35",11655923,1879,19,1887.11629213488,-8.11629213487959,1860,0.163007253908592,-0.0696323417277172,-0.00430089664781474
"Belgium","Belgium","0",2020-08-31,2020-09-06,7,2020,"36",11655923,1891,13,1827.11629213488,63.8837078651195,1878,0.111531278990089,0.548079357294309,0.0349642264918315
"Belgium","Belgium","0",2020-09-07,2020-09-13,7,2020,"37",11655923,1825,18,1843.51629213488,-18.5162921348801,1807,0.154427924755508,-0.158857364919793,-0.0100440078636015
"Belgium","Belgium","0",2020-09-14,2020-09-20,7,2020,"38",11655923,2004,23,1861.91629213488,142.08370786512,1981,0.197324570520927,1.21898289706546,0.0763104702747974
"Belgium","Belgium","0",2020-09-21,2020-09-27,7,2020,"39",11655923,1916,32,1886.71629213488,29.2837078651205,1884,0.274538532898682,0.251234568597618,0.0155209916759584
"Belgium","Belgium","0",2020-09-28,2020-10-04,7,2020,"40",11655923,1920,84,1948.11629213488,-28.11629213488,1836,0.720663648859039,-0.241218924789397,-0.0144325532558779
"Belgium","Belgium","0",2020-10-05,2020-10-11,7,2020,"41",11655923,2060,127,1999.11629213488,60.88370786512,1933,1.08957480244164,0.522341369835061,0.0304553107313739
"Belgium","Belgium","0",2020-10-12,2020-10-18,7,2020,"42",11655923,2157,222,1984.11629213488,172.88370786512,1935,1.9046110719846,1.48322623498044,0.087133858307821
"Belgium","Belgium","0",2020-10-19,2020-10-25,7,2020,"43",11655923,2629,397,1970.91629213488,658.083707865121,2232,3.40599367377427,5.64591674005672,0.333897340283433
"Belgium","Belgium","0",2020-10-26,2020-11-01,7,2020,"44",11655923,3282,927,1962.51629213488,1319.48370786512,2355,7.95303812490868,11.3202850419063,0.672342804568388
"Belgium","Belgium","0",2020-11-02,2020-11-08,7,2020,"45",11655923,3689,1318,1985.71629213488,1703.28370786512,2371,11.3075558237645,14.6130315708599,0.857767907032624
"Belgium","Belgium","0",2020-11-09,2020-11-15,7,2020,"46",11655923,3432,1366,2023.11629213488,1408.88370786512,2066,11.7193636231125,12.087277068192,0.696392843724473
