"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Bolivia","Bolivia","0",2020-01-01,2020-01-31,31,2020,"1",12224114,4717,0,4547.34808733194,169.651912668056,4717,0,1.38784629027556,0.0373078791000572,1065.12903225806,0,1026.82053584915,38.3084964089159,1065.12903225806,0,0.313384646191257
"Bolivia","Bolivia","0",2020-02-01,2020-02-29,29,2020,"2",12224114,4364,0,4220.37094498489,143.629055015107,4364,0,1.17496495054862,0.0340323295955258,1053.37931034483,0,1018.7102280998,34.6690822450258,1053.37931034483,0,0.283612229442771
"Bolivia","Bolivia","0",2020-03-01,2020-03-31,31,2020,"3",12224114,4715,6,4431.81770479836,283.182295201637,4709,0.0490833118866529,2.3165874860267,0.0638975504103054,1064.67741935484,1.35483870967742,1000.73303011576,63.9443892390794,1063.32258064516,0.0110833284905345,0.523100400070544
"Bolivia","Bolivia","0",2020-04-01,2020-04-30,30,2020,"4",12224114,3393,56,4236.81713367583,-843.817133675834,3337,0.458110910942094,-6.90288992458541,-0.199162981798023,791.7,13.0666666666667,988.590664524361,-196.890664524361,778.633333333333,0.106892545886489,-1.61067431573659
"Bolivia","Bolivia","0",2020-05-01,2020-05-31,31,2020,"5",12224114,4763,251,4516.01770479836,246.982295201638,4512,2.05331854725831,2.02045150431057,0.0546902849692583,1075.51612903226,56.6774193548387,1019.74593334157,55.7701956906925,1018.83870967742,0.463652575187361,0.456230984844321
"Bolivia","Bolivia","0",2020-06-01,2020-06-30,30,2020,"6",12224114,8960,810,4630.61713367583,4329.38286632417,8150,6.62624710469814,35.4167415840867,0.934947274055338,2090.66666666667,189,1080.47733119103,1010.18933547564,1901.66666666667,1.54612432442957,8.26390636962023
"Bolivia","Bolivia","0",2020-07-01,2020-07-31,31,2020,"7",12224114,15992,1854,4660.81770479836,11331.1822952016,14138,15.1667433729757,92.6953257733169,2.43115758068291,3611.09677419355,418.645161290323,1052.44270753511,2558.65406665843,3192.45161290323,3.42474850357517,20.9312025939748
"Bolivia","Bolivia","0",2020-08-01,2020-08-31,31,2020,"8",12224114,8283,2050,4531.01770479836,3751.98229520164,6233,16.7701315612731,30.693286198097,0.828066129873709,1870.35483870968,462.903225806452,1023.13303011576,847.221808593918,1407.45161290323,3.78680390093263,6.93074204473157
"Bolivia","Bolivia","0",2020-09-01,2020-09-30,30,2020,"9",12224114,5240,2938,4309.81713367583,930.182866324166,2302,24.0344617204977,7.60940928990163,0.215828847831141,1222.66666666667,685.533333333333,1005.62399785769,217.042668808972,537.133333333333,5.60804106811613,1.77552883431038
"Bolivia","Bolivia","0",2020-10-01,2020-10-31,31,2020,"10",12224114,4972,760,4404.81770479836,567.182295201637,4212,6.2172195056427,4.6398642486616,0.128764079063654,1122.70967741935,171.612903225806,994.636255922211,128.073421497144,951.096774193548,1.40388827546771,1.04771128195584
"Bolivia","Bolivia","0",2020-11-01,2020-11-30,30,2020,"11",12224114,4642,232,4210.81713367584,431.182866324165,4410,1.89788805961725,3.52731385132832,0.10239885813986,1083.13333333333,54.1333333333333,982.523997857695,100.609335475638,1029,0.442840547244024,0.823039898643276
"Bolivia","Bolivia","0",2020-12-01,2020-12-31,31,2020,"12",12224114,4822,208,4500.61770479836,321.382295201637,4614,1.70155481207063,2.62908457170505,0.0714084857416335,1088.83870967742,46.9677419354839,1016.26851398673,72.5701956906923,1041.87096774194,0.38422205433853,0.593664258126947
"Bolivia","Bolivia","0",2021-01-01,2021-01-31,31,2021,"1",12224114,9977,1214,4615.55398893142,5361.44601106858,8763,9.9311901050661,43.859587787455,1.1616040076502,2252.87096774194,274.129032258065,1042.22186846838,1210.64909927355,1978.74193548387,2.24252679791815,9.90377788748985
"Bolivia","Bolivia","0",2021-02-01,2021-02-28,28,2021,"2",12224114,7382,1270,4136.44624287615,3245.55375712385,6112,10.3893010160082,26.5504212176347,0.784623700287025,1845.5,317.5,1034.11156071904,811.388439280962,1528,2.59732525400205,6.63760530440866
"Bolivia","Bolivia","0",2021-03-01,2021-03-31,31,2021,"3",12224114,6026,608,4500.02360639784,1525.97639360216,5418,4.97377560451416,12.4833292098075,0.339104086350265,1360.70967741935,137.290322580645,1016.134362735,344.575314684359,1223.41935483871,1.12311062037417,2.81881627318233
"Bolivia","Bolivia","0",2021-04-01,2021-04-30,30,2021,"4",12224114,5666,694,4302.82284490113,1363.17715509887,4972,5.67730307488952,11.1515415767463,0.316809965047536,1322.06666666667,161.933333333333,1003.9919971436,318.074669523069,1160.13333333333,1.32470405080755,2.60202636790748
"Bolivia","Bolivia","0",2021-05-01,2021-05-31,31,2021,"5",12224114,9055,1573,4584.22360639784,4470.77639360216,7482,12.8680082662842,36.5734186837767,0.975252687797048,2044.67741935484,355.193548387097,1035.1472659608,1009.53015339404,1689.48387096774,2.90567928593513,8.25851389633667
"Bolivia","Bolivia","0",2021-06-01,2021-06-30,30,2021,"6",12224114,10599,2243,4696.62284490113,5902.37715509887,8356,18.3489780936271,48.2847031293955,1.25672794048318,2473.1,523.366666666667,1095.87866381026,1377.22133618974,1949.73333333333,4.28142822184632,11.2664307301923
"Bolivia","Bolivia","0",2021-07-01,2021-07-31,31,2021,"7",12224114,7631,1054,4729.02360639784,2901.97639360216,6577,8.62230178808869,23.7397687358132,0.613652338228153,1723.12903225806,238,1067.84404015435,655.284992103714,1485.12903225806,1.9469713715039,5.36059294034492
"Bolivia","Bolivia","0",2021-08-01,2021-08-31,31,2021,"8",12224114,6087,631,4599.22360639784,1487.77639360216,5456,5.16192830007966,12.1708321241291,0.323484248848559,1374.48387096774,142.483870967742,1038.534362735,335.949508232746,1232,1.16559671292121,2.74825241512593
"Bolivia","Bolivia","0",2021-09-01,2021-09-30,30,2021,"9",12224114,5067,283,4375.82284490113,691.177155098868,4784,2.31509621065379,5.6542106454412,0.157953641999985,1182.3,66.0333333333333,1021.02533047693,161.274669523069,1116.26666666667,0.540189115819219,1.31931581726961
"Bolivia","Bolivia","0",2021-10-01,2021-10-31,31,2021,"10",12224114,5045,190,4473.02360639784,571.976393602163,4855,1.55430487641067,4.67908261982965,0.127872429017378,1139.1935483871,42.9032258064516,1010.03758854145,129.15595984565,1096.29032258065,0.350972068866927,1.05656704318734
"Bolivia","Bolivia","0",2021-11-01,2021-11-30,30,2021,"11",12224114,5202,246,4276.82284490113,925.177155098867,4956,2.01241578735277,7.56845980902065,0.216323469231809,1213.8,57.4,997.925330476931,215.874669523069,1156.4,0.469563683715646,1.76597395543815
"Bolivia","Bolivia","0",2021-12-01,2021-12-31,31,2021,"12",12224114,6564,509,4568.82360639784,1995.17639360216,6055,4.16390095838439,16.3216441993437,0.436693679924142,1482.1935483871,114.935483870968,1031.66984660596,450.523701781134,1367.25806451613,0.940235700280345,3.68553256114213
"Bolivia","Bolivia","0",2022-01-01,2022-01-31,31,2022,"1",12224114,9779,1271,4683.75989053087,5095.24010946913,8508,10.3974815679893,41.6818765717428,1.08785254337443,2208.16129032258,287,1057.62320108761,1150.53808923497,1921.16129032258,2.34781841857823,9.41203664523225
