"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Britain","Britain","0",2019-12-28,2020-01-03,7,2020,"1",67886004,13768,0,13783.795654184,-15.7956541839703,13768,0,-0.0232679098094658,-0.00114595823822849
"Britain","Britain","0",2020-01-04,2020-01-10,7,2020,"2",67886004,16018,0,15801.1289875174,216.871012482577,16018,0,0.319463511922984,0.0137250327273388
"Britain","Britain","0",2020-01-11,2020-01-17,7,2020,"3",67886004,14723,0,14920.2956541841,-197.295654184081,14723,0,-0.290627879914807,-0.0132233072827048
"Britain","Britain","0",2020-01-18,2020-01-24,7,2020,"4",67886004,13426,0,14264.2956541841,-838.295654184081,13426,0,-1.23485785698048,-0.0587688081141383
"Britain","Britain","0",2020-01-25,2020-01-31,7,2020,"5",67886004,13123,0,13697.9623208507,-574.96232085074,13123,0,-0.846952666194257,-0.0419742956932758
"Britain","Britain","0",2020-02-01,2020-02-07,7,2020,"6",67886004,12532,0,13323.6289875174,-791.628987517406,12532,0,-1.1661151649424,-0.059415418146142
"Britain","Britain","0",2020-02-08,2020-02-14,7,2020,"7",67886004,12416,0,13050.6289875174,-634.628987517406,12416,0,-0.934845108157207,-0.048628229959216
"Britain","Britain","0",2020-02-15,2020-02-21,7,2020,"8",67886004,12299,0,12987.2956541841,-688.295654184081,12299,0,-1.01389920400099,-0.0529976118594278
"Britain","Britain","0",2020-02-22,2020-02-28,7,2020,"9",67886004,12333,0,12600.7956541841,-267.795654184085,12333,0,-0.394478446815171,-0.0212522813267878
"Britain","Britain","0",2020-02-29,2020-03-06,7,2020,"10",67886004,12412,1,13040.3547850209,-628.3547850209,12411,0.00147305768652991,-0.925602845942883,-0.048185405641162
"Britain","Britain","0",2020-03-07,2020-03-13,7,2020,"11",67886004,12539,9,12661.3547850209,-122.354785020892,12530,0.0132575191787692,-0.18023565655874,-0.00966364082662352
"Britain","Britain","0",2020-03-14,2020-03-20,7,2020,"12",67886004,12113,186,11980.5547850209,132.445214979094,11927,0.273988729694563,0.19509944196906,0.0110550151771509
"Britain","Britain","0",2020-03-21,2020-03-27,7,2020,"13",67886004,12508,978,11524.3547850209,983.645214979093,11530,1.44065041742625,1.44896614474332,0.0853536040262846
"Britain","Britain","0",2020-03-28,2020-04-03,7,2020,"14",67886004,18565,3350,11655.7547850209,6909.24521497909,15215,4.93474324987519,10.1777167720449,0.592775443754043
"Britain","Britain","0",2020-04-04,2020-04-10,7,2020,"15",67886004,20929,6305,11893.3547850209,9035.64521497911,14624,9.28762871357106,13.3100266366821,0.759722162359023
"Britain","Britain","0",2020-04-11,2020-04-17,7,2020,"16",67886004,24691,6144,11824.7547850209,12866.2452149791,18547,9.05046642603975,18.9527214107036,1.08807712708576
"Britain","Britain","0",2020-04-18,2020-04-24,7,2020,"17",67886004,24303,5900,11819.3547850209,12483.6452149791,18403,8.69104035052645,18.3891295398372,1.05620361196028
