"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Cape Verde","Cape Verde","0",2020-01-01,2020-01-31,31,2020,"1",593162,250,0,253.185412485556,-3.18541248555562,250,0,-0.53702234559119,-0.0125813428754997,56.4516129032258,0,57.1708995935126,-0.719286690286752,56.4516129032258,0,-0.121263110294785
"Cape Verde","Cape Verde","0",2020-02-01,2020-02-29,29,2020,"2",593162,226,0,230.179402770665,-4.17940277066506,226,0,-0.704597187726972,-0.0181571535956635,54.551724137931,0,55.5605454963674,-1.00882135843639,54.551724137931,0,-0.170075183244442
"Cape Verde","Cape Verde","0",2020-03-01,2020-03-31,31,2020,"3",593162,212,1,256.222494982666,-44.2224949826659,211,0.168588007997815,-7.45538233782101,-0.172594115850982,47.8709677419355,0.225806451612903,57.8566924154407,-9.9857246735052,47.6451612903226,0.0380682598704744,-1.68347343112087
"Cape Verde","Cape Verde","0",2020-04-01,2020-04-30,30,2020,"4",593162,221,0,214.615317725161,6.38468227483946,221,0,1.07638086641414,0.0297494248896799,51.5666666666667,0,50.0769074692041,1.48975919746254,51.5666666666667,0,0.251155535496634
"Cape Verde","Cape Verde","0",2020-05-01,2020-05-31,31,2020,"5",593162,206,3,208.622494982666,-2.62249498266587,203,0.505764023993445,-0.442121205111904,-0.012570528326218,46.5161290322581,0.67741935483871,47.1083053186665,-0.592176286408422,45.8387096774194,0.114204779611423,-0.0998338205091395
"Cape Verde","Cape Verde","0",2020-06-01,2020-06-30,30,2020,"6",593162,245,11,203.215317725161,41.7846822748394,234,1.85446808797597,7.04439634953679,0.205617778928217,57.1666666666667,2.56666666666667,47.4169074692041,9.74975919746254,54.6,0.432709220527725,1.64369248155859
"Cape Verde","Cape Verde","0",2020-07-01,2020-07-31,31,2020,"7",593162,227,8,222.422494982666,4.57750501733409,219,1.34870406398252,0.771712452472358,0.0205802251147791,51.258064516129,1.80645161290323,50.2244343509246,1.03363016520447,49.4516129032258,0.304546078963795,0.174257650558274
"Cape Verde","Cape Verde","0",2020-08-01,2020-08-31,31,2020,"8",593162,259,17,250.022494982666,8.97750501733412,242,2.86599613596286,1.51349968766275,0.0359067891789357,58.4838709677419,3.83870967741935,56.4566924154407,2.02717855230125,54.6451612903226,0.647160417798064,0.341757993988363
"Cape Verde","Cape Verde","0",2020-09-01,2020-09-30,30,2020,"9",593162,283,20,233.215317725161,49.7846822748394,263,3.3717601599563,8.39310041351932,0.213470893595032,66.0333333333333,4.66666666666667,54.4169074692041,11.6164258641292,61.3666666666667,0.786744037323137,1.95839009648784
"Cape Verde","Cape Verde","0",2020-10-01,2020-10-31,31,2020,"10",593162,293,35,235.822494982666,57.1775050173341,258,5.90058027992353,9.63944167315743,0.242459927419294,66.1612903225806,7.90322580645161,53.2502408025375,12.9110495200432,58.258064516129,1.3323890954666,2.17664811974523
"Cape Verde","Cape Verde","0",2020-11-01,2020-11-30,30,2020,"11",593162,264,10,225.015317725161,38.9846822748395,254,1.68588007997815,6.57234992714292,0.173253459670938,61.6,2.33333333333333,52.5035741358708,9.09642586412921,59.2666666666667,0.393372018661569,1.53354831633335
"Cape Verde","Cape Verde","0",2020-12-01,2020-12-31,31,2020,"12",593162,273,8,239.422494982666,33.5775050173341,265,1.34870406398252,5.660764684409,0.14024373532556,61.6451612903226,1.80645161290323,54.0631440283439,7.58201726197867,59.8387096774194,0.304546078963795,1.27823718680203
"Cape Verde","Cape Verde","0",2021-01-01,2021-01-31,31,2021,"1",593162,243,21,255.326244146444,-12.3262441464439,222,3.54034816795412,-2.07805694674371,-0.0482764479916689,54.8709677419355,4.74193548387097,57.6543131943583,-2.78334545242283,50.1290322580645,0.799433457279962,-0.469238665393741
"Cape Verde","Cape Verde","0",2021-02-01,2021-02-28,28,2021,"2",593162,243,13,224.175836388853,18.8241636111473,230,2.1916441039716,3.17352824542828,0.0839705291809201,60.75,3.25,56.0439590972132,4.70604090278682,57.5,0.547911025992899,0.79338206135707
"Cape Verde","Cape Verde","0",2021-03-01,2021-03-31,31,2021,"3",593162,265,21,258.363326643554,6.63667335644578,244,3.54034816795412,1.11886354089537,0.0256873660927968,59.8387096774194,4.74193548387097,58.3401060162864,1.49860366113292,55.0967741935484,0.799433457279962,0.252646606008631
"Cape Verde","Cape Verde","0",2021-04-01,2021-04-30,30,2021,"4",593162,322,49,216.687090300214,105.312909699786,273,8.26081239189294,17.7544936627407,0.486013770150673,75.1333333333333,11.4333333333333,50.5603210700499,24.5730122632835,63.7,1.92752289144169,4.14271518797284
"Cape Verde","Cape Verde","0",2021-05-01,2021-05-31,31,2021,"5",593162,277,47,210.763326643554,66.2366733564458,230,7.92363637589731,11.1667088175652,0.314270392346132,62.5483870967742,10.6129032258065,47.5917189195122,14.956668177262,51.9354838709677,1.7892082139123,2.52151489428891
"Cape Verde","Cape Verde","0",2021-06-01,2021-06-30,30,2021,"6",593162,241,22,205.287090300214,35.7129096997862,219,3.70893617595193,6.02076830609281,0.173965687016945,56.2333333333333,5.13333333333333,47.9003210700499,8.33301226328345,51.1,0.865418441055451,1.40484593808832
"Cape Verde","Cape Verde","0",2021-07-01,2021-07-31,31,2021,"7",593162,249,12,224.563326643554,24.4366733564458,237,2.02305609597378,4.11973008325647,0.108818629122081,56.2258064516129,2.70967741935484,50.7078479517703,5.51795849984259,53.5161290322581,0.456819118445693,0.930261631703075
"Cape Verde","Cape Verde","0",2021-08-01,2021-08-31,31,2021,"8",593162,276,15,252.163326643554,23.8366733564458,261,2.52882011996723,4.01857727845779,0.0945287075393804,62.3225806451613,3.38709677419355,56.9401060162864,5.38247462887485,58.9354838709677,0.571023898057116,0.90742067578079
"Cape Verde","Cape Verde","0",2021-09-01,2021-09-30,30,2021,"9",593162,315,26,235.287090300214,79.7129096997862,289,4.38328820794319,13.4386406579967,0.338789984601692,73.5,6.06666666666667,54.9003210700499,18.5996789299501,67.4333333333333,1.02276724852008,3.13568282019922
"Cape Verde","Cape Verde","0",2021-10-01,2021-10-31,31,2021,"10",593162,245,10,237.963326643554,7.03667335644576,235,1.68588007997815,1.18629874409449,0.0295704109355726,55.3225806451613,2.25806451612903,53.7336544033832,1.58892624177807,53.0645161290323,0.380682598704744,0.26787390995682
"Cape Verde","Cape Verde","0",2021-11-01,2021-11-30,30,2021,"11",593162,233,1,227.087090300214,5.91290969978624,232,0.168588007997815,0.996845667757921,0.0260380706449197,54.3666666666667,0.233333333333333,52.9869877367165,1.37967892995012,54.1333333333333,0.0393372018661569,0.232597322476848
"Cape Verde","Cape Verde","0",2021-12-01,2021-12-31,31,2021,"12",593162,269,3,241.563326643554,27.4366733564458,266,0.505764023993445,4.62549410724992,0.113579630392037,60.741935483871,0.67741935483871,54.5465576291897,6.19537785468131,60.0645161290323,0.114204779611423,1.0444664113145
