"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Colombia","Colombia","0",2019-12-30,2020-01-05,7,2020,"1",50372424,5029,0,5138.58941947413,-109.589419474127,5029,0,-0.217558359856033,-0.0213267514736256
"Colombia","Colombia","0",2020-01-06,2020-01-12,7,2020,"2",50372424,4976,0,4948.25608614197,27.7439138580276,4976,0,0.0550775834373735,0.00560680639300926
"Colombia","Colombia","0",2020-01-13,2020-01-19,7,2020,"3",50372424,4858,0,4939.5894194753,-81.5894194753037,4858,0,-0.161972390836906,-0.016517449639361
"Colombia","Colombia","0",2020-01-20,2020-01-26,7,2020,"4",50372424,4729,0,4808.5894194753,-79.5894194753046,4729,0,-0.158001964478232,-0.0165515107513565
"Colombia","Colombia","0",2020-01-27,2020-02-02,7,2020,"5",50372424,4585,0,4691.92275280864,-106.922752808641,4585,0,-0.21226445804681,-0.0227886856714843
"Colombia","Colombia","0",2020-02-03,2020-02-09,7,2020,"6",50372424,4689,0,4658.58941947531,30.4105805246945,4689,0,0.060371485248942,0.0065278516276972
"Colombia","Colombia","0",2020-02-10,2020-02-16,7,2020,"7",50372424,4679,0,4614.08941947531,64.9105805246936,4679,0,0.1288613399361,0.0140679069310441
"Colombia","Colombia","0",2020-02-17,2020-02-23,7,2020,"8",50372424,4666,0,4597.08941947531,68.9105805246945,4666,0,0.136802192653454,0.0149900457086518
"Colombia","Colombia","0",2020-02-24,2020-03-01,7,2020,"9",50372424,4492,0,4621.10730337046,-129.107303370462,4492,0,-0.256305520199825,-0.0279386075446236
"Colombia","Colombia","0",2020-03-02,2020-03-08,7,2020,"10",50372424,4502,0,4653.90730337046,-151.907303370464,4502,0,-0.301568380688736,-0.0326408098546461
"Colombia","Colombia","0",2020-03-09,2020-03-15,7,2020,"11",50372424,4414,0,4696.70730337046,-282.707303370465,4414,0,-0.561234264546143,-0.0601926594760519
"Colombia","Colombia","0",2020-03-16,2020-03-22,7,2020,"12",50372424,4463,2,4647.50730337046,-184.507303370456,4461,0.00397042635867593,-0.366286330335137,-0.0397002718503847
"Colombia","Colombia","0",2020-03-23,2020-03-29,7,2020,"13",50372424,4314,8,4668.30730337047,-354.307303370466,4306,0.0158817054347037,-0.703375528186743,-0.0758963110921725
"Colombia","Colombia","0",2020-03-30,2020-04-05,7,2020,"14",50372424,4152,25,4629.10730337046,-477.107303370462,4127,0.0496303294834491,-0.947159706609437,-0.103066805779827
"Colombia","Colombia","0",2020-04-06,2020-04-12,7,2020,"15",50372424,4218,74,4607.50730337046,-389.507303370461,4144,0.146905775271009,-0.77325503209943,-0.0845375335781955
"Colombia","Colombia","0",2020-04-13,2020-04-19,7,2020,"16",50372424,4313,70,4613.50730337046,-300.507303370462,4243,0.138964922553658,-0.596571059138353,-0.0651364100260386
"Colombia","Colombia","0",2020-04-20,2020-04-26,7,2020,"17",50372424,4294,65,4613.90730337046,-319.907303370464,4229,0.129038856656968,-0.635084194817513,-0.069335442247999
"Colombia","Colombia","0",2020-04-27,2020-05-03,7,2020,"18",50372424,4230,96,4682.10730337046,-452.107303370462,4134,0.190580465216445,-0.897529377125988,-0.0965606454694038
"Colombia","Colombia","0",2020-05-04,2020-05-10,7,2020,"19",50372424,4423,123,4721.30730337046,-298.30730337046,4300,0.24418122105857,-0.592203590143807,-0.0631831999491971
"Colombia","Colombia","0",2020-05-11,2020-05-17,7,2020,"20",50372424,4541,111,4870.70730337046,-329.707303370461,4430,0.220358662906514,-0.65453928397502,-0.0676918736509394
