"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Cuba","Cuba","0",2020-01-01,2020-01-31,31,2020,"1",11317498,9919,0,9952.47897509566,-33.4789750956606,9919,0,-0.295816046052411,-0.00336388302647372,2239.77419354839,0,2247.33396211837,-7.55976856998789,2239.77419354839,0,-0.066797171689254
"Cuba","Cuba","0",2020-02-01,2020-02-29,29,2020,"2",11317498,9133,0,9282.09534690214,-149.095346902141,9133,0,-1.31738787938942,-0.0160626821132472,2204.51724137931,0,2240.50577339017,-35.9885320108615,2204.51724137931,0,-0.317990177783654
"Cuba","Cuba","0",2020-03-01,2020-03-31,31,2020,"3",11317498,10022,6,9268.37477011488,753.625229885121,10016,0.0530152512507623,6.6589384852122,0.081311475698536,2263.03225806452,1.35483870967742,2092.8588190582,170.173439006318,2261.67741935484,0.0119711857663012,1.50363127085437
"Cuba","Cuba","0",2020-04-01,2020-04-30,30,2020,"4",11317498,9330,55,8769.8981646273,560.101835372699,9275,0.485973136465321,4.9489899213828,0.06386640128067,2177,12.8333333333333,2046.30957174637,130.69042825363,2164.16666666667,0.113393731841908,1.15476431498932
"Cuba","Cuba","0",2020-05-01,2020-05-31,31,2020,"5",11317498,8542,22,9006.97477011488,-464.974770114877,8520,0.194389254586128,-4.10845904381761,-0.0516238561761783,1928.83870967742,4.96774193548387,2033.83301260659,-104.994302929166,1923.87096774194,0.0438943478097709,-0.927716558281396
"Cuba","Cuba","0",2020-06-01,2020-06-30,30,2020,"6",11317498,8720,3,9163.0981646273,-443.098164627303,8717,0.0265076256253812,-3.91516008774469,-0.0483568064716161,2034.66666666667,0.7,2138.05623841304,-103.389571746371,2033.96666666667,0.00618511264592227,-0.913537353807093
"Cuba","Cuba","0",2020-07-01,2020-07-31,31,2020,"7",11317498,9290,1,9878.77477011488,-588.774770114878,9289,0.00883587520846038,-5.20234039462502,-0.0595999791285889,2097.74193548387,0.225806451612903,2230.69107712271,-132.949141638843,2097.51612903226,0.00199519762771686,-1.17472202459275
"Cuba","Cuba","0",2020-08-01,2020-08-31,31,2020,"8",11317498,9404,7,9505.57477011488,-101.574770114878,9397,0.0618511264592227,-0.897501993063109,-0.0106858104398089,2123.48387096774,1.58064516129032,2146.42010938078,-22.9362384130369,2121.90322580645,0.013966383394018,-0.202661740369089
"Cuba","Cuba","0",2020-09-01,2020-09-30,30,2020,"9",11317498,8348,28,8932.2981646273,-584.298164627302,8320,0.247404505836891,-5.16278566717928,-0.0654140909605072,1947.86666666667,6.53333333333333,2084.2029050797,-136.336238413037,1941.33333333333,0.0577277180286079,-1.2046499890085
"Cuba","Cuba","0",2020-10-01,2020-10-31,31,2020,"10",11317498,9081,6,9280.17477011488,-199.174770114878,9075,0.0530152512507623,-1.75988341340885,-0.0214623943027759,2050.54838709677,1.35483870967742,2095.52333518723,-44.9749480904563,2049.1935483871,0.0119711857663012,-0.397393028834256
"Cuba","Cuba","0",2020-11-01,2020-11-30,30,2020,"11",11317498,9460,7,9249.2981646273,210.701835372698,9453,0.0618511264592227,1.86173512354672,0.0227803052320767,2207.33333333333,1.63333333333333,2158.16957174637,49.1637615869629,2205.7,0.014431929507152,0.434404862160902
"Cuba","Cuba","0",2020-12-01,2020-12-31,31,2020,"12",11317498,11190,11,9745.97477011488,1444.02522988512,11179,0.0971946272930642,12.7592267291333,0.148166321373321,2526.77419354839,2.48387096774194,2200.70398034852,326.070213199866,2524.29032258065,0.0219471739048855,2.88111571303009
