"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Czech Republic","Czech Republic","0","2019-12-30","2020-01-05",7,2020,"1",10693939,2305,0,2379.79611423209,-74.7961142320923,2305,0,-0.699425293449798,-0.0314296312128518
"Czech Republic","Czech Republic","0","2020-01-06","2020-01-12",7,2020,"2",10693939,2322,0,2363.62944756553,-41.6294475655259,2322,0,-0.389280765165444,-0.0176125101201472
"Czech Republic","Czech Republic","0","2020-01-13","2020-01-19",7,2020,"3",10693939,2245,0,2389.46278089886,-144.462780898859,2245,0,-1.35088465437159,-0.0604582678808311
"Czech Republic","Czech Republic","0","2020-01-20","2020-01-26",7,2020,"4",10693939,2337,0,2402.46278089886,-65.4627808988594,2337,0,-0.612148441269951,-0.0272481977324814
"Czech Republic","Czech Republic","0","2020-01-27","2020-02-02",7,2020,"5",10693939,2369,0,2423.96278089886,-54.9627808988598,2369,0,-0.513961982566572,-0.0226747627199451
"Czech Republic","Czech Republic","0","2020-02-03","2020-02-09",7,2020,"6",10693939,2353,0,2471.96278089886,-118.962780898859,2353,0,-1.11243182609195,-0.048124826885784
"Czech Republic","Czech Republic","0","2020-02-10","2020-02-16",7,2020,"7",10693939,2391,0,2505.46278089886,-114.46278089886,2391,0,-1.07035191521908,-0.0456852848789058
"Czech Republic","Czech Republic","0","2020-02-17","2020-02-23",7,2020,"8",10693939,2347,0,2499.79611423219,-152.796114232193,2347,0,-1.4288104152473,-0.0611234305719064
"Czech Republic","Czech Republic","0","2020-02-24","2020-03-01",7,2020,"9",10693939,2360,0,2495.15533707864,-135.155337078638,2360,0,-1.26384989739176,-0.0541671033743653
"Czech Republic","Czech Republic","0","2020-03-02","2020-03-08",7,2020,"10",10693939,2292,0,2440.35533707864,-148.355337078639,2292,0,-1.38728430261888,-0.0607925144443249
"Czech Republic","Czech Republic","0","2020-03-09","2020-03-15",7,2020,"11",10693939,2302,0,2360.15533707864,-58.1553370786387,2302,0,-0.543815866900295,-0.0246404701271156
"Czech Republic","Czech Republic","0","2020-03-16","2020-03-22",7,2020,"12",10693939,2324,1,2295.15533707864,28.8446629213622,2323,0.00935109130508412,0.269729076642033,0.0125676299357049
"Czech Republic","Czech Republic","0","2020-03-23","2020-03-29",7,2020,"13",10693939,2294,15,2228.35533707864,65.6446629213606,2279,0.140266369576262,0.613849236669113,0.0294587949368166
"Czech Republic","Czech Republic","0","2020-03-30","2020-04-05",7,2020,"14",10693939,2322,51,2191.15533707864,130.844662921361,2271,0.47690565655929,1.2235403897606,0.0597149187495809
"Czech Republic","Czech Republic","0","2020-04-06","2020-04-12",7,2020,"15",10693939,2239,71,2145.75533707864,93.2446629213623,2168,0.663927482660973,0.871939356689451,0.043455403004292
"Czech Republic","Czech Republic","0","2020-04-13","2020-04-19",7,2020,"16",10693939,2128,48,2095.35533707864,32.6446629213619,2080,0.448852382644038,0.30526322360135,0.0155795355296995
"Czech Republic","Czech Republic","0","2020-04-20","2020-04-26",7,2020,"17",10693939,2031,34,2139.55533707864,-108.555337078639,1997,0.31793710437286,-1.01511086867654,-0.0507373355563037
"Czech Republic","Czech Republic","0","2020-04-27","2020-05-03",7,2020,"18",10693939,2112,28,2056.75533707864,55.2446629213628,2084,0.261830556542355,0.516597887096259,0.0268601043232644
"Czech Republic","Czech Republic","0","2020-05-04","2020-05-10",7,2020,"19",10693939,1998,32,2052.15533707864,-54.1553370786373,1966,0.299234921762692,-0.506411501679945,-0.0263894921111238
"Czech Republic","Czech Republic","0","2020-05-11","2020-05-17",7,2020,"20",10693939,2028,18,2010.95533707864,17.0446629213629,2010,0.168319643491514,0.159386199242047,0.00847590327198611
"Czech Republic","Czech Republic","0","2020-05-18","2020-05-24",7,2020,"21",10693939,1919,17,2015.95533707864,-96.9553370786384,1902,0.15896855218643,-0.906638209537556,-0.0480939906233927
"Czech Republic","Czech Republic","0","2020-05-25","2020-05-31",7,2020,"22",10693939,1936,5,2067.75533707864,-131.755337078639,1931,0.0467554565254206,-1.23205618695449,-0.0637190168082384
"Czech Republic","Czech Republic","0","2020-06-01","2020-06-07",7,2020,"23",10693939,2136,7,1985.75533707864,150.244662921361,2129,0.0654576391355889,1.40495156107924,0.0756612157177405
"Czech Republic","Czech Republic","0","2020-06-08","2020-06-14",7,2020,"24",10693939,1983,2,1986.75533707864,-3.75533707863883,1981,0.0187021826101682,-0.0351164999037196,-0.001890185977384
"Czech Republic","Czech Republic","0","2020-06-15","2020-06-21",7,2020,"25",10693939,2026,7,1977.35533707864,48.6446629213597,2019,0.0654576391355889,0.454880684482674,0.024600870672657
"Czech Republic","Czech Republic","0","2020-06-22","2020-06-28",7,2020,"26",10693939,2080,12,1990.55533707864,89.4446629213617,2068,0.112213095661009,0.836405209730125,0.0449345271921109
"Czech Republic","Czech Republic","0","2020-06-29","2020-07-05",7,2020,"27",10693939,2112,0,2012.15533707864,99.844662921362,2112,0,0.933656559303003,0.0496207529714492
"Czech Republic","Czech Republic","0","2020-07-06","2020-07-12",7,2020,"28",10693939,1996,4,2017.35533707864,-21.3553370786394,1992,0.0374043652203365,-0.199695706873206,-0.0105858084027797
"Czech Republic","Czech Republic","0","2020-07-13","2020-07-19",7,2020,"29",10693939,1991,7,2023.15533707864,-32.1553370786366,1984,0.0654576391355889,-0.300687492968088,-0.0158936570461603
"Czech Republic","Czech Republic","0","2020-07-20","2020-07-26",7,2020,"30",10693939,2086,12,2058.35533707864,27.6446629213615,2074,0.112213095661009,0.258507767075925,0.0134304618951735
"Czech Republic","Czech Republic","0","2020-07-27","2020-08-02",7,2020,"31",10693939,2231,13,2065.15533707864,165.844662921361,2218,0.121564186966094,1.55082858543854,0.0803061445033786
"Czech Republic","Czech Republic","0","2020-08-03","2020-08-09",7,2020,"32",10693939,2164,6,2049.15533707864,114.844662921362,2158,0.0561065478305047,1.07392292887927,0.0560448790012618
"Czech Republic","Czech Republic","0","2020-08-10","2020-08-16",7,2020,"33",10693939,2188,7,2085.35533707864,102.644662921361,2181,0.0654576391355889,0.95983961495723,0.0492216655340645
"Czech Republic","Czech Republic","0","2020-08-17","2020-08-23",7,2020,"34",10693939,2103,15,1991.35533707864,111.644662921363,2088,0.140266369576262,1.043999436703,0.0560646615109628
"Czech Republic","Czech Republic","0","2020-08-24","2020-08-30",7,2020,"35",10693939,2034,11,1985.75533707864,48.2446629213609,2023,0.102862004355925,0.451140247960653,0.0242953711469494
"Czech Republic","Czech Republic","0","2020-08-31","2020-09-06",7,2020,"36",10693939,2041,13,1987.35533707864,53.6446629213615,2028,0.121564186966094,0.501636141008112,0.0269929900911519
"Czech Republic","Czech Republic","0","2020-09-07","2020-09-13",7,2020,"37",10693939,2086,20,1989.55533707864,96.4446629213605,2066,0.187021826101682,0.901862848865704,0.0484754865190002
"Czech Republic","Czech Republic","0","2020-09-14","2020-09-20",7,2020,"38",10693939,2223,47,2017.15533707864,205.844662921362,2176,0.439501291338954,1.92487223764192,0.102047006067207
"Czech Republic","Czech Republic","0","2020-09-21","2020-09-27",7,2020,"39",10693939,2389,103,2047.55533707864,341.444662921363,2286,0.963162404423665,3.19288021861134,0.166757233242117
"Czech Republic","Czech Republic","0","2020-09-28","2020-10-04",7,2020,"40",10693939,2383,121,2131.15533707864,251.844662921362,2262,1.13148204791518,2.35502243767579,0.118172832613219
"Czech Republic","Czech Republic","0","2020-10-05","2020-10-11",7,2020,"41",10693939,2609,260,2138.75533707864,470.244662921362,2349,2.43128373932187,4.39730077870616,0.219868376138655
"Czech Republic","Czech Republic","0","2020-10-12","2020-10-18",7,2020,"42",10693939,2951,435,2102.15533707864,848.844662921362,2516,4.06772471771159,7.93762394681101,0.403797306483069
"Czech Republic","Czech Republic","0","2020-10-19","2020-10-25",7,2020,"43",10693939,3645,779,2108.75533707864,1536.24466292136,2866,7.28450012666053,14.3655641099258,0.728507777032871
"Czech Republic","Czech Republic","0","2020-10-26","2020-11-01",7,2020,"44",10693939,4218,1228,2085.35533707864,2132.64466292136,2990,11.4831401226433,19.942554964278,1.0226768671036
"Czech Republic","Czech Republic","0","2020-11-02","2020-11-08",7,2020,"45",10693939,4235,1429,2066.15533707864,2168.84466292136,2806,13.3627094749652,20.281064469522,1.04970068029247
"Czech Republic","Czech Republic","0","2020-11-09","2020-11-15",7,2020,"46",10693939,3859,1350,2116.55533707864,1742.44466292136,2509,12.6239732618636,16.2937591370342,0.823245502915298
"Czech Republic","Czech Republic","0","2020-11-16","2020-11-22",7,2020,"47",10693939,3422,988,2118.15533707864,1303.84466292136,2434,9.23887820942311,12.1923704906243,0.615556678066693
"Czech Republic","Czech Republic","0","2020-11-23","2020-11-29",7,2020,"48",10693939,3168,942,2119.15533707864,1048.84466292136,2226,8.80872800938924,9.80784220782784,0.494935243570793
"Czech Republic","Czech Republic","0","2020-11-30","2020-12-06",7,2020,"49",10693939,3102,764,2147.95533707864,954.044662921361,2338,7.14423375708427,8.92135875210585,0.444164106418956
"Czech Republic","Czech Republic","0","2020-12-07","2020-12-13",7,2020,"50",10693939,3103,633,2189.55533707864,913.444662921362,2470,5.91924079611825,8.54170444511944,0.417182725393049
"Czech Republic","Czech Republic","0","2020-12-14","2020-12-20",7,2020,"51",10693939,3244,796,2252.15533707864,991.844662921362,2448,7.44346867884696,9.27483000343804,0.44039798081065
"Czech Republic","Czech Republic","0","2020-12-21","2020-12-27",7,2020,"52",10693939,3215,713,2277.35533707864,937.644662921362,2502,6.66732810052498,8.76800085470248,0.411725235695612
"Czech Republic","Czech Republic","0","2020-12-28","2021-01-03",7,2020,"53",10693939,3491,916,2265.28370786516,1225.71629213484,2575,8.56559963545706,11.4617849618821,0.541087320709148
"Czech Republic","Czech Republic","0","2021-01-04","2021-01-10",7,2021,"1",10693939,3783,1155,2389.58122659165,1393.41877340835,2628,10.8005104573722,13.0299861763598,0.583122581439023
"Czech Republic","Czech Republic","0","2021-01-11","2021-01-17",7,2021,"2",10693939,3705,1223,2373.41455992508,1331.58544007492,2482,11.4363846661179,12.4517770306612,0.561042079440579
"Czech Republic","Czech Republic","0","2021-01-18","2021-01-24",7,2021,"3",10693939,3543,1031,2399.24789325842,1143.75210674158,2512,9.64097513554173,10.6953303805229,0.476712769012065
"Czech Republic","Czech Republic","0","2021-01-25","2021-01-31",7,2021,"4",10693939,3376,939,2412.24789325842,963.752106741583,2437,8.78067473547399,9.01213394560772,0.399524488936237
"Czech Republic","Czech Republic","0","2021-02-01","2021-02-07",7,2021,"5",10693939,3224,927,2433.74789325842,790.252106741583,2297,8.66846163981298,7.38971960417562,0.324705820570246
"Czech Republic","Czech Republic","0","2021-02-08","2021-02-14",7,2021,"6",10693939,3364,908,2481.74789325842,882.252106741584,2456,8.49079090501638,8.25002000424337,0.355496265006688
"Czech Republic","Czech Republic","0","2021-02-15","2021-02-21",7,2021,"7",10693939,3410,1071,2515.24789325842,894.752106741583,2339,10.0150187877451,8.36690864555692,0.355731182258327
"Czech Republic","Czech Republic","0","2021-02-22","2021-02-28",7,2021,"8",10693939,3479,1125,2509.58122659175,969.41877340825,2354,10.5199777182196,9.0651234630032,0.386287067792905
