"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Dominican Republic","Dominican Republic","0",2020-01-01,2020-01-31,31,2020,"1",11228821,4177,0,3969.2960720367,207.703927963298,4177,0,1.84973941577034,0.052327648075071,943.193548387097,0,896.292661427642,46.9008869594543,943.193548387097,0,0.417683093883626
"Dominican Republic","Dominican Republic","0",2020-02-01,2020-02-29,29,2020,"2",11228821,3697,0,3683.2836910451,13.7163089548994,3697,0,0.1221527082398,0.00372393497363421,892.379310344828,0,889.068477148817,3.31083319601021,892.379310344828,0,0.0294851364716759
"Dominican Republic","Dominican Republic","0",2020-03-01,2020-03-31,31,2020,"3",11228821,3530,51,3917.15528644406,-387.155286444063,3479,0.45418837828121,-3.44787120966718,-0.0988358280775529,797.096774193548,11.5161290322581,884.518935648659,-87.4221614551109,785.58064516129,0.102558666063499,-0.778551563473235
"Dominican Republic","Dominican Republic","0",2020-04-01,2020-04-30,30,2020,"4",11228821,3057,250,3580.07285784909,-523.072857849094,2807,2.22641361902554,-4.65830613783134,-0.146106763358821,713.3,58.3333333333333,835.350333498122,-122.050333498122,654.966666666667,0.51949651110596,-1.08693809882731
"Dominican Republic","Dominican Republic","0",2020-05-01,2020-05-31,31,2020,"5",11228821,3109,201,3618.15528644406,-509.155286444063,2908,1.79003654969654,-4.53436105575165,-0.140722342225522,702.032258064516,45.3870967741935,817.002806616401,-114.970548551885,656.645161290323,0.404201801544379,-1.02388798033102
"Dominican Republic","Dominican Republic","0",2020-06-01,2020-06-30,30,2020,"6",11228821,3859,245,3581.27285784909,277.727142150907,3614,2.18188534664503,2.47334196663129,0.0775498414040725,900.433333333333,57.1666666666667,835.630333498122,64.8029998352116,843.266666666667,0.509106580883841,0.5771131255473
"Dominican Republic","Dominican Republic","0",2020-07-01,2020-07-31,31,2020,"7",11228821,4979,413,3730.35528644406,1248.64471355594,4566,3.6780352986302,11.1199983823407,0.334725412909986,1124.29032258065,93.258064516129,842.338290487369,281.952032093276,1031.03225806452,0.830524099690689,2.51096737665759
"Dominican Republic","Dominican Republic","0",2020-08-01,2020-08-31,31,2020,"8",11228821,4562,550,3610.75528644406,951.244713555937,4012,4.89810996185619,8.47145674114795,0.263447572070923,1030.12903225806,124.193548387097,815.331838874466,214.797193383599,905.935483870968,1.10602483009656,1.91290958671083
"Dominican Republic","Dominican Republic","0",2020-09-01,2020-09-30,30,2020,"9",11228821,3568,395,3581.07285784909,-13.072857849093,3173,3.51773351806036,-0.116422355019222,-0.00365054227267103,832.533333333333,92.1666666666667,835.583666831455,-3.0503334981217,740.366666666667,0.820804487547416,-0.0271652161711519
"Dominican Republic","Dominican Republic","0",2020-10-01,2020-10-31,31,2020,"10",11228821,3562,140,3802.15528644406,-240.155286444063,3422,1.2467916266543,-2.13874000168017,-0.0631629347965602,804.322580645161,31.6129032258065,858.551193713176,-54.2286130680143,772.709677419355,0.281533593115488,-0.482941290701974
"Dominican Republic","Dominican Republic","0",2020-11-01,2020-11-30,30,2020,"11",11228821,3618,86,3740.07285784909,-122.072857849093,3532,0.765886284944786,-1.08713869291436,-0.0326391657298616,844.2,20.0666666666667,872.683666831455,-28.4836668314551,824.133333333333,0.17870679982045,-0.253665695013351
"Dominican Republic","Dominican Republic","0",2020-12-01,2020-12-31,31,2020,"12",11228821,4143,83,3882.75528644406,260.244713555937,4060,0.73916932151648,2.31764949816136,0.0670257830733072,935.516129032258,18.741935483871,876.751193713176,58.7649353190825,916.774193548387,0.166909201632753,0.523340209262242
"Dominican Republic","Dominican Republic","0",2021-01-01,2021-01-31,31,2021,"1",11228821,4708,252,4007.34783418473,700.652165815272,4456,2.24422492797775,6.23976609668345,0.174841864197151,1063.09677419355,56.9032258064516,904.884994815906,158.211779377642,1006.1935483871,0.506760467607878,1.40897944118659
"Dominican Republic","Dominican Republic","0",2021-02-01,2021-02-28,28,2021,"2",11228821,3638,434,3590.64324214833,47.356757851675,3204,3.86505404262834,0.421742922535455,0.0131889343100933,909.5,108.5,897.660810537081,11.8391894629187,801,0.966263510657085,0.105435730633864
"Dominican Republic","Dominican Republic","0",2021-03-01,2021-03-31,31,2021,"3",11228821,3908,225,3955.20704859209,-47.207048592089,3683,2.00377225712299,-0.42040966359771,-0.0119354177953573,882.451612903226,50.8064516129032,893.111269036923,-10.6596561336975,831.645161290323,0.45246470322132,-0.0949312143607732
"Dominican Republic","Dominican Republic","0",2021-04-01,2021-04-30,30,2021,"4",11228821,3687,155,3616.8971437988,70.1028562012038,3532,1.38037644379584,0.624311815115798,0.0193820430645633,860.3,36.1666666666667,843.942666886386,16.3573331136142,824.133333333333,0.322087836885695,0.145672756860353
"Dominican Republic","Dominican Republic","0",2021-05-01,2021-05-31,31,2021,"5",11228821,4340,148,3656.20704859209,683.792951407911,4192,1.31803686246312,6.08962375843297,0.187022491428986,980,33.4193548387097,825.595140004665,154.404859995335,946.58064516129,0.297621227007801,1.37507633254938
"Dominican Republic","Dominican Republic","0",2021-06-01,2021-06-30,30,2021,"6",11228821,4818,194,3618.0971437988,1199.9028562012,4624,1.72769696836382,10.685920242216,0.33163920384442,1124.2,45.2666666666667,844.222666886386,279.977333113614,1078.93333333333,0.403129292618225,2.49338138985041
"Dominican Republic","Dominican Republic","0",2021-07-01,2021-07-31,31,2021,"7",11228821,4130,141,3768.40704859209,361.592951407911,3989,1.25569728113041,3.22022188623285,0.0959537934053607,932.58064516129,31.8387096774194,850.930623875633,81.6500212856573,900.741935483871,0.283544547352027,0.727146877536451
"Dominican Republic","Dominican Republic","0",2021-08-01,2021-08-31,31,2021,"8",11228821,3768,45,3648.80704859209,119.192951407911,3723,0.400754451424597,1.06149124122569,0.0326662796416988,850.838709677419,10.1612903225806,823.92417226273,26.9145374146896,840.677419354839,0.0904929406442639,0.23969157059935
"Dominican Republic","Dominican Republic","0",2021-09-01,2021-09-30,30,2021,"9",11228821,3688,38,3617.8971437988,70.1028562012048,3650,0.338414870091882,0.624311815115806,0.0193766857969866,860.533333333333,8.86666666666667,844.176000219719,16.3573331136144,851.666666666667,0.0789634696881059,0.145672756860355
"Dominican Republic","Dominican Republic","0",2021-10-01,2021-10-31,31,2021,"10",11228821,4217,84,3840.20704859209,376.792951407911,4133,0.748074975992582,3.35558783426961,0.0981178740208948,952.225806451613,18.9677419354839,867.143527101439,85.0822793501735,933.258064516129,0.168920155869293,0.757713381931847
