"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Ecuador","0",2019-12-30,2020-01-05,7,2020,"1",18001002,1372,0,1478.03838951265,-106.038389512652,1372,0,-0.589069372430782,-0.0717426490847887
"Ecuador","Ecuador","0",2020-01-06,2020-01-12,7,2020,"2",18001002,1567,0,1510.37172284635,56.6282771536517,1567,0,0.314584027898289,0.0374929405106537
"Ecuador","Ecuador","0",2020-01-13,2020-01-19,7,2020,"3",18001002,1518,0,1493.03838951301,24.9616104869854,1518,0,0.138667894637117,0.0167186662193777
"Ecuador","Ecuador","0",2020-01-20,2020-01-26,7,2020,"4",18001002,1461,0,1474.87172284635,-13.8717228463483,1461,0,-0.0770608372042198,-0.00940537582453438
"Ecuador","Ecuador","0",2020-01-27,2020-02-02,7,2020,"5",18001002,1365,0,1447.20505617968,-82.2050561796812,1365,0,-0.456669335294119,-0.0568026319619732
"Ecuador","Ecuador","0",2020-02-03,2020-02-09,7,2020,"6",18001002,1431,0,1485.37172284635,-54.3717228463481,1431,0,-0.302048312901405,-0.0366047919251877
"Ecuador","Ecuador","0",2020-02-10,2020-02-16,7,2020,"7",18001002,1511,0,1498.03838951301,12.9616104869851,1511,0,0.0720049388749867,0.00865238873564422
"Ecuador","Ecuador","0",2020-02-17,2020-02-23,7,2020,"8",18001002,1483,0,1491.03838951301,-8.03838951301464,1483,0,-0.0446552337087382,-0.00539113517770662
"Ecuador","Ecuador","0",2020-02-24,2020-03-01,7,2020,"9",18001002,1546,0,1495.44606741564,50.5539325843574,1546,0,0.280839547622724,0.0338052529515305
"Ecuador","Ecuador","0",2020-03-02,2020-03-08,7,2020,"10",18001002,1442,0,1561.84606741564,-119.846067415642,1442,0,-0.66577442419951,-0.076733597449811
"Ecuador","Ecuador","0",2020-03-09,2020-03-15,7,2020,"11",18001002,1476,2,1531.84606741564,-55.8460674156422,1474,0.0111104926270215,-0.31023866013482,-0.0364567097200957
"Ecuador","Ecuador","0",2020-03-16,2020-03-22,7,2020,"12",18001002,1536,12,1481.84606741564,54.1539325843578,1524,0.0666629557621292,0.300838434351364,0.0365449109561042
"Ecuador","Ecuador","0",2020-03-23,2020-03-29,7,2020,"13",18001002,3777,44,1483.64606741564,2293.35393258436,3733,0.244430837794474,12.7401459795647,1.54575540821481
"Ecuador","Ecuador","0",2020-03-30,2020-04-05,7,2020,"14",18001002,7252,122,1510.64606741564,5741.35393258436,7130,0.677740050248314,31.8946352685498,3.80059502779923
