"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Estonia","Estonia","0",2019-12-30,2020-01-05,7,2020,"1",1329460,296,0,336.639513108615,-40.6395131086149,296,0,-3.05684361384434,-0.120721161735707
"Estonia","Estonia","0",2020-01-06,2020-01-12,7,2020,"2",1329460,331,0,343.306179775285,-12.3061797752848,331,0,-0.925652503669521,-0.0358460770596671
"Estonia","Estonia","0",2020-01-13,2020-01-19,7,2020,"3",1329460,316,0,329.139513108618,-13.1395131086181,316,0,-0.988334595145257,-0.0399208013177136
"Estonia","Estonia","0",2020-01-20,2020-01-26,7,2020,"4",1329460,300,0,330.472846441951,-30.4728464419514,300,0,-2.29212209784059,-0.0922098343934714
"Estonia","Estonia","0",2020-01-27,2020-02-02,7,2020,"5",1329460,309,0,335.306179775285,-26.3061797752849,309,0,-1.97871164046191,-0.0784542050281171
"Estonia","Estonia","0",2020-02-03,2020-02-09,7,2020,"6",1329460,276,0,330.806179775285,-54.8061797752848,276,0,-4.12243916893211,-0.165674594750662
"Estonia","Estonia","0",2020-02-10,2020-02-16,7,2020,"7",1329460,322,0,322.472846441951,-0.472846441951447,322,0,-0.0355668047140528,-0.00146631397703301
"Estonia","Estonia","0",2020-02-17,2020-02-23,7,2020,"8",1329460,334,0,338.639513108618,-4.63951310861819,334,0,-0.348977262092744,-0.0137004482023634
"Estonia","Estonia","0",2020-02-24,2020-03-01,7,2020,"9",1329460,314,0,334.367415730342,-20.367415730342,314,0,-1.53200665912039,-0.0609132791419118
"Estonia","Estonia","0",2020-03-02,2020-03-08,7,2020,"10",1329460,293,0,335.367415730342,-42.3674157303421,293,0,-3.18681387407986,-0.126331342113476
"Estonia","Estonia","0",2020-03-09,2020-03-15,7,2020,"11",1329460,341,0,324.567415730342,16.4325842696579,341,0,1.23603450044815,0.0506291866442641
