"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"France","France","0",2019-12-30,2020-01-05,7,2020,"1",67813000,12737,0,13487.7984550562,-750.798455056167,12737,0,-1.10716006526207,-0.0556650114218392
"France","France","0",2020-01-06,2020-01-12,7,2020,"2",67813000,13200,0,13663.2984550562,-463.298455056203,13200,0,-0.683200057593976,-0.0339082437948763
"France","France","0",2020-01-13,2020-01-19,7,2020,"3",67813000,12598,0,13268.7984550562,-670.798455056203,12598,0,-0.989188584867508,-0.0505545741257822
"France","France","0",2020-01-20,2020-01-26,7,2020,"4",67813000,12331,0,13108.2984550562,-777.298455056205,12331,0,-1.14623811814284,-0.0592981963083379
"France","France","0",2020-01-27,2020-02-02,7,2020,"5",67813000,12541,0,13143.6317883895,-602.631788389539,12541,0,-0.8886670526146,-0.045849716280235
"France","France","0",2020-02-03,2020-02-09,7,2020,"6",67813000,12407,0,13219.9651217229,-812.965121722871,12407,0,-1.19883373648544,-0.0614952546574437
"France","France","0",2020-02-10,2020-02-16,7,2020,"7",67813000,12261,1,13057.6317883895,-796.631788389539,12260,0.00147464350493268,-1.17474789257154,-0.0610089027857165
"France","France","0",2020-02-17,2020-02-23,7,2020,"8",67813000,11835,0,12877.4651217229,-1042.46512172287,11835,0,-1.53726442086749,-0.0809526651300609
"France","France","0",2020-02-24,2020-03-01,7,2020,"9",67813000,12042,1,13115.1581460674,-1073.15814606744,12041,0.00147464350493268,-1.58252568986395,-0.0818257876965994
"France","France","0",2020-03-02,2020-03-08,7,2020,"10",67813000,12139,17,12816.5581460674,-677.55814606744,12122,0.0250689395838556,-0.99915671931258,-0.0528658426346186
"France","France","0",2020-03-09,2020-03-15,7,2020,"11",67813000,12554,72,12229.7581460674,324.241853932559,12482,0.106174332355153,0.47814114392898,0.0265125319781423
"France","France","0",2020-03-16,2020-03-22,7,2020,"12",67813000,13939,585,11937.9581460674,2001.04185393256,13354,0.862666450385619,2.95082337300011,0.167620109691182
"France","France","0",2020-03-23,2020-03-29,7,2020,"13",67813000,16188,1932,11835.3581460674,4352.64185393256,14256,2.84901125152994,6.4185950391998,0.367765960287296
"France","France","0",2020-03-30,2020-04-05,7,2020,"14",67813000,18805,5473,11573.1581460674,7231.84185393256,13332,8.07072390249657,10.664388618602,0.62488058684223
"France","France","0",2020-04-06,2020-04-12,7,2020,"15",67813000,17563,6315,11366.5581460674,6196.44185393256,11248,9.31237373364989,9.13754273359468,0.545146716737325
"France","France","0",2020-04-13,2020-04-19,7,2020,"16",67813000,15396,5298,11220.7581460674,4175.24185393256,10098,7.81266128913335,6.15699328142474,0.37209979928102
"France","France","0",2020-04-20,2020-04-26,7,2020,"17",67813000,12821,3136,11110.3581460674,1710.64185393256,9685,4.62448203146889,2.52258689916765,0.153968200794503
