"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Germany","Germany","0",2019-12-30,2020-01-05,7,2020,"1",83900471,18883,0,19399.3618913845,-516.361891384491,18883,0,-0.615445759993995,-0.0266174678463942
"Germany","Germany","0",2020-01-06,2020-01-12,7,2020,"2",83900471,19408,0,19754.5285580521,-346.52855805209,19408,0,-0.413023376295576,-0.0175417275605315
"Germany","Germany","0",2020-01-13,2020-01-19,7,2020,"3",83900471,18953,0,19675.5285580521,-722.528558052094,18953,0,-0.861173423033697,-0.0367221930491114
"Germany","Germany","0",2020-01-20,2020-01-26,7,2020,"4",83900471,18827,0,19837.6952247188,-1010.69522471877,18827,0,-1.20463593669071,-0.0509482181911631
"Germany","Germany","0",2020-01-27,2020-02-02,7,2020,"5",83900471,19774,0,20563.3618913854,-789.361891385426,19774,0,-0.940831299249114,-0.0383868112400488
"Germany","Germany","0",2020-02-03,2020-02-09,7,2020,"6",83900471,19038,0,20447.0285580521,-1409.02855805209,19038,0,-1.67940482485741,-0.0689111649671568
"Germany","Germany","0",2020-02-10,2020-02-16,7,2020,"7",83900471,19648,0,21000.0285580521,-1352.02855805209,19648,0,-1.61146718479339,-0.0643822247343413
"Germany","Germany","0",2020-02-17,2020-02-23,7,2020,"8",83900471,18953,0,21263.6952247188,-2310.69522471876,18953,0,-2.7540908855193,-0.108668563967782
"Germany","Germany","0",2020-02-24,2020-03-01,7,2020,"9",83900471,19505,0,22233.2342696626,-2728.23426966258,19505,0,-3.25175083899419,-0.122709734291123
"Germany","Germany","0",2020-03-02,2020-03-08,7,2020,"10",83900471,19667,0,21721.8342696626,-2054.83426966258,19667,0,-2.44913317550098,-0.0945976405193566
"Germany","Germany","0",2020-03-09,2020-03-15,7,2020,"11",83900471,19849,12,20794.6342696626,-945.63426966258,19837,0.0143026610661101,-1.12709053762354,-0.0454749171060042
"Germany","Germany","0",2020-03-16,2020-03-22,7,2020,"12",83900471,19722,43,19931.0342696626,-209.034269662588,19679,0.0512512021535612,-0.249145525848822,-0.01048787869382
"Germany","Germany","0",2020-03-23,2020-03-29,7,2020,"13",83900471,19678,334,19261.8342696626,416.165730337423,19344,0.398090733006731,0.496023115695528,0.0216057164915433
"Germany","Germany","0",2020-03-30,2020-04-05,7,2020,"14",83900471,20662,953,18807.2342696626,1854.76573033741,19709,1.13586966633358,2.21067379983768,0.0986198025580658
"Germany","Germany","0",2020-04-06,2020-04-12,7,2020,"15",83900471,20502,1331,18221.2342696626,2280.76573033743,19171,1.58640348991605,2.71841826768461,0.125170759377963
"Germany","Germany","0",2020-04-13,2020-04-19,7,2020,"16",83900471,19261,1621,17799.2342696626,1461.76573033742,17640,1.93205113234704,1.74226164992258,0.0821252031515134
"Germany","Germany","0",2020-04-20,2020-04-26,7,2020,"17",83900471,18557,1346,17745.8342696626,811.165730337416,17211,1.60428181624868,0.966819042454977,0.0457102054494076
"Germany","Germany","0",2020-04-27,2020-05-03,7,2020,"18",83900471,17920,1009,17282.0342696626,637.965730337426,16911,1.20261541797542,0.760383967734134,0.0369149673228766
"Germany","Germany","0",2020-05-04,2020-05-10,7,2020,"19",83900471,17651,746,17555.0342696626,95.9657303374224,16905,0.889148762943178,0.114380442914823,0.00546656468243212
"Germany","Germany","0",2020-05-11,2020-05-17,7,2020,"20",83900471,17001,519,17120.4342696626,-119.434269662572,16482,0.618590091109262,-0.142352323221847,-0.00697612384016499
"Germany","Germany","0",2020-05-18,2020-05-24,7,2020,"21",83900471,17163,333,16809.4342696626,353.565730337417,16830,0.396898844584555,0.421410900467314,0.021033767387135
"Germany","Germany","0",2020-05-25,2020-05-31,7,2020,"22",83900471,16776,253,16959.0342696626,-183.034269662585,16523,0.301547770810488,-0.218156426872246,-0.0107927295123171
"Germany","Germany","0",2020-06-01,2020-06-07,7,2020,"23",83900471,17262,168,16802.8342696626,459.165730337416,17094,0.200237254925541,0.547274317849081,0.0273266832826196
"Germany","Germany","0",2020-06-08,2020-06-14,7,2020,"24",83900471,16601,119,16305.8342696626,295.165730337418,16482,0.141834722238925,0.351804616612245,0.0181018478083381
"Germany","Germany","0",2020-06-15,2020-06-21,7,2020,"25",83900471,16401,96,16643.4342696626,-242.434269662594,16305,0.114421288528881,-0.288954599149501,-0.0145663608684716
"Germany","Germany","0",2020-06-22,2020-06-28,7,2020,"26",83900471,17293,75,16760.2342696626,532.765730337414,17218,0.0893916316631882,0.634997305721221,0.0317874870819534
