"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Iceland","Iceland","0",2019-12-30,2020-01-05,7,2020,"1",370335,57,0,48.6322565543026,8.36774344569736,57,0,2.2595065132103,0.172061591185964
"Iceland","Iceland","0",2020-01-06,2020-01-12,7,2020,"2",370335,55,0,49.9655898876399,5.03441011236011,55,0,1.35942055500023,0.100757543815278
"Iceland","Iceland","0",2020-01-13,2020-01-19,7,2020,"3",370335,52,0,46.6322565543066,5.36774344569345,52,0,1.44942915082113,0.115107949782407
"Iceland","Iceland","0",2020-01-20,2020-01-26,7,2020,"4",370335,55,0,47.2989232209732,7.70107677902678,55,0,2.07948932156744,0.16281716907272
"Iceland","Iceland","0",2020-01-27,2020-02-02,7,2020,"5",370335,39,0,45.4655898876399,-6.46558988763992,39,0,-1.74587600082086,-0.142208424076724
"Iceland","Iceland","0",2020-02-03,2020-02-09,7,2020,"6",370335,47,0,48.6322565543065,-1.63225655430654,47,0,-0.440751361417782,-0.0335632493730543
"Iceland","Iceland","0",2020-02-10,2020-02-16,7,2020,"7",370335,49,0,48.4655898876399,0.534410112360092,49,0,0.144304511418065,0.011026588422818
"Iceland","Iceland","0",2020-02-17,2020-02-23,7,2020,"8",370335,48,0,47.4655898876399,0.534410112360106,48,0,0.144304511418069,0.0112588954150818
"Iceland","Iceland","0",2020-02-24,2020-03-01,7,2020,"9",370335,43,0,44.7587078651681,-1.75870786516815,43,0,-0.474896476208878,-0.0392930884078716
"Iceland","Iceland","0",2020-03-02,2020-03-08,7,2020,"10",370335,50,0,45.5587078651682,4.44129213483183,50,0,1.19926340605987,0.0974850328937316
"Iceland","Iceland","0",2020-03-09,2020-03-15,7,2020,"11",370335,42,0,46.3587078651682,-4.35870786516817,42,0,-1.17696352361191,-0.0940213406690549
"Iceland","Iceland","0",2020-03-16,2020-03-22,7,2020,"12",370335,39,1,42.7587078651681,-3.7587078651681,38,0.270025787462703,-1.01494805113427,-0.0879050853692892
"Iceland","Iceland","0",2020-03-23,2020-03-29,7,2020,"13",370335,43,1,48.3587078651681,-5.35870786516815,42,0.270025787462703,-1.44698931107461,-0.11081164286087
"Iceland","Iceland","0",2020-03-30,2020-04-05,7,2020,"14",370335,50,2,44.5587078651681,5.44129213483185,48,0.540051574925405,1.46928919352258,0.122115123968515
"Iceland","Iceland","0",2020-04-06,2020-04-12,7,2020,"15",370335,50,4,45.5587078651682,4.44129213483185,46,1.08010314985081,1.19926340605988,0.097485032893732
"Iceland","Iceland","0",2020-04-13,2020-04-19,7,2020,"16",370335,60,1,49.7587078651682,10.2412921348318,59,0.270025787462703,2.76541297334355,0.205819093264697
"Iceland","Iceland","0",2020-04-20,2020-04-26,7,2020,"17",370335,35,1,45.5587078651682,-10.5587078651682,34,0.270025787462703,-2.85112340588066,-0.231760476974388
"Iceland","Iceland","0",2020-04-27,2020-05-03,7,2020,"18",370335,44,0,41.3587078651681,2.64129213483186,44,0,0.713216988627017,0.0638630235606643
"Iceland","Iceland","0",2020-05-04,2020-05-10,7,2020,"19",370335,37,0,42.7587078651681,-5.75870786516813,37,0,-1.55499962605969,-0.13467918355548
"Iceland","Iceland","0",2020-05-11,2020-05-17,7,2020,"20",370335,42,0,43.3587078651681,-1.35870786516814,42,0,-0.366886161223795,-0.031336447326643
"Iceland","Iceland","0",2020-05-18,2020-05-24,7,2020,"21",370335,50,0,44.7587078651682,5.24129213483184,50,0,1.41528403603004,0.117101059990847
"Iceland","Iceland","0",2020-05-25,2020-05-31,7,2020,"22",370335,50,0,43.7587078651682,6.24129213483184,50,0,1.68530982349274,0.142629717359636
"Iceland","Iceland","0",2020-06-01,2020-06-07,7,2020,"23",370335,34,0,46.1587078651682,-12.1587078651682,34,0,-3.28316466582099,-0.263410923474815
"Iceland","Iceland","0",2020-06-08,2020-06-14,7,2020,"24",370335,40,0,40.7587078651682,-0.758707865168162,40,0,-0.204870688746179,-0.01861462016112
"Iceland","Iceland","0",2020-06-15,2020-06-21,7,2020,"25",370335,31,0,38.5587078651682,-7.5587078651682,31,0,-2.04104604349257,-0.196031150514676
"Iceland","Iceland","0",2020-06-22,2020-06-28,7,2020,"26",370335,35,0,48.1587078651682,-13.1587078651682,35,0,-3.55319045328369,-0.273236314853154
"Iceland","Iceland","0",2020-06-29,2020-07-05,7,2020,"27",370335,35,0,44.1587078651681,-9.15870786516815,35,0,-2.47308730343288,-0.207404344645519
"Iceland","Iceland","0",2020-07-06,2020-07-12,7,2020,"28",370335,46,0,39.3587078651682,6.64129213483182,46,0,1.79332013847781,0.168737555043296
"Iceland","Iceland","0",2020-07-13,2020-07-19,7,2020,"29",370335,42,0,40.3587078651681,1.64129213483187,42,0,0.443191201164317,0.0406676085942881
"Iceland","Iceland","0",2020-07-20,2020-07-26,7,2020,"30",370335,35,0,46.1587078651682,-11.1587078651682,35,0,-3.01313887835828,-0.241746538871133
"Iceland","Iceland","0",2020-07-27,2020-08-02,7,2020,"31",370335,36,0,37.1587078651682,-1.15870786516818,36,0,-0.312881003731264,-0.031182673772527
"Iceland","Iceland","0",2020-08-03,2020-08-09,7,2020,"32",370335,37,0,39.9587078651681,-2.95870786516814,37,0,-0.79892742116412,-0.0740441326369123
"Iceland","Iceland","0",2020-08-10,2020-08-16,7,2020,"33",370335,43,0,40.1587078651682,2.84129213483182,43,0,0.767222146119547,0.0707515825551805
"Iceland","Iceland","0",2020-08-17,2020-08-23,7,2020,"34",370335,34,0,44.7587078651681,-10.7587078651681,34,0,-2.9051285633732,-0.240371279206224
"Iceland","Iceland","0",2020-08-24,2020-08-30,7,2020,"35",370335,28,0,36.9587078651682,-8.95870786516817,28,0,-2.41908214594034,-0.242397756378581
"Iceland","Iceland","0",2020-08-31,2020-09-06,7,2020,"36",370335,55,0,40.3587078651682,14.6412921348318,55,0,3.95352643817944,0.362779011254424
"Iceland","Iceland","0",2020-09-07,2020-09-13,7,2020,"37",370335,40,0,43.5587078651682,-3.55870786516817,40,0,-0.96094289364175,-0.081699114587692
"Iceland","Iceland","0",2020-09-14,2020-09-20,7,2020,"38",370335,45,0,42.7587078651682,2.24129213483184,45,0,0.605206673641931,0.0524172091892803
"Iceland","Iceland","0",2020-09-21,2020-09-27,7,2020,"39",370335,37,0,51.1587078651682,-14.1587078651682,37,0,-3.82321624074639,-0.276760466712417
"Iceland","Iceland","0",2020-09-28,2020-10-04,7,2020,"40",370335,38,0,43.5587078651682,-5.55870786516815,38,0,-1.50099446856715,-0.127614158858307
"Iceland","Iceland","0",2020-10-05,2020-10-11,7,2020,"41",370335,53,0,43.5587078651682,9.44129213483185,53,0,2.54939234337339,0.216748673171309
"Iceland","Iceland","0",2020-10-12,2020-10-18,7,2020,"42",370335,47,1,43.3587078651681,3.64129213483186,46,0.270025787462703,0.983242776089718,0.0839806422773282
"Iceland","Iceland","0",2020-10-19,2020-10-25,7,2020,"43",370335,50,0,47.1587078651682,2.84129213483185,50,0,0.767222146119553,0.0602495756023556
"Iceland","Iceland","0",2020-10-26,2020-11-01,7,2020,"44",370335,56,1,42.5587078651682,13.4412921348318,55,0.270025787462703,3.6294954932242,0.315829422674572
"Iceland","Iceland","0",2020-11-02,2020-11-08,7,2020,"45",370335,50,8,39.5587078651682,10.4412921348318,42,2.16020629970162,2.81941813083609,0.263944216035061
"Iceland","Iceland","0",2020-11-09,2020-11-15,7,2020,"46",370335,53,5,48.1587078651682,4.84129213483185,48,1.35012893731351,1.30727372104496,0.100527866079509
"Iceland","Iceland","0",2020-11-16,2020-11-22,7,2020,"47",370335,45,1,45.3587078651681,-0.358707865168142,44,0.270025787462703,-0.0968603737610926,-0.00790824699491943
"Iceland","Iceland","0",2020-11-23,2020-11-29,7,2020,"48",370335,35,0,45.1587078651682,-10.1587078651682,35,0,-2.74311309089558,-0.224955680651877
"Iceland","Iceland","0",2020-11-30,2020-12-06,7,2020,"49",370335,39,1,42.9587078651682,-3.95870786516816,38,0.270025787462703,-1.06895320862683,-0.0921514650206219
"Iceland","Iceland","0",2020-12-07,2020-12-13,7,2020,"50",370335,46,1,43.3587078651682,2.64129213483184,45,0.270025787462703,0.713216988627012,0.0609172243565335
"Iceland","Iceland","0",2020-12-14,2020-12-20,7,2020,"51",370335,43,0,44.9587078651681,-1.95870786516814,43,0,-0.528901633701417,-0.0435668184913663
"Iceland","Iceland","0",2020-12-21,2020-12-27,7,2020,"52",370335,53,0,43.1587078651681,9.84129213483185,53,0,2.65740265835847,0.228025643528925
"Iceland","Iceland","0",2020-12-28,2021-01-03,7,2020,"53",370335,46,1,44.6207865168537,1.37921348314634,45,0.270025787462703,0.372423206865769,0.0309096632042871
"Iceland","Iceland","0",2021-01-04,2021-01-10,7,2021,"1",370335,45,0,49.0184925093591,-4.01849250935912,45,0,-1.08509660425267,-0.0819791124460196
"Iceland","Iceland","0",2021-01-11,2021-01-17,7,2021,"2",370335,57,0,50.3518258426964,6.64817415730363,57,0,1.7951784620151,0.132034420719382
"Iceland","Iceland","0",2021-01-18,2021-01-24,7,2021,"3",370335,48,0,47.018492509363,0.981507490636972,48,0,0.26503233305979,0.0208749246999256
"Iceland","Iceland","0",2021-01-25,2021-01-31,7,2021,"4",370335,42,0,47.6851591760297,-5.6851591760297,42,0,-1.53513958335823,-0.119222820564422
"Iceland","Iceland","0",2021-02-01,2021-02-07,7,2021,"5",370335,42,0,45.8518258426964,-3.8518258426964,42,0,-1.04009230634328,-0.0840059424440552
