"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Kosovo","Kosovo","0",2020-01-01,2020-01-31,31,2020,"1",1775378,1072,0,932.08285972753,139.91714027247,1072,0,7.88097747479524,0.150112341206845,242.064516129032,0,210.470323164281,31.5941929647514,242.064516129032,0,1.77957555882473
"Kosovo","Kosovo","0",2020-02-01,2020-02-29,29,2020,"2",1775378,869.9,0,848.539149883364,21.3608501166359,869.9,0,1.20317195079785,0.0251736765705768,209.975862068966,0,204.819794799433,5.1560672695328,209.975862068966,0,0.290420815709826
"Kosovo","Kosovo","0",2020-03-01,2020-03-31,31,2020,"3",1775378,970.4,1,862.299431673046,108.100568326954,969.4,0.0563260331039362,6.08887619013832,0.125363144583333,219.122580645161,0.225806451612903,194.712774893914,24.4098057512476,218.896774193548,0.0127187816686307,1.37490752680543
"Kosovo","Kosovo","0",2020-04-01,2020-04-30,30,2020,"4",1775378,561.7,21,803.051062909399,-241.351062909399,540.7,1.18284669518266,-13.594347959105,-0.300542610621796,131.063333333333,4.9,187.378581345526,-56.3152480121931,126.163333333333,0.275997562209287,-3.17201452379117
"Kosovo","Kosovo","0",2020-05-01,2020-05-31,31,2020,"5",1775378,908.5,8,806.099431673046,102.400568326954,900.5,0.450608264831489,5.76781780144588,0.127032180278831,205.145161290323,1.80645161290323,182.022452313268,23.1227089770541,203.338709677419,0.101750253349046,1.30241047129423
"Kosovo","Kosovo","0",2020-06-01,2020-06-30,30,2020,"6",1775378,734.5,19,759.251062909399,-24.7510629093995,715.5,1.07019462897479,-1.39412918879244,-0.03259931282092,171.383333333333,4.43333333333333,177.158581345527,-5.77524801219321,166.95,0.249712080094117,-0.325296810718236
"Kosovo","Kosovo","0",2020-07-01,2020-07-31,31,2020,"7",1775378,1314.8,178,762.699431673046,552.100568326954,1136.8,10.0260338925006,31.097634888286,0.723876989282494,296.890322580645,40.1935483870968,172.222452313268,124.667870267377,256.696774193548,2.26394313701627,7.02204658767748
"Kosovo","Kosovo","0",2020-08-01,2020-08-31,31,2020,"8",1775378,1525,298,801.099431673046,723.900568326954,1227,16.785157864973,40.7744473755422,0.903633855806305,344.354838709677,67.2903225806452,180.893420055204,163.461418654473,277.064516129032,3.79019693725196,9.20713327834824
"Kosovo","Kosovo","0",2020-09-01,2020-09-30,30,2020,"9",1775378,1419.9,100,767.8510629094,652.048937090601,1319.9,5.63260331039362,36.7273300159516,0.849186735016003,331.31,23.3333333333333,179.165248012193,152.144751987807,307.976666666667,1.31427410575851,8.56971033705537
"Kosovo","Kosovo","0",2020-10-01,2020-10-31,31,2020,"10",1775378,1118.7,53,825.899431673046,292.800568326954,1065.7,2.98527975450862,16.4922945044353,0.354523271354988,252.609677419355,11.9677419354839,186.493420055204,66.1162573641509,240.641935483871,0.67409542843743,3.72406650100153
"Kosovo","Kosovo","0",2020-11-01,2020-11-30,30,2020,"11",1775378,1277.5,338,804.4510629094,473.0489370906,939.5,19.0381991891304,26.644970090347,0.588039420794298,298.083333333333,78.8666666666667,187.705248012193,110.37808532114,219.216666666667,4.44224647746377,6.21715968774763
"Kosovo","Kosovo","0",2020-12-01,2020-12-31,31,2020,"12",1775378,1198.1,316,892.299431673046,305.800568326954,882.1,17.7990264608438,17.2245329347865,0.342710706151166,270.538709677419,71.3548387096774,201.486968442301,69.0517412351186,199.183870967742,4.01913500728732,3.88941066269373
"Kosovo","Kosovo","0",2021-01-01,2021-01-31,31,2021,"1",1775378,1509,166,961.516003618548,547.483996381452,1343,9.35012149525341,30.8376017040569,0.569396655199771,340.741935483871,37.4838709677419,217.116516946124,123.625418537747,303.258064516129,2.1113177569927,6.96332941704511
"Kosovo","Kosovo","0",2021-02-01,2021-02-28,28,2021,"2",1775378,1292,94,845.863954325102,446.136045674898,1198,5.29464711177,25.1290736775435,0.527432388380778,323,23.5,211.465988581276,111.534011418724,299.5,1.3236617779425,6.28226841938587
"Kosovo","Kosovo","0",2021-03-01,2021-03-31,31,2021,"3",1775378,1617,274,891.732575564064,725.267424435936,1343,15.4333330704785,40.851436957985,0.813323909331414,365.129032258065,61.8709677419355,201.358968675756,163.770063582308,303.258064516129,3.48494617720483,9.22451802277081
"Kosovo","Kosovo","0",2021-04-01,2021-04-30,30,2021,"4",1775378,1572,268,831.534750545869,740.465249454131,1304,15.0953768718549,41.7074701530678,0.890480222225285,366.8,62.5333333333333,194.024775127369,172.775224872631,304.266666666667,3.52225460343281,9.73174303571581
