"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Lithuania","Lithuania","0",2019-12-30,2020-01-05,7,2020,"1",2750058,812,0,808.017556179793,3.98244382020675,812,0,0.144813084677005,0.00492866001456105
"Lithuania","Lithuania","0",2020-01-06,2020-01-12,7,2020,"2",2750058,803,0,815.350889513114,-12.3508895131138,803,0,-0.449113782804354,-0.0151479438754143
"Lithuania","Lithuania","0",2020-01-13,2020-01-19,7,2020,"3",2750058,787,0,851.350889513114,-64.3508895131138,787,0,-2.33998299356282,-0.0755868001147164
"Lithuania","Lithuania","0",2020-01-20,2020-01-26,7,2020,"4",2750058,786,0,843.850889513114,-57.8508895131138,786,0,-2.10362434221801,-0.0685558197923957
"Lithuania","Lithuania","0",2020-01-27,2020-02-02,7,2020,"5",2750058,762,0,840.184222846447,-78.1842228464471,762,0,-2.84300268745049,-0.0930560473768098
"Lithuania","Lithuania","0",2020-02-03,2020-02-09,7,2020,"6",2750058,764,0,830.517556179781,-66.5175561797805,764,0,-2.41876921067776,-0.0800916918430338
"Lithuania","Lithuania","0",2020-02-10,2020-02-16,7,2020,"7",2750058,809,0,818.51755617978,-9.5175561797804,809,0,-0.346085652730975,-0.0116277972389512
"Lithuania","Lithuania","0",2020-02-17,2020-02-23,7,2020,"8",2750058,707,0,818.184222846447,-111.184222846447,707,0,-4.04297737889336,-0.135891428533832
"Lithuania","Lithuania","0",2020-02-24,2020-03-01,7,2020,"9",2750058,807,0,808.821067415735,-1.82106741573523,807,0,-0.0662192366755621,-0.00225150838559851
"Lithuania","Lithuania","0",2020-03-02,2020-03-08,7,2020,"10",2750058,773,0,785.621067415735,-12.6210674157352,773,0,-0.458938226602318,-0.0160650826959766
"Lithuania","Lithuania","0",2020-03-09,2020-03-15,7,2020,"11",2750058,773,0,763.621067415735,9.3789325842647,773,0,0.341044901026258,0.012282181548507
"Lithuania","Lithuania","0",2020-03-16,2020-03-22,7,2020,"12",2750058,804,0,748.621067415735,55.3789325842649,804,0,2.01373689515875,0.0739745847327471
"Lithuania","Lithuania","0",2020-03-23,2020-03-29,7,2020,"13",2750058,816,4,730.621067415735,85.3789325842649,812,0.145451477750651,3.10462297828864,0.116858021746152
"Lithuania","Lithuania","0",2020-03-30,2020-04-05,7,2020,"14",2750058,775,4,739.821067415735,35.1789325842648,771,0.145451477750651,1.27920693251796,0.0475505958584663
"Lithuania","Lithuania","0",2020-04-06,2020-04-12,7,2020,"15",2750058,803,6,733.221067415735,69.7789325842648,797,0.218177216625977,2.53736221506109,0.0951676590938708
"Lithuania","Lithuania","0",2020-04-13,2020-04-19,7,2020,"16",2750058,784,9,729.421067415735,54.578932584265,775,0.327265824938965,1.98464659960863,0.0748250016655436
"Lithuania","Lithuania","0",2020-04-20,2020-04-26,7,2020,"17",2750058,786,8,707.421067415735,78.5789325842647,778,0.290902955501302,2.85735546611252,0.111078021568286
"Lithuania","Lithuania","0",2020-04-27,2020-05-03,7,2020,"18",2750058,769,2,693.221067415735,75.7789325842649,767,0.0727257388753255,2.75553943168707,0.109314237760779
"Lithuania","Lithuania","0",2020-05-04,2020-05-10,7,2020,"19",2750058,717,3,707.021067415735,9.97893258426495,714,0.109088608312988,0.362862622688865,0.014114052669943
"Lithuania","Lithuania","0",2020-05-11,2020-05-17,7,2020,"20",2750058,733,7,680.421067415735,52.5789325842649,726,0.254540086063639,1.9119208607333,0.0772741102564058
