"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Macao","Macao","0",2020-01-01,2020-01-31,31,2020,"1",658391,201,0,214.63923630116,-13.63923630116,201,0,-2.07160126750821,-0.0635449349159199,45.3870967741935,0,48.4669243260684,-3.07982755187483,45.3870967741935,0,-0.467780931372821
"Macao","Macao","0",2020-02-01,2020-02-29,29,2020,"2",658391,187,0,187.661935341639,-0.661935341638866,187,0,-0.100538333853116,-0.0035272754724277,45.1379310344828,0,45.2977085307404,-0.159777496257657,45.1379310344828,0,-0.0242678736886831
"Macao","Macao","0",2020-03-01,2020-03-31,31,2020,"3",658391,167,0,194.967083561393,-27.9670835613931,167,0,-4.24779250648826,-0.143445155205323,37.7096774193548,0,44.0248253203146,-6.31514790095973,37.7096774193548,0,-0.959178953077994
"Macao","Macao","0",2020-04-01,2020-04-30,30,2020,"4",658391,189,0,181.884274414251,7.11572558574863,189,0,1.08077503880652,0.0391222694136943,44.1,0,42.439664029992,1.66033597000801,44.1,0,0.252180842388188
"Macao","Macao","0",2020-05-01,2020-05-31,31,2020,"5",658391,165,0,181.567083561393,-16.5670835613931,165,0,-2.51629860696654,-0.0912449725822206,37.258064516129,0,40.9990188687017,-3.74095435257263,37.258064516129,0,-0.568196459637606
"Macao","Macao","0",2020-06-01,2020-06-30,30,2020,"6",658391,178,0,180.884274414251,-2.88427441425139,178,0,-0.438079259019548,-0.0159454127429894,41.5333333333333,0,42.2063306966587,-0.672997363325325,41.5333333333333,0,-0.102218493771228
"Macao","Macao","0",2020-07-01,2020-07-31,31,2020,"7",658391,187,0,192.367083561393,-5.36708356139306,187,0,-0.815181793401346,-0.0279002179688407,42.2258064516129,0,43.437728546121,-1.21192209450811,42.2258064516129,0,-0.184073308187401
"Macao","Macao","0",2020-08-01,2020-08-31,31,2020,"8",658391,206,0,187.367083561393,18.6329164386069,206,0,2.8300685213812,0.0994460504184642,46.5161290322581,0,42.3086962880565,4.20743274420156,46.5161290322581,0,0.639047730634465
"Macao","Macao","0",2020-09-01,2020-09-30,30,2020,"9",658391,184,0,170.484274414251,13.5157255857486,184,0,2.0528417894152,0.0792784298269493,42.9333333333333,0,39.779664029992,3.15366930334134,42.9333333333333,0,0.478996417530213
"Macao","Macao","0",2020-10-01,2020-10-31,31,2020,"10",658391,184,0,174.167083561393,9.83291643860693,184,0,1.49347673929427,0.0564568013515647,41.5483870967742,0,39.3280511267662,2.22033597000802,41.5483870967742,0,0.337236683066448
"Macao","Macao","0",2020-11-01,2020-11-30,30,2020,"11",658391,192,0,176.284274414251,15.7157255857486,192,0,2.38698973493693,0.0891499008517238,44.8,0,41.1329973633253,3.66700263667467,44.8,0,0.556964271485284
"Macao","Macao","0",2020-12-01,2020-12-31,31,2020,"12",658391,190,0,207.367083561393,-17.3670835613931,190,0,-2.63780695079263,-0.0837504355229618,42.9032258064516,0,46.8248253203146,-3.92159951386296,42.9032258064516,0,-0.595633827598335
"Macao","Macao","0",2021-01-01,2021-01-31,31,2021,"1",658391,211,0,217.561597488292,-6.56159748829151,211,0,-0.996611054569627,-0.0301597228740915,47.6451612903226,0,49.1268123360658,-1.48165104574324,47.6451612903226,0,-0.225041205870561
"Macao","Macao","0",2021-02-01,2021-02-28,28,2021,"2",658391,192,0,183.830386162951,8.16961383704856,192,0,1.24084530879805,0.0444410415904084,48,0,45.9575965407379,2.04240345926214,48,0,0.310211327199512
"Macao","Macao","0",2021-03-01,2021-03-31,31,2021,"3",658391,186,0,197.889444748525,-11.8894447485247,186,0,-1.80583342550622,-0.0600812477069386,42,0,44.684713330312,-2.68471333031202,42,0,-0.407768838017533
"Macao","Macao","0",2021-04-01,2021-04-30,30,2021,"4",658391,187,0,184.712365885669,2.28763411433101,187,0,0.347458290640518,0.0123848455048592,43.6333333333333,0,43.0995520399894,0.533781293343903,43.6333333333333,0,0.0810736011494542
"Macao","Macao","0",2021-05-01,2021-05-31,31,2021,"5",658391,181,0,184.489444748525,-3.48944474852462,181,0,-0.529995815332321,-0.0189140617409361,40.8709677419355,0,41.6589068786991,-0.787939136763624,40.8709677419355,0,-0.119676474429879
"Macao","Macao","0",2021-06-01,2021-06-30,30,2021,"6",658391,186,0,183.712365885669,2.28763411433098,186,0,0.347458290640514,0.0124522598318431,43.4,0,42.8662187066561,0.533781293343896,43.4,0,0.0810736011494532
"Macao","Macao","0",2021-07-01,2021-07-31,31,2021,"7",658391,174,0,195.289444748525,-21.2894447485246,174,0,-3.23355646546271,-0.109014825537239,39.2903225806452,0,44.0976165561185,-4.8072939754733,39.2903225806452,0,-0.730157911556096
"Macao","Macao","0",2021-08-01,2021-08-31,31,2021,"8",658391,199,0,190.289444748525,8.71055525147537,199,0,1.32300642801548,0.0457752938581892,44.9354838709677,0,42.968584298054,1.96689957291379,44.9354838709677,0,0.298743386971236
