"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Mexico","Mexico","0",2019-12-30,2020-01-05,7,2020,"1",127504120,16958,0,16793.4456928839,164.554307116123,16958,0,0.129058031313908,0.00979872208035615
"Mexico","Mexico","0",2020-01-06,2020-01-12,7,2020,"2",127504120,17054,0,16674.1123595507,379.887640449317,17054,0,0.297941462949838,0.022783080277837
"Mexico","Mexico","0",2020-01-13,2020-01-19,7,2020,"3",127504120,16527,0,16450.6123595507,76.3876404493167,16527,0,0.0599099389488878,0.00464345270435906
"Mexico","Mexico","0",2020-01-20,2020-01-26,7,2020,"4",127504120,15902,0,16107.6123595507,-205.612359550685,15902,0,-0.161259384834533,-0.012764918534234
"Mexico","Mexico","0",2020-01-27,2020-02-02,7,2020,"5",127504120,15525,0,16005.945692884,-480.945692884017,15525,0,-0.377200119403214,-0.0300479398163794
"Mexico","Mexico","0",2020-02-03,2020-02-09,7,2020,"6",127504120,16029,0,16100.945692884,-71.9456928840154,16029,0,-0.0564261710790329,-0.00446841410786281
"Mexico","Mexico","0",2020-02-10,2020-02-16,7,2020,"7",127504120,15186,0,15717.6123595507,-531.612359550683,15186,0,-0.416937397435223,-0.0338227173052562
"Mexico","Mexico","0",2020-02-17,2020-02-23,7,2020,"8",127504120,14772,0,15413.945692884,-641.945692884015,14772,0,-0.503470548939137,-0.0416470711441767
"Mexico","Mexico","0",2020-02-24,2020-03-01,7,2020,"9",127504120,14301,0,15318.7348314608,-1017.7348314608,14301,0,-0.798197604485878,-0.0664372640859759
"Mexico","Mexico","0",2020-03-02,2020-03-08,7,2020,"10",127504120,14299,0,14952.7348314608,-653.734831460795,14299,0,-0.512716633361177,-0.0437200845751191
"Mexico","Mexico","0",2020-03-09,2020-03-15,7,2020,"11",127504120,14118,0,14672.7348314608,-554.734831460795,14118,0,-0.435072083522317,-0.0378071871285611
"Mexico","Mexico","0",2020-03-16,2020-03-22,7,2020,"12",127504120,13398,3,14597.9348314608,-1199.9348314608,13395,0.00235286514663212,-0.941094947724669,-0.082198944255783
"Mexico","Mexico","0",2020-03-23,2020-03-29,7,2020,"13",127504120,13942,17,14304.9348314608,-362.934831460798,13925,0.013332902497582,-0.284645571814305,-0.025371302682386
"Mexico","Mexico","0",2020-03-30,2020-04-05,7,2020,"14",127504120,13737,74,14385.9348314608,-648.934831460796,13663,0.0580373402835924,-0.508952049126566,-0.0451089789480786
"Mexico","Mexico","0",2020-04-06,2020-04-12,7,2020,"15",127504120,14238,202,14017.3348314608,220.665168539203,14036,0.158426253206563,0.173065128043864,0.0157423055946369
"Mexico","Mexico","0",2020-04-13,2020-04-19,7,2020,"16",127504120,15244,390,13883.3348314608,1360.6651685392,14854,0.305872469062176,1.06715388376407,0.0980070843970298
"Mexico","Mexico","0",2020-04-20,2020-04-26,7,2020,"17",127504120,17339,665,14053.7348314608,3285.2651685392,16674,0.521551774170121,2.5765953041668,0.233764562085289
