"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Netherlands","Netherlands","0","2020-01-04","2020-01-10",2020,"1",17414806,3104,0,3404.92887931034,-300.928879310341,3104,0,-1.72800592386927,-0.0883803715075814
"Netherlands","Netherlands","0","2020-01-11","2020-01-17",2020,"2",17414806,3365,0,3340.42887931034,24.5711206896585,3365,0,0.141093278269414,0.00735567844052754
"Netherlands","Netherlands","0","2020-01-18","2020-01-24",2020,"3",17414806,3157,0,3296.59554597701,-139.595545977008,3157,0,-0.801591163157422,-0.0423453663120317
"Netherlands","Netherlands","0","2020-01-25","2020-01-31",2020,"4",17414806,3046,0,3344.42887931034,-298.428879310341,3046,0,-1.71365032323841,-0.0892316416583153
"Netherlands","Netherlands","0","2020-02-01","2020-02-07",2020,"5",17414806,3162,0,3336.76221264367,-174.762212643674,3162,0,-1.00352661203159,-0.0523747877452773
"Netherlands","Netherlands","0","2020-02-08","2020-02-14",2020,"6",17414806,3194,0,3341.09554597701,-147.095545977008,3194,0,-0.844657965050015,-0.0440261417109501
"Netherlands","Netherlands","0","2020-02-15","2020-02-21",2020,"7",17414806,3199,0,3325.92887931034,-126.928879310341,3199,0,-0.728856119961032,-0.0381634376188648
"Netherlands","Netherlands","0","2020-02-22","2020-02-28",2020,"8",17414806,2959,0,3380.3146551724,-421.314655172402,2959,0,-2.41928997183432,-0.124637703335613
"Netherlands","Netherlands","0","2020-02-29","2020-03-06",2020,"9",17414806,3098,1,3391.5146551724,-293.514655172403,3097,0.00574224025234619,-1.68543166758449,-0.0865438262885769
"Netherlands","Netherlands","0","2020-03-07","2020-03-13",2020,"10",17414806,3105,4,3380.1146551724,-275.114655172403,3101,0.0229689610093848,-1.57977444694131,-0.0813921074397314
"Netherlands","Netherlands","0","2020-03-14","2020-03-20",2020,"11",17414806,3219,101,3204.5146551724,14.4853448275994,3118,0.579966265486966,0.0831783301381561,0.0045202928949688
"Netherlands","Netherlands","0","2020-03-21","2020-03-27",2020,"12",17414806,3615,440,3124.7146551724,490.285344827596,3175,2.52658571103232,2.81533624220445,0.156905637452692
"Netherlands","Netherlands","0","2020-03-28","2020-04-03",2020,"13",17414806,4459,941,3028.31465517241,1430.68534482759,3518,5.40344807745777,8.2153389755108,0.472436159295389
"Netherlands","Netherlands","0","2020-04-04","2020-04-10",2020,"14",17414806,5084,1024,2978.5146551724,2105.4853448276,4060,5.8800540184025,12.090202697794,0.706891047580133
"Netherlands","Netherlands","0","2020-04-11","2020-04-17",2020,"15",17414806,4979,948,2932.11465517241,2046.88534482759,4031,5.44364375922419,11.7537074190065,0.698091850268126
"Netherlands","Netherlands","0","2020-04-18","2020-04-24",2020,"16",17414806,4304,830,2860.1146551724,1443.8853448276,3474,4.76605940944734,8.29113654684179,0.504834777240971
"Netherlands","Netherlands","0","2020-04-25","2020-05-01",2020,"17",17414806,3907,604,2790.71465517241,1116.28534482759,3303,3.4683131124171,6.40997864017316,0.399999814656304
"Netherlands","Netherlands","0","2020-05-02","2020-05-08",2020,"18",17414806,3378,466,2794.1146551724,583.885344827598,2912,2.67588395759333,3.35280992982407,0.208969715593711
"Netherlands","Netherlands","0","2020-05-09","2020-05-15",2020,"19",17414806,2986,284,2845.5146551724,140.485344827596,2702,1.63079623166632,0.806700601933758,0.049370803475649
"Netherlands","Netherlands","0","2020-05-16","2020-05-22",2020,"20",17414806,2775,145,2761.5146551724,13.4853448275953,2630,0.832624836590198,0.0774360898857864,0.00488331459778313
"Netherlands","Netherlands","0","2020-05-23","2020-05-29",2020,"21",17414806,2771,143,2768.31465517241,2.68534482759333,2628,0.821140356085506,0.015419895160436,0.000970028758318975
"Netherlands","Netherlands","0","2020-05-30","2020-06-05",2020,"22",17414806,2726,74,2756.1146551724,-30.1146551724046,2652,0.424925778673618,-0.172925585116507,-0.0109264885319225
"Netherlands","Netherlands","0","2020-06-06","2020-06-12",2020,"23",17414806,2682,48,2702.1146551724,-20.1146551724009,2634,0.275627532112617,-0.115503182593024,-0.00744404207049365
"Netherlands","Netherlands","0","2020-06-13","2020-06-19",2020,"24",17414806,2691,28,2672.7146551724,18.2853448275996,2663,0.160782727065693,0.104998843097073,0.00684148784540572
"Netherlands","Netherlands","0","2020-06-20","2020-06-26",2020,"25",17414806,2694,22,2699.5146551724,-5.51465517240376,2672,0.126329285551616,-0.031666474908786,-0.00204283209273837
"Netherlands","Netherlands","0","2020-06-27","2020-07-03",2020,"26",17414806,2660,17,2756.5146551724,-96.5146551724047,2643,0.0976180842898853,-0.554210337872295,-0.0350132929608417
"Netherlands","Netherlands","0","2020-07-04","2020-07-10",2020,"27",17414806,2637,15,2750.7146551724,-113.714655172404,2622,0.0861336037851929,-0.652976870212648,-0.0413400404722377
"Netherlands","Netherlands","0","2020-07-11","2020-07-17",2020,"28",17414806,2619,1,2651.91465517241,-32.9146551724052,2618,0.00574224025234619,-0.18900385782308,-0.0124116570298396
"Netherlands","Netherlands","0","2020-07-18","2020-07-24",2020,"29",17414806,2527,3,2795.3146551724,-268.314655172404,2524,0.0172267207570386,-1.54072721322537,-0.0959872816736101
"Netherlands","Netherlands","0","2020-07-25","2020-07-31",2020,"30",17414806,2672,1,2678.3146551724,-6.31465517240395,2671,0.00574224025234619,-0.036260267110664,-0.0023576972781032
"Netherlands","Netherlands","0","2020-08-01","2020-08-07",2020,"31",17414806,2663,5,2646.51465517241,16.4853448275949,2658,0.028711201261731,0.0946628106428224,0.00622907747568124
"Netherlands","Netherlands","0","2020-08-08","2020-08-14",2020,"32",17414806,2638,13,2678.3146551724,-40.3146551724035,2625,0.0746491232805005,-0.231496435690432,-0.0150522475372888
"Netherlands","Netherlands","0","2020-08-15","2020-08-21",2020,"33",17414806,3209,28,2627.5146551724,581.485344827597,3181,0.160782727065693,3.33902855321843,0.221306223233774
"Netherlands","Netherlands","0","2020-08-22","2020-08-28",2020,"34",17414806,2849,25,2691.5146551724,157.485344827597,2824,0.143556006308655,0.904318686223646,0.0585117916876099
"Netherlands","Netherlands","0","2020-08-29","2020-09-04",2020,"35",17414806,2732,17,2609.9146551724,122.085344827598,2715,0.0976180842898853,0.701043381290596,0.0467775237729116
"Netherlands","Netherlands","0","2020-09-05","2020-09-11",2020,"36",17414806,2687,15,2659.31465517241,27.6853448275947,2672,0.0861336037851929,0.158975901469099,0.0104107066735206
"Netherlands","Netherlands","0","2020-09-12","2020-09-18",2020,"37",17414806,2737,21,2694.9146551724,42.0853448275966,2716,0.12058704529927,0.241664161102895,0.0156165779672546
"Netherlands","Netherlands","0","2020-09-19","2020-09-25",2020,"38",17414806,2716,55,2729.5146551724,-13.5146551724033,2661,0.315823213879041,-0.077604396927553,-0.0049513033926355
"Netherlands","Netherlands","0","2020-09-26","2020-10-02",2020,"39",17414806,2888,100,2755.1146551724,132.885344827598,2788,0.574224025234619,0.763059576015936,0.0482322376595548
"Netherlands","Netherlands","0","2020-10-03","2020-10-09",2020,"40",17414806,2994,116,2804.3146551724,189.685344827598,2878,0.666099869272158,1.0892188223492,0.0676405354433869
"Netherlands","Netherlands","0","2020-10-10","2020-10-16",2020,"41",17414806,3015,164,2867.3146551724,147.685344827597,2851,0.941727401384776,0.848044731750655,0.051506500886181
"Netherlands","Netherlands","0","2020-10-17","2020-10-23",2020,"42",17414806,3210,255,2835.7146551724,374.285344827597,2955,1.46427126434828,2.1492363729323,0.131989776949134
