"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Palestine","Palestine","0",2020-01-01,2020-01-31,31,2020,"1",5250076,1329,0,1340.12270571064,-11.1227057106444,1329,0,-0.211857994258452,-0.00829976662827014,300.096774193548,0,302.608352902404,-2.51157870885518,300.096774193548,0,-0.0478389019293279
"Palestine","Palestine","0",2020-02-01,2020-02-29,29,2020,"2",5250076,1194,0,1188.72116402117,5.27883597883351,1194,0,0.100547801190564,0.00444076890241973,288.206896551724,0,286.93269476373,1.2742017879943,288.206896551724,0,0.0242701589080672
"Palestine","Palestine","0",2020-03-01,2020-03-31,31,2020,"3",5250076,1105,1,1153.68405856596,-48.6840585659611,1104,0.0190473433146492,-0.927301977456347,-0.0421987789503443,249.516129032258,0.225806451612903,260.509303547153,-10.9931745148944,249.290322580645,0.00430101300653368,-0.209390769103046
"Palestine","Palestine","0",2020-04-01,2020-04-30,30,2020,"4",5250076,889,1,1041.01683087029,-152.016830870285,888,0.0190473433146492,-2.89551676719128,-0.146027255623908,207.433333333333,0.233333333333333,242.903927203067,-35.4705938697332,207.2,0.00444438010675147,-0.675620579011299
"Palestine","Palestine","0",2020-05-01,2020-05-31,31,2020,"5",5250076,1044,1,1067.68405856596,-23.6840585659611,1043,0.0190473433146492,-0.451118394590118,-0.0221826469880724,235.741935483871,0.225806451612903,241.089948708443,-5.34801322457186,235.516129032258,0.00430101300653368,-0.101865443939704
"Palestine","Palestine","0",2020-06-01,2020-06-30,30,2020,"6",5250076,883,5,956.516830870285,-73.5168308702848,878,0.0952367165732458,-1.40030031699131,-0.0768588993916559,206.033333333333,1.16666666666667,223.1872605364,-17.1539272030665,204.866666666667,0.0222219005337574,-0.326736740631306
"Palestine","Palestine","0",2020-07-01,2020-07-31,31,2020,"7",5250076,1045,74,966.684058565961,78.3159414340387,971,1.40950340528404,1.49171062350409,0.0810150335469662,235.967741935484,16.7096774193548,218.28349709554,17.6842448399442,219.258064516129,0.318274962483492,0.33683788272673
"Palestine","Palestine","0",2020-08-01,2020-08-31,31,2020,"8",5250076,1048,70,1017.68405856596,30.3159414340387,978,1.33331403202544,0.577438144400932,0.0297891483892923,236.645161290323,15.8064516129032,229.799626127798,6.84553516252486,220.838709677419,0.301070910457358,0.130389258413114
"Palestine","Palestine","0",2020-09-01,2020-09-30,30,2020,"9",5250076,1149,159,925.516830870285,223.483169129715,990,3.02852758702922,4.25676064745948,0.241468508919031,268.1,37.1,215.953927203067,52.1460727969335,231,0.706656436973484,0.993244151073879
"Palestine","Palestine","0",2020-10-01,2020-10-31,31,2020,"10",5250076,1165,172,998.684058565961,166.315941434039,993,3.27614305011966,3.16787683519322,0.166535091861641,263.064516129032,38.8387096774194,225.509303547153,37.5552125818797,224.225806451613,0.739774237123793,0.715327027301695
"Palestine","Palestine","0",2020-11-01,2020-11-30,30,2020,"11",5250076,1357,249,1064.01683087029,292.983169129715,1108,4.74278848534764,5.5805510078276,0.275355765650884,316.633333333333,58.1,248.270593869733,68.3627394636002,258.533333333333,1.10665064658112,1.30212856849311
"Palestine","Palestine","0",2020-12-01,2020-12-31,31,2020,"12",5250076,1898,668,1192.68405856596,705.315941434039,1230,12.7236253341856,13.4343948817891,0.59136863309977,428.58064516129,150.838709677419,269.315755160056,159.264890001235,277.741935483871,2.8730766883645,3.03357303782335
