"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Paraguay","Paraguay","0",2020-01-01,2020-01-31,31,2020,"1",7219641,2862,0,2834.30060055946,27.6993994405439,2862,0,0.383667268781701,0.00977292226345949,646.258064516129,0,640.003361416651,6.25470309947765,646.258064516129,0,0.0866345445636098
"Paraguay","Paraguay","0",2020-02-01,2020-02-29,29,2020,"2",7219641,2866,0,2630.11991665241,235.880083347588,2866,0,3.26719962041863,0.0896841554083259,691.793103448276,0,634.856531605755,56.9365718425212,691.793103448276,0,0.788634391135532
"Paraguay","Paraguay","0",2020-03-01,2020-03-31,31,2020,"3",7219641,3009,3,2743.76072067138,265.239279328623,3006,0.0415533126924178,3.6738569040846,0.0966699746557056,679.451612903226,0.67741935483871,619.558872409666,59.8927404935599,678.774193548387,0.00938300609183628,0.82958059124491
"Paraguay","Paraguay","0",2020-04-01,2020-04-30,30,2020,"4",7219641,2569,7,2680.25231032714,-111.25231032714,2562,0.0969577296156415,-1.54096734625918,-0.0415081482808463,599.433333333333,1.63333333333333,625.392205742999,-25.9588724096659,597.8,0.0226234702436497,-0.359559047460475
"Paraguay","Paraguay","0",2020-05-01,2020-05-31,31,2020,"5",7219641,2676,1,2980.56072067138,-304.560720671378,2675,0.0138511042308059,-4.21850228662862,-0.102182357352805,604.258064516129,0.225806451612903,673.029840151601,-68.7717756354724,604.032258064516,0.00312766869727876,-0.952565032464528
"Paraguay","Paraguay","0",2020-06-01,2020-06-30,30,2020,"6",7219641,2824,6,3256.85231032714,-432.85231032714,2818,0.0831066253848356,-5.99548246688637,-0.132905108701002,658.933333333333,1.4,759.932205742999,-100.998872409666,657.533333333333,0.0193915459231283,-1.39894590894015
"Paraguay","Paraguay","0",2020-07-01,2020-07-31,31,2020,"7",7219641,2990,32,3291.76072067138,-301.760720671377,2958,0.44323533538579,-4.17971919478236,-0.0916715236245456,675.161290322581,7.2258064516129,743.300807893537,-68.1395175709562,667.935483870968,0.10008539831292,-0.943807560112147
"Paraguay","Paraguay","0",2020-08-01,2020-08-31,31,2020,"8",7219641,3452,277,3088.16072067138,363.839279328623,3175,3.83675587193324,5.03957578124207,0.117817468790783,779.483870967742,62.5483870967742,697.32661434515,82.1572566225922,716.935483870968,0.866364229146216,1.1379687247966
"Paraguay","Paraguay","0",2020-09-01,2020-09-30,30,2020,"9",7219641,3412,531,2828.45231032714,583.54768967286,2881,7.35493634655795,8.08277987330478,0.206313427149623,796.133333333333,123.9,659.972205742999,136.161127590334,672.233333333333,1.71615181419686,1.88598197043778
"Paraguay","Paraguay","0",2020-10-01,2020-10-31,31,2020,"10",7219641,3422,547,2769.76072067138,652.239279328622,2875,7.57655401425085,9.03423424140649,0.23548578563513,772.709677419355,123.516129032258,625.429840151601,147.279837267753,649.193548387097,1.71083477741148,2.03998837709179
"Paraguay","Paraguay","0",2020-11-01,2020-11-30,30,2020,"11",7219641,3104,352,2578.05231032714,525.94768967286,2752,4.87558868924369,7.28495626961036,0.204009704367139,724.266666666667,82.1333333333333,601.545539076333,122.721127590334,642.133333333333,1.13763736082353,1.69982312957575
"Paraguay","Paraguay","0",2020-12-01,2020-12-31,31,2020,"12",7219641,3553,506,2791.16072067138,761.839279328623,3047,7.0086587407878,10.5523152651028,0.272947119700571,802.290322580645,114.258064516129,630.262098216118,172.028224364528,688.032258064516,1.58260036082305,2.38278086631354
"Paraguay","Paraguay","0",2021-01-01,2021-01-31,31,2021,"1",7219641,3262,457,2909.82084078325,352.179159216752,2805,6.32995463347831,4.87807024222883,0.121031217551509,736.58064516129,103.193548387097,657.05631888654,79.5243262747505,633.387096774194,1.42934459465639,1.10149973211619
"Paraguay","Paraguay","0",2021-02-01,2021-02-28,28,2021,"2",7219641,3269,462,2607.63795630257,661.362043697427,2807,6.39921015463234,9.1605946015519,0.253624949007564,817.25,115.5,651.909489075643,165.340510924357,701.75,1.59980253865809,2.29014865038797
"Paraguay","Paraguay","0",2021-03-01,2021-03-31,31,2021,"3",7219641,4665,1025,2819.28096089517,1845.71903910483,3640,14.1973818365761,25.565246791424,0.654677226110442,1053.38709677419,231.451612903226,636.611829879554,416.775266894639,821.935483870968,3.20586041471073,5.77279766257961
"Paraguay","Paraguay","0",2021-04-01,2021-04-30,30,2021,"4",7219641,6271,2179,2753.33641376952,3517.66358623048,4092,30.1815561189261,48.723524981789,1.27760035738406,1463.23333333333,508.433333333333,642.445163212888,820.788170120446,954.8,7.0423630944161,11.3688224957508
"Paraguay","Paraguay","0",2021-05-01,2021-05-31,31,2021,"5",7219641,7407,2801,3056.08096089517,4350.91903910483,4606,38.7969429504874,60.265033110439,1.42369233498002,1672.54838709677,632.483870967742,690.08279762149,982.465589475284,1040.06451612903,8.76060002107781,13.6082332830024
"Paraguay","Paraguay","0",2021-06-01,2021-06-30,30,2021,"6",7219641,7028,3709,3329.93641376952,3698.06358623048,3319,51.3737455920592,51.2222641850264,1.1105508114025,1639.86666666667,865.433333333333,776.985163212888,862.881503453779,774.433333333333,11.9872073048138,11.9518616431728
"Paraguay","Paraguay","0",2021-07-01,2021-07-31,31,2021,"7",7219641,5009,2086,3367.28096089517,1641.71903910483,2923,28.8934034254612,22.7396215283396,0.487550358336713,1131.06451612903,471.032258064516,760.353765363425,370.710750765607,660.032258064516,6.52431690252349,5.13475324833474
"Paraguay","Paraguay","0",2021-08-01,2021-08-31,31,2021,"8",7219641,3581,786,3163.68096089517,417.319039104831,2795,10.8869679254135,5.78032950814079,0.13190933101761,808.612903225806,177.483870967742,714.379571815038,94.2333314107682,631.129032258065,2.45834759606111,1.30523569538663
"Paraguay","Paraguay","0",2021-09-01,2021-09-30,30,2021,"9",7219641,2793,431,2901.53641376952,-108.536413769519,2362,5.96982592347736,-1.50334917995949,-0.0374065316755803,651.7,100.566666666667,677.025163212888,-25.3251632128878,551.133333333333,1.39295938214472,-0.350781475323881
"Paraguay","Paraguay","0",2021-10-01,2021-10-31,31,2021,"10",7219641,2752,48,2845.28096089517,-93.2809608951698,2704,0.664853003078685,-1.29204431210873,-0.0327844463085368,621.41935483871,10.8387096774194,642.48279762149,-21.0634427827803,610.58064516129,0.15012809746938,-0.291751941443906
"Paraguay","Paraguay","0",2021-11-01,2021-11-30,30,2021,"11",7219641,2541,226,2651.13641376952,-110.136413769519,2315,3.13034955616214,-1.52551094672878,-0.0415430957069921,592.9,52.7333333333333,618.598496546221,-25.6984965462211,540.166666666667,0.730414896437833,-0.355952554236715
"Paraguay","Paraguay","0",2021-12-01,2021-12-31,31,2021,"12",7219641,2801,152,2866.68096089517,-65.6809608951694,2649,2.1053678430825,-0.90975383533848,-0.0229118488562674,632.483870967742,34.3225806451613,647.315055686006,-14.8311847182641,598.161290322581,0.475405641986371,-0.205428285399012
"Paraguay","Paraguay","0",2022-01-01,2022-01-31,31,2022,"1",7219641,4068,697,2985.34108100704,1082.65891899296,3371,9.65421964887174,14.9960215333832,0.362658366201744,918.58064516129,157.387096774194,674.109276356428,244.471368804862,761.193548387097,2.1799850820033,3.38619841076394
