"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Philippines","Philippines","0",2020-01-01,2020-01-31,31,2020,"1",106651394,53476,0,54737.9867033079,-1261.98670330789,53476,0,-1.18328195814102,-0.0230550442081134,12075.2258064516,0,12360.1905459082,-284.964739456621,12075.2258064516,0,-0.267192700225391
"Philippines","Philippines","0",2020-02-01,2020-02-29,29,2020,"2",106651394,46236,1,49010.4362938781,-2774.43629387813,46235,0.000937634251644193,-2.60140649814491,-0.0566090919338477,11160.4137931034,0.241379310344828,11830.1053123154,-669.691519211963,11160.1724137931,0.000226325509017564,-0.627925706448772
"Philippines","Philippines","0",2020-03-01,2020-03-31,31,2020,"3",106651394,45941,87,50906.1840439699,-4965.18404396986,45854,0.0815741798930448,-4.65552662534337,-0.0975359700833441,10373.7741935484,19.6451612903226,11494.9447841222,-1121.17059057384,10354.1290322581,0.0184199761048811,-1.05124794765818
"Philippines","Philippines","0",2020-04-01,2020-04-30,30,2020,"4",106651394,44711,480,50156.7716554547,-5445.77165545469,44231,0.450064440789213,-5.10614203078742,-0.108575003448462,10432.5666666667,112,11703.2467196061,-1270.68005293943,10320.5666666667,0.10501503618415,-1.19143314051706
"Philippines","Philippines","0",2020-05-01,2020-05-31,31,2020,"5",106651394,50193,389,52097.3840439699,-1904.38404396985,49804,0.364739723889591,-1.78561570791082,-0.0365543122541924,11333.9032258065,87.8387096774194,11763.9254292835,-430.022203477064,11246.064516129,0.0823605828137787,-0.403203546947604
"Philippines","Philippines","0",2020-06-01,2020-06-30,30,2020,"6",106651394,48446,309,49004.9716554547,-558.971655454698,48137,0.289728983758056,-0.524110969852581,-0.0114064274821896,11304.0666666667,72.1,11434.4933862728,-130.426719606096,11231.9666666667,0.0676034295435463,-0.122292559632269
"Philippines","Philippines","0",2020-07-01,2020-07-31,31,2020,"7",106651394,54385,757,51854.3840439698,2530.61595603015,53628,0.709789128494654,2.37279219813119,0.0488023530254322,12280.4838709677,170.935483870968,11709.0544615416,571.429409426164,12109.5483870968,0.160274964498793,0.535791786674784
"Philippines","Philippines","0",2020-08-01,2020-08-31,31,2020,"8",106651394,56792,1535,53560.1840439698,3231.81595603015,55257,1.43926857627384,3.03026133538409,0.060339896393504,12824,346.612903225806,12094.2351067029,729.764893297131,12477.3870967742,0.32499613012635,0.68425255960286
"Philippines","Philippines","0",2020-09-01,2020-09-30,30,2020,"9",106651394,53905,1946,52269.1716554547,1635.82834454531,51959,1.8246362536996,1.5338086856561,0.0312962362466402,12577.8333333333,454.066666666667,12196.1400529394,381.693280393905,12123.7666666667,0.425748459196573,0.357888693319756
"Philippines","Philippines","0",2020-10-01,2020-10-31,31,2020,"10",106651394,54117,1717,54310.9840439699,-193.984043969853,52400,1.60991801007308,-0.181886083898587,-0.00357172766033487,12219.9677419355,387.709677419355,12263.7705905738,-43.8028486383539,11832.2580645161,0.363529873242308,-0.0410710512029068
"Philippines","Philippines","0",2020-11-01,2020-11-30,30,2020,"11",106651394,51459,1171,51572.9716554547,-113.97165545469,50288,1.09796970867535,-0.106863727870908,-0.00220991057517694,12007.1,273.233333333333,12033.6933862728,-26.5933862727611,11733.8666666667,0.256192932024248,-0.0249348698365453
"Philippines","Philippines","0",2020-12-01,2020-12-31,31,2020,"12",106651394,53606,852,53010.5840439699,595.415956030149,52754,0.798864382400853,0.55828239434934,0.0112320202987441,12104.5806451613,192.387096774194,11970.1318808964,134.448764264872,11912.1935483871,0.18038873150987,0.12606376646598
