"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Russia","Russia","0","2020-01-01","2020-01-31",31,2020,"1",146238185,164075,0,164841.343440979,-766.343440979428,164075,0,-0.524037850291583,-0.00464897594852354,37049.1935483871,0,37222.2388415115,-173.045293124387,37049.1935483871,0,-0.118331127485196
"Russia","Russia","0","2020-02-01","2020-02-29",29,2020,"2",146238185,143179,0,146892.667289641,-3713.66728964061,143179,0,-2.53946483925564,-0.0252815021890648,34560.4482758621,0,35456.8507250857,-896.402449223595,34560.4482758621,0,-0.612974271544464
"Russia","Russia","0","2020-03-01","2020-03-31",31,2020,"3",146238185,152740,17,157566.012129174,-4826.01212917428,152723,0.011624870754516,-3.30010395655162,-0.0306285096891191,34489.6774193548,3.83870967741935,35579.4220936845,-1089.74467432968,34485.8387096774,0.00262497081553587,-0.745184764382625
"Russia","Russia","0","2020-04-01","2020-04-30",30,2020,"4",146238185,150873,1056,146581.927866943,4291.0721330572,149817,0.722109618633464,2.93430346735854,0.0292742236065577,35203.7,246.4,34202.44983562,1001.25016438001,34957.3,0.168492244347808,0.684670809050326
"Russia","Russia","0","2020-05-01","2020-05-31",31,2020,"5",146238185,172914,3620,151283.612129174,21630.3878708257,169294,2.47541365478517,14.7912037275529,0.142979054812338,39045.0967741935,817.41935483871,34160.8156420716,4884.28113212194,38227.6774193548,0.558964373661168,3.33994922880227
"Russia","Russia","0","2020-06-01","2020-06-30",30,2020,"6",146238185,162758,4613,143380.927866943,19377.0721330571,158145,3.15444287003425,13.2503505381013,0.135144000121404,37976.8666666667,1076.36666666667,33455.54983562,4521.31683104667,36900.5,0.736036669674659,3.09174845889031
"Russia","Russia","0","2020-07-01","2020-07-31",31,2020,"7",146238185,181479,4633,142604.612129174,38874.3878708257,176846,3.16811918856898,26.5829255681925,0.272602598824871,40979.1290322581,1046.16129032258,32201.0414485232,8778.08758373484,39932.9677419355,0.715381752257511,6.00259609604348
"Russia","Russia","0","2020-08-01","2020-08-31",31,2020,"8",146238185,157181,3189,142268.412129174,14912.5878708258,153992,2.18068899036185,10.1974650949243,0.104820090754128,35492.4838709677,720.096774193548,32125.125319491,3367.35855147678,34772.3870967742,0.492413642984935,2.30265340853128
"Russia","Russia","0","2020-09-01","2020-09-30",30,2020,"9",146238185,170717,3502,137050.927866943,33666.0721330571,167215,2.3947233754303,23.0213963152354,0.245646437109438,39833.9666666667,817.133333333333,31978.54983562,7855.41683104666,39016.8333333333,0.558768787600402,5.3716591402216
"Russia","Russia","0","2020-10-01","2020-10-31",31,2020,"10",146238185,205456,7157,147349.412129174,58106.5878708258,198299,4.89407058765123,39.7342102343692,0.394345569698551,46393.2903225807,1616.09677419355,33272.4479001361,13120.8424224445,44777.1935483871,1.1051127133406,8.97224102066401
"Russia","Russia","0","2020-11-01","2020-11-30",30,2020,"11",146238185,219872,11704,139708.527866943,80163.4721330571,208168,8.0033816065209,54.8170589870608,0.573790829786741,51303.4666666667,2730.93333333333,32598.6565022867,18704.81016438,48572.5333333333,1.86745570818821,12.7906470969809
"Russia","Russia","0","2020-12-01","2020-12-31",31,2020,"12",146238185,243235,16780,146378.212129174,96856.7878708257,226455,11.474431250634,66.2322141585836,0.661688556390842,54924.0322580645,3789.03225806452,33053.1446743297,21870.8875837348,51135,2.59100060498188,14.9556612616157
"Russia","Russia","0","2021-01-01","2021-01-31",31,2021,"1",146238185,219769,15758,162360.147484038,57408.8525159624,204011,10.7755713735096,39.2570876860666,0.353589556338673,49625.2580645161,3558.25806451613,36661.9687867182,12963.289277798,46067,2.43319353595378,8.86450367104731
"Russia","Russia","0","2021-02-01","2021-02-28",28,2021,"2",146238185,172672,12671,139586.322681169,33085.6773188306,160001,8.66463160767483,22.6245130974722,0.237026641889563,43168,3167.75,34896.5806702924,8271.41932970764,40000.25,2.16615790191871,5.65612827436804
