"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"South Africa","South Africa","0",2019-12-30,2020-01-05,7,2020,"1",60041996,10454,0,10257.6172316387,196.382768361344,10454,0,0.327075682762684,0.0191450669221327
"South Africa","South Africa","0",2020-01-06,2020-01-12,7,2020,"2",60041996,9678,0,9361.28389830506,316.716101694939,9678,0,0.52749096098494,0.0338325495878065
"South Africa","South Africa","0",2020-01-13,2020-01-19,7,2020,"3",60041996,9254,0,9108.45056497173,145.549435028273,9254,0,0.242412718971357,0.015979604213697
"South Africa","South Africa","0",2020-01-20,2020-01-26,7,2020,"4",60041996,8626,0,8881.61723163839,-255.617231638395,8626,0,-0.425730736263988,-0.0287804827625116
"South Africa","South Africa","0",2020-01-27,2020-02-02,7,2020,"5",60041996,9412,0,9284.95056497173,127.04943502827,9412,0,0.211600951820905,0.0136833722634533
"South Africa","South Africa","0",2020-02-03,2020-02-09,7,2020,"6",60041996,10095,0,9492.95056497173,602.049435028266,10095,0,1.00271389217018,0.0634206857928643
"South Africa","South Africa","0",2020-02-10,2020-02-16,7,2020,"7",60041996,9278,0,9075.61723163839,202.382768361605,9278,0,0.337068688325427,0.0222996148026253
"South Africa","South Africa","0",2020-02-17,2020-02-23,7,2020,"8",60041996,9310,0,9040.78389830506,269.216101694938,9310,0,0.448379666950009,0.0297779600445278
"South Africa","South Africa","0",2020-02-24,2020-03-01,7,2020,"9",60041996,9017,0,9433.54067796606,-416.540677966059,9017,0,-0.693748885306976,-0.0441552850817694
"South Africa","South Africa","0",2020-03-02,2020-03-08,7,2020,"10",60041996,9834,0,9372.54067796606,461.459322033941,9834,0,0.768560928643913,0.0492352434509873
"South Africa","South Africa","0",2020-03-09,2020-03-15,7,2020,"11",60041996,9396,0,9153.94067796606,242.059322033936,9396,0,0.403150025248887,0.0264431822915985
"South Africa","South Africa","0",2020-03-16,2020-03-22,7,2020,"12",60041996,9112,0,9042.94067796606,69.0593220339397,9112,0,0.115018364869049,0.00763682130550847
"South Africa","South Africa","0",2020-03-23,2020-03-29,7,2020,"13",60041996,9042,2,9430.74067796606,-388.740677966058,9040,0.00333100185410225,-0.647447959534952,-0.0412205882062169
"South Africa","South Africa","0",2020-03-30,2020-04-05,7,2020,"14",60041996,8768,9,9701.34067796607,-933.340677966065,8759,0.0149895083434601,-1.55447976440701,-0.096207391220256
"South Africa","South Africa","0",2020-04-06,2020-04-12,7,2020,"15",60041996,8762,14,9464.14067796606,-702.140677966063,8748,0.0233170129787158,-1.16941595007278,-0.0741895859177951
"South Africa","South Africa","0",2020-04-13,2020-04-19,7,2020,"16",60041996,8611,29,9420.74067796606,-809.740677966061,8582,0.0482995268844827,-1.34862384982348,-0.0859529739375954
"South Africa","South Africa","0",2020-04-20,2020-04-26,7,2020,"17",60041996,8426,33,9673.34067796606,-1247.34067796606,8393,0.0549615305926872,-2.07744705550105,-0.128946216151288
"South Africa","South Africa","0",2020-04-27,2020-05-03,7,2020,"18",60041996,8477,44,10212.7406779661,-1735.74067796606,8433,0.0732820407902495,-2.89087770827282,-0.169958362079135
"South Africa","South Africa","0",2020-05-04,2020-05-10,7,2020,"19",60041996,8936,63,10205.3406779661,-1269.34067796606,8873,0.104926558404221,-2.11408807589618,-0.124380039630293
"South Africa","South Africa","0",2020-05-11,2020-05-17,7,2020,"20",60041996,9065,70,10284.9406779661,-1219.94067796606,8995,0.116585064893579,-2.03181233009985,-0.118614264891153
"South Africa","South Africa","0",2020-05-18,2020-05-24,7,2020,"21",60041996,9272,165,10174.1406779661,-902.140677966059,9107,0.274807652963436,-1.502516135483,-0.0886699630485558
"South Africa","South Africa","0",2020-05-25,2020-05-31,7,2020,"22",60041996,9818,254,10871.3406779661,-1053.34067796606,9564,0.423037235470986,-1.75433987565313,-0.0968915158827612
"South Africa","South Africa","0",2020-06-01,2020-06-07,7,2020,"23",60041996,10506,315,11521.5406779661,-1015.54067796606,10191,0.524632792021105,-1.6913839406106,-0.0881427845763885
"South Africa","South Africa","0",2020-06-08,2020-06-14,7,2020,"24",60041996,11007,482,11540.9406779661,-533.940677966062,10525,0.802771446838643,-0.889278694142783,-0.04626491833421
