"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Spain","Andalusia","1","2020-01-01","2020-01-07",2020,"1",8405294,1542,0,1644.5,-102.5,1542,0,-1.21946953907859,-0.0623289753724536
"Spain","Andalusia","1","2020-01-08","2020-01-14",2020,"2",8405294,1663,0,1737,-74,1663,0,-0.880397520895759,-0.0426021876799079
"Spain","Andalusia","1","2020-01-15","2020-01-21",2020,"3",8405294,1812,0,1720.5,91.5,1812,0,1.08859963732381,0.0531822144725371
"Spain","Andalusia","1","2020-01-22","2020-01-28",2020,"4",8405294,1759,0,1747,12,1759,0,0.142767165550664,0.00686891814539203
"Spain","Andalusia","1","2020-01-29","2020-02-04",2020,"5",8405294,1796,0,1726.5,69.5,1796,0,0.82685983381426,0.0402548508543297
"Spain","Andalusia","1","2020-02-05","2020-02-11",2020,"6",8405294,1601,0,1737.5,-136.5,1601,0,-1.6239765081388,-0.0785611510791366
"Spain","Andalusia","1","2020-02-12","2020-02-18",2020,"7",8405294,1512,0,1703,-191,1512,0,-2.27237738501473,-0.112155020551967
"Spain","Andalusia","1","2020-02-19","2020-02-25",2020,"8",8405294,1430,0,1663.5,-233.5,1430,0,-2.77801109634,-0.140366696723775
"Spain","Andalusia","1","2020-02-26","2020-03-03",2020,"9",8405294,1393,0,1628.5,-235.5,1393,0,-2.80180562393177,-0.144611605772183
"Spain","Andalusia","1","2020-03-04","2020-03-10",2020,"10",8405294,1363,0,1568,-205,1363,0,-2.43893907815717,-0.130739795918367
"Spain","Andalusia","1","2020-03-11","2020-03-17",2020,"11",8405294,1548,24,1540,8,1524,0.285534331101327,0.0951781103671091,0.0051948051948052
"Spain","Andalusia","1","2020-03-18","2020-03-24",2020,"12",8405294,1745,145,1510,235,1600,1.72510325040385,2.79585699203383,0.155629139072848
"Spain","Andalusia","1","2020-03-25","2020-03-31",2020,"13",8405294,1820,289,1497.5,322.5,1531,3.43830923701182,3.83686757417409,0.215358931552588
"Spain","Andalusia","1","2020-04-01","2020-04-07",2020,"14",8405294,1839,310,1462,377,1529,3.68815177672548,4.48526845105002,0.257865937072503
"Spain","Andalusia","1","2020-04-08","2020-04-14",2020,"15",8405294,1664,241,1434.5,229.5,1423,2.86724057480916,2.73042204115644,0.159986057859882
"Spain","Andalusia","1","2020-04-15","2020-04-21",2020,"16",8405294,1465,164,1406.5,58.5,1301,1.95115126252574,0.695989932059485,0.0415926057589762
