"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Sweden","Sweden","0","2019-12-30","2020-01-05",7,2020,"1",10380245,1822,0,1909.2420411987,-87.2420411986959,1822,0,-0.840462254972748,-0.0456945946695799
"Sweden","Sweden","0","2020-01-06","2020-01-12",7,2020,"2",10380245,1891,0,1901.74204119853,-10.7420411985318,1891,0,-0.103485430243041,-0.00564852696413121
"Sweden","Sweden","0","2020-01-13","2020-01-19",7,2020,"3",10380245,1831,0,1887.4087078652,-56.4087078651976,1831,0,-0.543423665483788,-0.0298868536688061
"Sweden","Sweden","0","2020-01-20","2020-01-26",7,2020,"4",10380245,1730,0,1850.74204119853,-120.742041198532,1730,0,-1.1631906684142,-0.0652398003129273
"Sweden","Sweden","0","2020-01-27","2020-02-02",7,2020,"5",10380245,1848,0,1839.57537453187,8.42462546813385,1848,0,0.0811601794382874,0.00457965766707313
"Sweden","Sweden","0","2020-02-03","2020-02-09",7,2020,"6",10380245,1728,0,1822.57537453187,-94.5753745318652,1728,0,-0.911109270849245,-0.0518910635211217
"Sweden","Sweden","0","2020-02-10","2020-02-16",7,2020,"7",10380245,1824,0,1869.57537453187,-45.5753745318652,1824,0,-0.43905875566391,-0.0243773934727168
"Sweden","Sweden","0","2020-02-17","2020-02-23",7,2020,"8",10380245,1777,0,1915.07537453187,-138.075374531865,1777,0,-1.33017452412602,-0.0720991854253347
"Sweden","Sweden","0","2020-02-24","2020-03-01",7,2020,"9",10380245,1778,0,1928.29044943823,-150.290449438226,1778,0,-1.44785069560715,-0.0779397364551647
"Sweden","Sweden","0","2020-03-02","2020-03-08",7,2020,"10",10380245,1826,0,1866.29044943823,-40.2904494382274,1826,0,-0.388145457435999,-0.0215885203990382
"Sweden","Sweden","0","2020-03-09","2020-03-15",7,2020,"11",10380245,1730,7,1851.09044943823,-121.090449438227,1723,0.0674357878836193,-1.16654712329263,-0.0654157388554277
"Sweden","Sweden","0","2020-03-16","2020-03-22",7,2020,"12",10380245,1865,53,1749.29044943823,115.709550561775,1812,0.510585251118832,1.1147092439704,0.066146562795752
"Sweden","Sweden","0","2020-03-23","2020-03-29",7,2020,"13",10380245,2040,224,1771.89044943823,268.109550561772,1816,2.15794521227582,2.5828826830366,0.151312712728248
"Sweden","Sweden","0","2020-03-30","2020-04-05",7,2020,"14",10380245,2383,117,1755.09044943823,627.909550561773,2266,1.12714102605478,6.04908218025464,0.357764781161424
"Sweden","Sweden","0","2020-04-06","2020-04-12",7,2020,"15",10380245,2569,498,1698.29044943823,870.709550561774,2071,4.79757462372035,8.3881406514179,0.512697666556267
"Sweden","Sweden","0","2020-04-13","2020-04-19",7,2020,"16",10380245,2525,641,1712.49044943823,812.509550561773,1884,6.17519143334285,7.82746024358551,0.474460777768607
"Sweden","Sweden","0","2020-04-20","2020-04-26",7,2020,"17",10380245,2269,654,1646.69044943823,622.309550561772,1615,6.30042932512672,5.99513354994774,0.377915321470453
"Sweden","Sweden","0","2020-04-27","2020-05-03",7,2020,"18",10380245,2239,485,1600.29044943823,638.709550561774,1754,4.67233673193648,6.15312596727509,0.399121016304253
"Sweden","Sweden","0","2020-05-04","2020-05-10",7,2020,"19",10380245,2182,546,1588.49044943823,593.509550561774,1636,5.25999145492231,5.71768345122658,0.373631173402189
"Sweden","Sweden","0","2020-05-11","2020-05-17",7,2020,"20",10380245,1989,454,1523.29044943823,465.709550561775,1535,4.37369252845188,4.48649863815136,0.305726035854504
"Sweden","Sweden","0","2020-05-18","2020-05-24",7,2020,"21",10380245,1918,319,1513.69044943823,404.309550561773,1599,3.07314519069637,3.89499044157217,0.267101870604934
"Sweden","Sweden","0","2020-05-25","2020-05-31",7,2020,"22",10380245,1656,397,1513.29044943823,142.709550561773,1259,3.82457254139955,1.37481871152148,0.0943041374606906
"Sweden","Sweden","0","2020-06-01","2020-06-07",7,2020,"23",10380245,1751,264,1488.29044943823,262.709550561772,1487,2.54329257161079,2.53086078952638,0.1765176620336
"Sweden","Sweden","0","2020-06-08","2020-06-14",7,2020,"24",10380245,1721,215,1476.29044943823,244.709550561773,1506,2.07124205642545,2.35745447782564,0.16575975998144
"Sweden","Sweden","0","2020-06-15","2020-06-21",7,2020,"25",10380245,1670,179,1487.69044943823,182.309550561771,1491,1.72442943302398,1.75631259726308,0.122545352516455
"Sweden","Sweden","0","2020-06-22","2020-06-28",7,2020,"26",10380245,1674,227,1510.89044943823,163.109550561773,1447,2.18684626422594,1.57134586478231,0.107955908135113
"Sweden","Sweden","0","2020-06-29","2020-07-05",7,2020,"27",10380245,1565,140,1530.69044943823,34.3095505617732,1425,1.34871575767239,0.330527367723722,0.0224144277991445
"Sweden","Sweden","0","2020-07-06","2020-07-12",7,2020,"28",10380245,1571,106,1517.89044943823,53.1095505617718,1465,1.02117050223766,0.511640626611143,0.0349890537761981
"Sweden","Sweden","0","2020-07-13","2020-07-19",7,2020,"29",10380245,1513,93,1523.89044943823,-10.8904494382252,1420,0.895932610453799,-0.104915148324777,-0.00714647791266099
"Sweden","Sweden","0","2020-07-20","2020-07-26",7,2020,"30",10380245,1540,78,1512.89044943823,27.1095505617732,1462,0.751427350703187,0.261164843043427,0.0179190440205632
"Sweden","Sweden","0","2020-07-27","2020-08-02",7,2020,"31",10380245,1547,46,1533.69044943823,13.3095505617723,1501,0.443149463235213,0.128220004072855,0.00867812052076578
"Sweden","Sweden","0","2020-08-03","2020-08-09",7,2020,"32",10380245,1571,20,1480.89044943823,90.1095505617736,1551,0.192673679667484,0.868086933996005,0.0608482218221857
"Sweden","Sweden","0","2020-08-10","2020-08-16",7,2020,"33",10380245,1517,20,1478.89044943823,38.1095505617727,1497,0.192673679667484,0.367135366860539,0.0257690152615759
"Sweden","Sweden","0","2020-08-17","2020-08-23",7,2020,"34",10380245,1578,27,1490.09044943823,87.9095505617749,1551,0.260109467551103,0.846892829232595,0.0589961170443831
"Sweden","Sweden","0","2020-08-24","2020-08-30",7,2020,"35",10380245,1486,11,1538.89044943823,-52.8904494382275,1475,0.105970523817116,-0.509529875626515,-0.0343692102693438
"Sweden","Sweden","0","2020-08-31","2020-09-06",7,2020,"36",10380245,1517,14,1522.89044943823,-5.89044943822682,1503,0.134871575767239,-0.0567467284079212,-0.00386794036327409
"Sweden","Sweden","0","2020-09-07","2020-09-13",7,2020,"37",10380245,1527,11,1501.89044943823,25.109550561772,1516,0.105970523817116,0.241897475076668,0.0167186298915238
"Sweden","Sweden","0","2020-09-14","2020-09-20",7,2020,"38",10380245,1513,19,1520.09044943823,-7.09044943822641,1494,0.18303999568411,-0.0683071491879663,-0.00466449180102857
"Sweden","Sweden","0","2020-09-21","2020-09-27",7,2020,"39",10380245,1563,15,1544.69044943823,18.3095505617741,1548,0.144505259750613,0.176388423989743,0.0118532166547887
"Sweden","Sweden","0","2020-09-28","2020-10-04",7,2020,"40",10380245,1547,15,1591.49044943823,-44.490449438227,1532,0.144505259750613,-0.428606930166166,-0.0279552098185267
"Sweden","Sweden","0","2020-10-05","2020-10-11",7,2020,"41",10380245,1543,-1,1602.09044943823,-59.0904494382266,1544,-0.00963368398337419,-0.569258716323426,-0.0368833416733411
"Sweden","Sweden","0","2020-10-12","2020-10-18",7,2020,"42",10380245,1612,24,1578.49044943823,33.5095505617733,1588,0.231208415600981,0.322820420537023,0.0212288586058276
"Sweden","Sweden","0","2020-10-19","2020-10-25",7,2020,"43",10380245,1570,15,1621.69044943823,-51.690449438227,1555,0.144505259750613,-0.497969454846461,-0.0318744242812389
"Sweden","Sweden","0","2020-10-26","2020-11-01",7,2020,"44",10380245,1691,5,1646.69044943823,44.3095505617734,1686,0.0481684199168709,0.426864207557466,0.0269082453091836
"Sweden","Sweden","0","2020-11-02","2020-11-08",7,2020,"45",10380245,1673,84,1614.29044943823,58.7095505617733,1589,0.809229454603432,0.565589256918053,0.0363686414561917
"Sweden","Sweden","0","2020-11-09","2020-11-15",7,2020,"46",10380245,1868,142,1641.09044943823,226.909550561773,1726,1.36798312563913,2.18597490292159,0.138267546825008
"Sweden","Sweden","0","2020-11-16","2020-11-22",7,2020,"47",10380245,1989,242,1616.49044943823,372.509550561773,1747,2.33135152397655,3.58863929090088,0.230443397108365
"Sweden","Sweden","0","2020-11-23","2020-11-29",7,2020,"48",10380245,1959,275,1689.09044943823,269.909550561773,1684,2.6492630954279,2.60022331420668,0.159795794625174
"Sweden","Sweden","0","2020-11-30","2020-12-06",7,2020,"49",10380245,2148,386,1737.29044943823,410.709550561773,1762,3.71860201758244,3.95664601906577,0.236408109360516
