"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Uruguay","Uruguay","0",2020-01-01,2020-01-31,31,2020,"1",3422796,2546,0,2644.3994078027,-98.3994078027026,2546,0,-2.87482537091614,-0.0372104938128334,574.903225806452,0,597.122446923191,-22.2192211167393,574.903225806452,0,-0.649154116013321
"Uruguay","Uruguay","0",2020-02-01,2020-02-29,29,2020,"2",3422796,2427,0,2429.81353971098,-2.81353971098406,2427,0,-0.0822000408725515,-0.00115792412257232,585.827586206897,0,586.506716481962,-0.679130275065118,585.827586206897,0,-0.0198413891761331
"Uruguay","Uruguay","0",2020-03-01,2020-03-31,31,2020,"3",3422796,2601,1,2647.07928936325,-46.0792893632524,2600,0.0292158808179044,-1.34624702621051,-0.0174075969497448,587.322580645161,0.225806451612903,597.727581469122,-10.4050008239602,587.096774193548,0.00659713437823648,-0.303991263983019
"Uruguay","Uruguay","0",2020-04-01,2020-04-30,30,2020,"4",3422796,2511,16,2576.1670542225,-65.1670542225029,2495,0.467454093086471,-1.90391288941856,-0.0252961290362324,585.9,3.73333333333333,601.105645985251,-15.2056459852507,582.166666666667,0.109072621720177,-0.444246340864331
"Uruguay","Uruguay","0",2020-05-01,2020-05-31,31,2020,"5",3422796,2718,5,2977.87928936325,-259.879289363253,2713,0.146079404089522,-7.59260234507849,-0.0872699206752674,613.741935483871,1.12903225806452,672.42435566267,-58.682420178799,612.612903225806,0.0329856718911824,-1.71445859404998
"Uruguay","Uruguay","0",2020-06-01,2020-06-30,30,2020,"6",3422796,2707,5,3309.9670542225,-602.967054222503,2702,0.146079404089522,-17.6162135932876,-0.182167086362174,631.633333333333,1.16666666666667,772.325645985251,-140.692312651917,630.466666666667,0.0340851942875552,-4.11044983843376
"Uruguay","Uruguay","0",2020-07-01,2020-07-31,31,2020,"7",3422796,3162,8,3570.07928936325,-408.079289363253,3154,0.233727046543235,-11.9223958822919,-0.114305385479558,714,1.80645161290323,806.146936307831,-92.1469363078313,712.193548387097,0.0527770750258919,-2.69215390890463
"Uruguay","Uruguay","0",2020-08-01,2020-08-31,31,2020,"8",3422796,2952,9,3398.27928936325,-446.279289363253,2943,0.26294292736114,-13.0384425295359,-0.13132507700592,666.58064516129,2.03225806451613,767.353387920735,-100.772742759444,664.548387096774,0.0593742094041283,-2.94416444215326
"Uruguay","Uruguay","0",2020-09-01,2020-09-30,30,2020,"9",3422796,2866,4,3124.7670542225,-258.767054222503,2862,0.116863523271618,-7.56010741576485,-0.0828116303494785,668.733333333333,0.933333333333333,729.112312651917,-60.378979318584,667.8,0.0272681554300441,-1.76402506367847
"Uruguay","Uruguay","0",2020-10-01,2020-10-31,31,2020,"10",3422796,2721,10,2881.07928936325,-160.079289363253,2711,0.292158808179044,-4.67685743945163,-0.0555622644452218,614.41935483871,2.25806451612903,650.566291146541,-36.1469363078313,612.161290322581,0.0659713437823648,-1.05606458310198
