"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Albania","Albania",0,"2015-01-01","2015-01-31",31,2015,1,2845955,2490,0,"TBC"
"Albania","Albania",0,"2015-02-01","2015-02-28",28,2015,2,2845955,2139,0,"TBC"
"Albania","Albania",0,"2015-03-01","2015-03-31",31,2015,3,2845955,2051,0,"TBC"
"Albania","Albania",0,"2015-04-01","2015-04-30",30,2015,4,2845955,1906,0,"TBC"
"Albania","Albania",0,"2015-05-01","2015-05-31",31,2015,5,2845955,1709,0,"TBC"
"Albania","Albania",0,"2015-06-01","2015-06-30",30,2015,6,2845955,1561,0,"TBC"
"Albania","Albania",0,"2015-07-01","2015-07-31",31,2015,7,2845955,2008,0,"TBC"
"Albania","Albania",0,"2015-08-01","2015-08-31",31,2015,8,2845955,1687,0,"TBC"
"Albania","Albania",0,"2015-09-01","2015-09-30",30,2015,9,2845955,1569,0,"TBC"
"Albania","Albania",0,"2015-10-01","2015-10-31",31,2015,10,2845955,1560,0,"TBC"
"Albania","Albania",0,"2015-11-01","2015-11-30",30,2015,11,2845955,1728,0,"TBC"
"Albania","Albania",0,"2015-12-01","2015-12-31",31,2015,12,2845955,2010,0,"TBC"
"Albania","Albania",0,"2016-01-01","2016-01-31",31,2016,1,2845955,2065,0,"TBC"
"Albania","Albania",0,"2016-02-01","2016-02-29",29,2016,2,2845955,1905,0,"TBC"
"Albania","Albania",0,"2016-03-01","2016-03-31",31,2016,3,2845955,1910,0,"TBC"
"Albania","Albania",0,"2016-04-01","2016-04-30",30,2016,4,2845955,1652,0,"TBC"
"Albania","Albania",0,"2016-05-01","2016-05-31",31,2016,5,2845955,1716,0,"TBC"
"Albania","Albania",0,"2016-06-01","2016-06-30",30,2016,6,2845955,1678,0,"TBC"
"Albania","Albania",0,"2016-07-01","2016-07-31",31,2016,7,2845955,1643,0,"TBC"
"Albania","Albania",0,"2016-08-01","2016-08-31",31,2016,8,2845955,1578,0,"TBC"
"Albania","Albania",0,"2016-09-01","2016-09-30",30,2016,9,2845955,1459,0,"TBC"
"Albania","Albania",0,"2016-10-01","2016-10-31",31,2016,10,2845955,1743,0,"TBC"
"Albania","Albania",0,"2016-11-01","2016-11-30",30,2016,11,2845955,1855,0,"TBC"
"Albania","Albania",0,"2016-12-01","2016-12-31",31,2016,12,2845955,2184,0,"TBC"
"Albania","Albania",0,"2017-01-01","2017-01-31",31,2017,1,2845955,3129,0,"TBC"
"Albania","Albania",0,"2017-02-01","2017-02-28",28,2017,2,2845955,1845,0,"TBC"
"Albania","Albania",0,"2017-03-01","2017-03-31",31,2017,3,2845955,1817,0,"TBC"
"Albania","Albania",0,"2017-04-01","2017-04-30",30,2017,4,2845955,1665,0,"TBC"
"Albania","Albania",0,"2017-05-01","2017-05-31",31,2017,5,2845955,1660,0,"TBC"
"Albania","Albania",0,"2017-06-01","2017-06-30",30,2017,6,2845955,1605,0,"TBC"
"Albania","Albania",0,"2017-07-01","2017-07-31",31,2017,7,2845955,1788,0,"TBC"
"Albania","Albania",0,"2017-08-01","2017-08-31",31,2017,8,2845955,1833,0,"TBC"
"Albania","Albania",0,"2017-09-01","2017-09-30",30,2017,9,2845955,1482,0,"TBC"
"Albania","Albania",0,"2017-10-01","2017-10-31",31,2017,10,2845955,1679,0,"TBC"
"Albania","Albania",0,"2017-11-01","2017-11-30",30,2017,11,2845955,1716,0,"TBC"
"Albania","Albania",0,"2017-12-01","2017-12-31",31,2017,12,2845955,2013,0,"TBC"
"Albania","Albania",0,"2018-01-01","2018-01-31",31,2018,1,2845955,2158,0,"TBC"
"Albania","Albania",0,"2018-02-01","2018-02-28",28,2018,2,2845955,2013,0,"TBC"
"Albania","Albania",0,"2018-03-01","2018-03-31",31,2018,3,2845955,2136,0,"TBC"
"Albania","Albania",0,"2018-04-01","2018-04-30",30,2018,4,2845955,1828,0,"TBC"
"Albania","Albania",0,"2018-05-01","2018-05-31",31,2018,5,2845955,1664,0,"TBC"
"Albania","Albania",0,"2018-06-01","2018-06-30",30,2018,6,2845955,1576,0,"TBC"
"Albania","Albania",0,"2018-07-01","2018-07-31",31,2018,7,2845955,1641,0,"TBC"
"Albania","Albania",0,"2018-08-01","2018-08-31",31,2018,8,2845955,1709,0,"TBC"
"Albania","Albania",0,"2018-09-01","2018-09-30",30,2018,9,2845955,1621,0,"TBC"
"Albania","Albania",0,"2018-10-01","2018-10-31",31,2018,10,2845955,1668,0,"TBC"
