"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Andorra","Andorra",0,"2015-01-01","2015-01-31",31,2015,1,79034,22,0,"TBC"
"Andorra","Andorra",0,"2015-02-01","2015-02-28",28,2015,2,79034,25,0,"TBC"
"Andorra","Andorra",0,"2015-03-01","2015-03-31",31,2015,3,79034,29,0,"TBC"
"Andorra","Andorra",0,"2015-04-01","2015-04-30",30,2015,4,79034,26,0,"TBC"
"Andorra","Andorra",0,"2015-05-01","2015-05-31",31,2015,5,79034,26,0,"TBC"
"Andorra","Andorra",0,"2015-06-01","2015-06-30",30,2015,6,79034,16,0,"TBC"
"Andorra","Andorra",0,"2015-07-01","2015-07-31",31,2015,7,79034,27,0,"TBC"
"Andorra","Andorra",0,"2015-08-01","2015-08-31",31,2015,8,79034,18,0,"TBC"
"Andorra","Andorra",0,"2015-09-01","2015-09-30",30,2015,9,79034,25,0,"TBC"
"Andorra","Andorra",0,"2015-10-01","2015-10-31",31,2015,10,79034,25,0,"TBC"
"Andorra","Andorra",0,"2015-11-01","2015-11-30",30,2015,11,79034,16,0,"TBC"
"Andorra","Andorra",0,"2015-12-01","2015-12-31",31,2015,12,79034,27,0,"TBC"
"Andorra","Andorra",0,"2016-01-01","2016-01-31",31,2016,1,79034,27,0,"TBC"
"Andorra","Andorra",0,"2016-02-01","2016-02-29",29,2016,2,79034,21,0,"TBC"
"Andorra","Andorra",0,"2016-03-01","2016-03-31",31,2016,3,79034,31,0,"TBC"
"Andorra","Andorra",0,"2016-04-01","2016-04-30",30,2016,4,79034,19,0,"TBC"
"Andorra","Andorra",0,"2016-05-01","2016-05-31",31,2016,5,79034,22,0,"TBC"
"Andorra","Andorra",0,"2016-06-01","2016-06-30",30,2016,6,79034,25,0,"TBC"
"Andorra","Andorra",0,"2016-07-01","2016-07-31",31,2016,7,79034,32,0,"TBC"
"Andorra","Andorra",0,"2016-08-01","2016-08-31",31,2016,8,79034,34,0,"TBC"
"Andorra","Andorra",0,"2016-09-01","2016-09-30",30,2016,9,79034,16,0,"TBC"
"Andorra","Andorra",0,"2016-10-01","2016-10-31",31,2016,10,79034,24,0,"TBC"
"Andorra","Andorra",0,"2016-11-01","2016-11-30",30,2016,11,79034,24,0,"TBC"
"Andorra","Andorra",0,"2016-12-01","2016-12-31",31,2016,12,79034,35,0,"TBC"
"Andorra","Andorra",0,"2017-01-01","2017-01-31",31,2017,1,79034,49,0,"TBC"
"Andorra","Andorra",0,"2017-02-01","2017-02-28",28,2017,2,79034,29,0,"TBC"
"Andorra","Andorra",0,"2017-03-01","2017-03-31",31,2017,3,79034,39,0,"TBC"
"Andorra","Andorra",0,"2017-04-01","2017-04-30",30,2017,4,79034,22,0,"TBC"
"Andorra","Andorra",0,"2017-05-01","2017-05-31",31,2017,5,79034,17,0,"TBC"
"Andorra","Andorra",0,"2017-06-01","2017-06-30",30,2017,6,79034,26,0,"TBC"
"Andorra","Andorra",0,"2017-07-01","2017-07-31",31,2017,7,79034,17,0,"TBC"
"Andorra","Andorra",0,"2017-08-01","2017-08-31",31,2017,8,79034,18,0,"TBC"
"Andorra","Andorra",0,"2017-09-01","2017-09-30",30,2017,9,79034,23,0,"TBC"
"Andorra","Andorra",0,"2017-10-01","2017-10-31",31,2017,10,79034,24,0,"TBC"
"Andorra","Andorra",0,"2017-11-01","2017-11-30",30,2017,11,79034,29,0,"TBC"
"Andorra","Andorra",0,"2017-12-01","2017-12-31",31,2017,12,79034,30,0,"TBC"
"Andorra","Andorra",0,"2018-01-01","2018-01-31",31,2018,1,79034,38,0,"TBC"
"Andorra","Andorra",0,"2018-02-01","2018-02-28",28,2018,2,79034,28,0,"TBC"
"Andorra","Andorra",0,"2018-03-01","2018-03-31",31,2018,3,79034,36,0,"TBC"
"Andorra","Andorra",0,"2018-04-01","2018-04-30",30,2018,4,79034,21,0,"TBC"
