"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Armenia","Armenia",0,"2014-12-29","2015-01-04",7,2015,1,2956900,249,0,"TBC"
"Armenia","Armenia",0,"2015-01-05","2015-01-11",7,2015,2,2956900,185,0,"TBC"
"Armenia","Armenia",0,"2015-01-12","2015-01-18",7,2015,3,2956900,1094,0,"TBC"
"Armenia","Armenia",0,"2015-01-19","2015-01-25",7,2015,4,2956900,661,0,"TBC"
"Armenia","Armenia",0,"2015-01-26","2015-02-01",7,2015,5,2956900,560,0,"TBC"
"Armenia","Armenia",0,"2015-02-02","2015-02-08",7,2015,6,2956900,615,0,"TBC"
"Armenia","Armenia",0,"2015-02-09","2015-02-15",7,2015,7,2956900,511,0,"TBC"
"Armenia","Armenia",0,"2015-02-16","2015-02-22",7,2015,8,2956900,616,0,"TBC"
"Armenia","Armenia",0,"2015-02-23","2015-03-01",7,2015,9,2956900,628,0,"TBC"
"Armenia","Armenia",0,"2015-03-02","2015-03-08",7,2015,10,2956900,578,0,"TBC"
"Armenia","Armenia",0,"2015-03-09","2015-03-15",7,2015,11,2956900,603,0,"TBC"
"Armenia","Armenia",0,"2015-03-16","2015-03-22",7,2015,12,2956900,618,0,"TBC"
"Armenia","Armenia",0,"2015-03-23","2015-03-29",7,2015,13,2956900,683,0,"TBC"
"Armenia","Armenia",0,"2015-03-30","2015-04-05",7,2015,14,2956900,576,0,"TBC"
"Armenia","Armenia",0,"2015-04-06","2015-04-12",7,2015,15,2956900,585,0,"TBC"
"Armenia","Armenia",0,"2015-04-13","2015-04-19",7,2015,16,2956900,598,0,"TBC"
"Armenia","Armenia",0,"2015-04-20","2015-04-26",7,2015,17,2956900,407,0,"TBC"
"Armenia","Armenia",0,"2015-04-27","2015-05-03",7,2015,18,2956900,593,0,"TBC"
"Armenia","Armenia",0,"2015-05-04","2015-05-10",7,2015,19,2956900,566,0,"TBC"
"Armenia","Armenia",0,"2015-05-11","2015-05-17",7,2015,20,2956900,598,0,"TBC"
"Armenia","Armenia",0,"2015-05-18","2015-05-24",7,2015,21,2956900,502,0,"TBC"
"Armenia","Armenia",0,"2015-05-25","2015-05-31",7,2015,22,2956900,469,0,"TBC"
"Armenia","Armenia",0,"2015-06-01","2015-06-07",7,2015,23,2956900,558,0,"TBC"
"Armenia","Armenia",0,"2015-06-08","2015-06-14",7,2015,24,2956900,517,0,"TBC"
"Armenia","Armenia",0,"2015-06-15","2015-06-21",7,2015,25,2956900,523,0,"TBC"
"Armenia","Armenia",0,"2015-06-22","2015-06-28",7,2015,26,2956900,504,0,"TBC"
"Armenia","Armenia",0,"2015-06-29","2015-07-05",7,2015,27,2956900,468,0,"TBC"
"Armenia","Armenia",0,"2015-07-06","2015-07-12",7,2015,28,2956900,498,0,"TBC"
"Armenia","Armenia",0,"2015-07-13","2015-07-19",7,2015,29,2956900,544,0,"TBC"
"Armenia","Armenia",0,"2015-07-20","2015-07-26",7,2015,30,2956900,416,0,"TBC"
"Armenia","Armenia",0,"2015-07-27","2015-08-02",7,2015,31,2956900,474,0,"TBC"
"Armenia","Armenia",0,"2015-08-03","2015-08-09",7,2015,32,2956900,479,0,"TBC"
"Armenia","Armenia",0,"2015-08-10","2015-08-16",7,2015,33,2956900,529,0,"TBC"
"Armenia","Armenia",0,"2015-08-17","2015-08-23",7,2015,34,2956900,513,0,"TBC"
"Armenia","Armenia",0,"2015-08-24","2015-08-30",7,2015,35,2956900,489,0,"TBC"
"Armenia","Armenia",0,"2015-08-31","2015-09-06",7,2015,36,2956900,400,0,"TBC"
"Armenia","Armenia",0,"2015-09-07","2015-09-13",7,2015,37,2956900,441,0,"TBC"
"Armenia","Armenia",0,"2015-09-14","2015-09-20",7,2015,38,2956900,484,0,"TBC"
"Armenia","Armenia",0,"2015-09-21","2015-09-27",7,2015,39,2956900,441,0,"TBC"
"Armenia","Armenia",0,"2015-09-28","2015-10-04",7,2015,40,2956900,448,0,"TBC"
"Armenia","Armenia",0,"2015-10-05","2015-10-11",7,2015,41,2956900,444,0,"TBC"
"Armenia","Armenia",0,"2015-10-12","2015-10-18",7,2015,42,2956900,451,0,"TBC"
"Armenia","Armenia",0,"2015-10-19","2015-10-25",7,2015,43,2956900,539,0,"TBC"
"Armenia","Armenia",0,"2015-10-26","2015-11-01",7,2015,44,2956900,511,0,"TBC"
"Armenia","Armenia",0,"2015-11-02","2015-11-08",7,2015,45,2956900,505,0,"TBC"
"Armenia","Armenia",0,"2015-11-09","2015-11-15",7,2015,46,2956900,548,0,"TBC"
"Armenia","Armenia",0,"2015-11-16","2015-11-22",7,2015,47,2956900,559,0,"TBC"
"Armenia","Armenia",0,"2015-11-23","2015-11-29",7,2015,48,2956900,597,0,"TBC"
"Armenia","Armenia",0,"2015-11-30","2015-12-06",7,2015,49,2956900,492,0,"TBC"
"Armenia","Armenia",0,"2015-12-07","2015-12-13",7,2015,50,2956900,608,0,"TBC"
"Armenia","Armenia",0,"2015-12-14","2015-12-20",7,2015,51,2956900,567,0,"TBC"
"Armenia","Armenia",0,"2015-12-21","2015-12-27",7,2015,52,2956900,643,0,"TBC"
"Armenia","Armenia",0,"2015-12-28","2016-01-03",7,2015,53,2956900,390,0,"TBC"
"Armenia","Armenia",0,"2016-01-04","2016-01-10",7,2016,1,2956900,340,0,"TBC"
"Armenia","Armenia",0,"2016-01-11","2016-01-17",7,2016,2,2956900,981,0,"TBC"
"Armenia","Armenia",0,"2016-01-18","2016-01-24",7,2016,3,2956900,771,0,"TBC"
"Armenia","Armenia",0,"2016-01-25","2016-01-31",7,2016,4,2956900,564,0,"TBC"
"Armenia","Armenia",0,"2016-02-01","2016-02-07",7,2016,5,2956900,663,0,"TBC"
"Armenia","Armenia",0,"2016-02-08","2016-02-14",7,2016,6,2956900,637,0,"TBC"
"Armenia","Armenia",0,"2016-02-15","2016-02-21",7,2016,7,2956900,584,0,"TBC"
"Armenia","Armenia",0,"2016-02-22","2016-02-28",7,2016,8,2956900,556,0,"TBC"
"Armenia","Armenia",0,"2016-02-29","2016-03-06",7,2016,9,2956900,464,0,"TBC"
"Armenia","Armenia",0,"2016-03-07","2016-03-13",7,2016,10,2956900,511,0,"TBC"
"Armenia","Armenia",0,"2016-03-14","2016-03-20",7,2016,11,2956900,530,0,"TBC"
"Armenia","Armenia",0,"2016-03-21","2016-03-27",7,2016,12,2956900,548,0,"TBC"
"Armenia","Armenia",0,"2016-03-28","2016-04-03",7,2016,13,2956900,531,0,"TBC"
"Armenia","Armenia",0,"2016-04-04","2016-04-10",7,2016,14,2956900,518,0,"TBC"
"Armenia","Armenia",0,"2016-04-11","2016-04-17",7,2016,15,2956900,559,0,"TBC"
"Armenia","Armenia",0,"2016-04-18","2016-04-24",7,2016,16,2956900,526,0,"TBC"
"Armenia","Armenia",0,"2016-04-25","2016-05-01",7,2016,17,2956900,523,0,"TBC"
"Armenia","Armenia",0,"2016-05-02","2016-05-08",7,2016,18,2956900,502,0,"TBC"
"Armenia","Armenia",0,"2016-05-09","2016-05-15",7,2016,19,2956900,485,0,"TBC"
"Armenia","Armenia",0,"2016-05-16","2016-05-22",7,2016,20,2956900,510,0,"TBC"
"Armenia","Armenia",0,"2016-05-23","2016-05-29",7,2016,21,2956900,505,0,"TBC"
"Armenia","Armenia",0,"2016-05-30","2016-06-05",7,2016,22,2956900,536,0,"TBC"
"Armenia","Armenia",0,"2016-06-06","2016-06-12",7,2016,23,2956900,515,0,"TBC"
"Armenia","Armenia",0,"2016-06-13","2016-06-19",7,2016,24,2956900,470,0,"TBC"
"Armenia","Armenia",0,"2016-06-20","2016-06-26",7,2016,25,2956900,504,0,"TBC"
"Armenia","Armenia",0,"2016-06-27","2016-07-03",7,2016,26,2956900,501,0,"TBC"
"Armenia","Armenia",0,"2016-07-04","2016-07-10",7,2016,27,2956900,484,0,"TBC"
"Armenia","Armenia",0,"2016-07-11","2016-07-17",7,2016,28,2956900,465,0,"TBC"
"Armenia","Armenia",0,"2016-07-18","2016-07-24",7,2016,29,2956900,534,0,"TBC"
"Armenia","Armenia",0,"2016-07-25","2016-07-31",7,2016,30,2956900,496,0,"TBC"
"Armenia","Armenia",0,"2016-08-01","2016-08-07",7,2016,31,2956900,433,0,"TBC"
"Armenia","Armenia",0,"2016-08-08","2016-08-14",7,2016,32,2956900,473,0,"TBC"
"Armenia","Armenia",0,"2016-08-15","2016-08-21",7,2016,33,2956900,495,0,"TBC"
"Armenia","Armenia",0,"2016-08-22","2016-08-28",7,2016,34,2956900,439,0,"TBC"
"Armenia","Armenia",0,"2016-08-29","2016-09-04",7,2016,35,2956900,454,0,"TBC"
"Armenia","Armenia",0,"2016-09-05","2016-09-11",7,2016,36,2956900,441,0,"TBC"
"Armenia","Armenia",0,"2016-09-12","2016-09-18",7,2016,37,2956900,435,0,"TBC"
"Armenia","Armenia",0,"2016-09-19","2016-09-25",7,2016,38,2956900,460,0,"TBC"
"Armenia","Armenia",0,"2016-09-26","2016-10-02",7,2016,39,2956900,417,0,"TBC"
"Armenia","Armenia",0,"2016-10-03","2016-10-09",7,2016,40,2956900,524,0,"TBC"
"Armenia","Armenia",0,"2016-10-10","2016-10-16",7,2016,41,2956900,490,0,"TBC"
"Armenia","Armenia",0,"2016-10-17","2016-10-23",7,2016,42,2956900,546,0,"TBC"
"Armenia","Armenia",0,"2016-10-24","2016-10-30",7,2016,43,2956900,516,0,"TBC"
"Armenia","Armenia",0,"2016-10-31","2016-11-06",7,2016,44,2956900,510,0,"TBC"
"Armenia","Armenia",0,"2016-11-07","2016-11-13",7,2016,45,2956900,542,0,"TBC"
"Armenia","Armenia",0,"2016-11-14","2016-11-20",7,2016,46,2956900,585,0,"TBC"
"Armenia","Armenia",0,"2016-11-21","2016-11-27",7,2016,47,2956900,598,0,"TBC"
"Armenia","Armenia",0,"2016-11-28","2016-12-04",7,2016,48,2956900,597,0,"TBC"
"Armenia","Armenia",0,"2016-12-05","2016-12-11",7,2016,49,2956900,678,0,"TBC"
"Armenia","Armenia",0,"2016-12-12","2016-12-18",7,2016,50,2956900,690,0,"TBC"
"Armenia","Armenia",0,"2016-12-19","2016-12-25",7,2016,51,2956900,784,0,"TBC"
"Armenia","Armenia",0,"2016-12-26","2017-01-01",7,2016,52,2956900,613,0,"TBC"
"Armenia","Armenia",0,"2017-01-02","2017-01-08",7,2017,1,2956900,215,0,"TBC"
"Armenia","Armenia",0,"2017-01-09","2017-01-15",7,2017,2,2956900,1114,0,"TBC"
"Armenia","Armenia",0,"2017-01-16","2017-01-22",7,2017,3,2956900,736,0,"TBC"
"Armenia","Armenia",0,"2017-01-23","2017-01-29",7,2017,4,2956900,664,0,"TBC"
"Armenia","Armenia",0,"2017-01-30","2017-02-05",7,2017,5,2956900,618,0,"TBC"
"Armenia","Armenia",0,"2017-02-06","2017-02-12",7,2017,6,2956900,619,0,"TBC"
"Armenia","Armenia",0,"2017-02-13","2017-02-19",7,2017,7,2956900,598,0,"TBC"
"Armenia","Armenia",0,"2017-02-20","2017-02-26",7,2017,8,2956900,638,0,"TBC"
"Armenia","Armenia",0,"2017-02-27","2017-03-05",7,2017,9,2956900,583,0,"TBC"
"Armenia","Armenia",0,"2017-03-06","2017-03-12",7,2017,10,2956900,549,0,"TBC"
"Armenia","Armenia",0,"2017-03-13","2017-03-19",7,2017,11,2956900,619,0,"TBC"
"Armenia","Armenia",0,"2017-03-20","2017-03-26",7,2017,12,2956900,588,0,"TBC"
"Armenia","Armenia",0,"2017-03-27","2017-04-02",7,2017,13,2956900,529,0,"TBC"
"Armenia","Armenia",0,"2017-04-03","2017-04-09",7,2017,14,2956900,570,0,"TBC"
"Armenia","Armenia",0,"2017-04-10","2017-04-16",7,2017,15,2956900,583,0,"TBC"
"Armenia","Armenia",0,"2017-04-17","2017-04-23",7,2017,16,2956900,545,0,"TBC"
"Armenia","Armenia",0,"2017-04-24","2017-04-30",7,2017,17,2956900,515,0,"TBC"
"Armenia","Armenia",0,"2017-05-01","2017-05-07",7,2017,18,2956900,574,0,"TBC"
"Armenia","Armenia",0,"2017-05-08","2017-05-14",7,2017,19,2956900,434,0,"TBC"
"Armenia","Armenia",0,"2017-05-15","2017-05-21",7,2017,20,2956900,562,0,"TBC"
"Armenia","Armenia",0,"2017-05-22","2017-05-28",7,2017,21,2956900,464,0,"TBC"
"Armenia","Armenia",0,"2017-05-29","2017-06-04",7,2017,22,2956900,478,0,"TBC"
"Armenia","Armenia",0,"2017-06-05","2017-06-11",7,2017,23,2956900,505,0,"TBC"
"Armenia","Armenia",0,"2017-06-12","2017-06-18",7,2017,24,2956900,491,0,"TBC"
"Armenia","Armenia",0,"2017-06-19","2017-06-25",7,2017,25,2956900,474,0,"TBC"
"Armenia","Armenia",0,"2017-06-26","2017-07-02",7,2017,26,2956900,476,0,"TBC"
"Armenia","Armenia",0,"2017-07-03","2017-07-09",7,2017,27,2956900,455,0,"TBC"
