"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Austria","Austria",0,"2014-12-29","2015-01-04",7,2015,1,8902600,1704,0,"TBC"
"Austria","Austria",0,"2015-01-05","2015-01-11",7,2015,2,8902600,1768,0,"TBC"
"Austria","Austria",0,"2015-01-12","2015-01-18",7,2015,3,8902600,1837,0,"TBC"
"Austria","Austria",0,"2015-01-19","2015-01-25",7,2015,4,8902600,1792,0,"TBC"
"Austria","Austria",0,"2015-01-26","2015-02-01",7,2015,5,8902600,1837,0,"TBC"
"Austria","Austria",0,"2015-02-02","2015-02-08",7,2015,6,8902600,1926,0,"TBC"
"Austria","Austria",0,"2015-02-09","2015-02-15",7,2015,7,8902600,1992,0,"TBC"
"Austria","Austria",0,"2015-02-16","2015-02-22",7,2015,8,8902600,2020,0,"TBC"
"Austria","Austria",0,"2015-02-23","2015-03-01",7,2015,9,8902600,1883,0,"TBC"
"Austria","Austria",0,"2015-03-02","2015-03-08",7,2015,10,8902600,1846,0,"TBC"
"Austria","Austria",0,"2015-03-09","2015-03-15",7,2015,11,8902600,1763,0,"TBC"
"Austria","Austria",0,"2015-03-16","2015-03-22",7,2015,12,8902600,1696,0,"TBC"
"Austria","Austria",0,"2015-03-23","2015-03-29",7,2015,13,8902600,1725,0,"TBC"
"Austria","Austria",0,"2015-03-30","2015-04-05",7,2015,14,8902600,1604,0,"TBC"
"Austria","Austria",0,"2015-04-06","2015-04-12",7,2015,15,8902600,1563,0,"TBC"
"Austria","Austria",0,"2015-04-13","2015-04-19",7,2015,16,8902600,1614,0,"TBC"
"Austria","Austria",0,"2015-04-20","2015-04-26",7,2015,17,8902600,1547,0,"TBC"
"Austria","Austria",0,"2015-04-27","2015-05-03",7,2015,18,8902600,1453,0,"TBC"
"Austria","Austria",0,"2015-05-04","2015-05-10",7,2015,19,8902600,1452,0,"TBC"
"Austria","Austria",0,"2015-05-11","2015-05-17",7,2015,20,8902600,1461,0,"TBC"
"Austria","Austria",0,"2015-05-18","2015-05-24",7,2015,21,8902600,1396,0,"TBC"
"Austria","Austria",0,"2015-05-25","2015-05-31",7,2015,22,8902600,1304,0,"TBC"
"Austria","Austria",0,"2015-06-01","2015-06-07",7,2015,23,8902600,1437,0,"TBC"
"Austria","Austria",0,"2015-06-08","2015-06-14",7,2015,24,8902600,1502,0,"TBC"
"Austria","Austria",0,"2015-06-15","2015-06-21",7,2015,25,8902600,1285,0,"TBC"
"Austria","Austria",0,"2015-06-22","2015-06-28",7,2015,26,8902600,1374,0,"TBC"
"Austria","Austria",0,"2015-06-29","2015-07-05",7,2015,27,8902600,1487,0,"TBC"
"Austria","Austria",0,"2015-07-06","2015-07-12",7,2015,28,8902600,1476,0,"TBC"
"Austria","Austria",0,"2015-07-13","2015-07-19",7,2015,29,8902600,1475,0,"TBC"
"Austria","Austria",0,"2015-07-20","2015-07-26",7,2015,30,8902600,1633,0,"TBC"
"Austria","Austria",0,"2015-07-27","2015-08-02",7,2015,31,8902600,1446,0,"TBC"
"Austria","Austria",0,"2015-08-03","2015-08-09",7,2015,32,8902600,1500,0,"TBC"
"Austria","Austria",0,"2015-08-10","2015-08-16",7,2015,33,8902600,1692,0,"TBC"
"Austria","Austria",0,"2015-08-17","2015-08-23",7,2015,34,8902600,1376,0,"TBC"
"Austria","Austria",0,"2015-08-24","2015-08-30",7,2015,35,8902600,1476,0,"TBC"
"Austria","Austria",0,"2015-08-31","2015-09-06",7,2015,36,8902600,1389,0,"TBC"
"Austria","Austria",0,"2015-09-07","2015-09-13",7,2015,37,8902600,1447,0,"TBC"
"Austria","Austria",0,"2015-09-14","2015-09-20",7,2015,38,8902600,1459,0,"TBC"
"Austria","Austria",0,"2015-09-21","2015-09-27",7,2015,39,8902600,1410,0,"TBC"
"Austria","Austria",0,"2015-09-28","2015-10-04",7,2015,40,8902600,1494,0,"TBC"
"Austria","Austria",0,"2015-10-05","2015-10-11",7,2015,41,8902600,1409,0,"TBC"
"Austria","Austria",0,"2015-10-12","2015-10-18",7,2015,42,8902600,1481,0,"TBC"
"Austria","Austria",0,"2015-10-19","2015-10-25",7,2015,43,8902600,1498,0,"TBC"
"Austria","Austria",0,"2015-10-26","2015-11-01",7,2015,44,8902600,1433,0,"TBC"
"Austria","Austria",0,"2015-11-02","2015-11-08",7,2015,45,8902600,1460,0,"TBC"
"Austria","Austria",0,"2015-11-09","2015-11-15",7,2015,46,8902600,1527,0,"TBC"
"Austria","Austria",0,"2015-11-16","2015-11-22",7,2015,47,8902600,1486,0,"TBC"
"Austria","Austria",0,"2015-11-23","2015-11-29",7,2015,48,8902600,1488,0,"TBC"
"Austria","Austria",0,"2015-11-30","2015-12-06",7,2015,49,8902600,1509,0,"TBC"
"Austria","Austria",0,"2015-12-07","2015-12-13",7,2015,50,8902600,1517,0,"TBC"
"Austria","Austria",0,"2015-12-14","2015-12-20",7,2015,51,8902600,1538,0,"TBC"
"Austria","Austria",0,"2015-12-21","2015-12-27",7,2015,52,8902600,1545,0,"TBC"
"Austria","Austria",0,"2015-12-28","2016-01-03",7,2015,53,8902600,1537,0,"TBC"
"Austria","Austria",0,"2016-01-04","2016-01-10",7,2016,1,8902600,1634,0,"TBC"
"Austria","Austria",0,"2016-01-11","2016-01-17",7,2016,2,8902600,1626,0,"TBC"
