"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Britain","Britain",0,"2014-12-29","2015-01-04",7,2015,1,67281040,12559,0,"TBC"
"Britain","Britain",0,"2015-01-05","2015-01-11",7,2015,2,67281040,18317,0,"TBC"
"Britain","Britain",0,"2015-01-12","2015-01-18",7,2015,3,67281040,16735,0,"TBC"
"Britain","Britain",0,"2015-01-19","2015-01-25",7,2015,4,67281040,15710,0,"TBC"
"Britain","Britain",0,"2015-01-26","2015-02-01",7,2015,5,67281040,14559,0,"TBC"
"Britain","Britain",0,"2015-02-02","2015-02-08",7,2015,6,67281040,13728,0,"TBC"
"Britain","Britain",0,"2015-02-09","2015-02-15",7,2015,7,67281040,13510,0,"TBC"
"Britain","Britain",0,"2015-02-16","2015-02-22",7,2015,8,67281040,13069,0,"TBC"
"Britain","Britain",0,"2015-02-23","2015-03-01",7,2015,9,67281040,13179,0,"TBC"
"Britain","Britain",0,"2015-03-02","2015-03-08",7,2015,10,67281040,13003,0,"TBC"
"Britain","Britain",0,"2015-03-09","2015-03-15",7,2015,11,67281040,12472,0,"TBC"
"Britain","Britain",0,"2015-03-16","2015-03-22",7,2015,12,67281040,12026,0,"TBC"
"Britain","Britain",0,"2015-03-23","2015-03-29",7,2015,13,67281040,11985,0,"TBC"
"Britain","Britain",0,"2015-03-30","2015-04-05",7,2015,14,67281040,10321,0,"TBC"
"Britain","Britain",0,"2015-04-06","2015-04-12",7,2015,15,67281040,11572,0,"TBC"
"Britain","Britain",0,"2015-04-13","2015-04-19",7,2015,16,67281040,13058,0,"TBC"
"Britain","Britain",0,"2015-04-20","2015-04-26",7,2015,17,67281040,12020,0,"TBC"
"Britain","Britain",0,"2015-04-27","2015-05-03",7,2015,18,67281040,11559,0,"TBC"
"Britain","Britain",0,"2015-05-04","2015-05-10",7,2015,19,67281040,10137,0,"TBC"
"Britain","Britain",0,"2015-05-11","2015-05-17",7,2015,20,67281040,11692,0,"TBC"
"Britain","Britain",0,"2015-05-18","2015-05-24",7,2015,21,67281040,11323,0,"TBC"
"Britain","Britain",0,"2015-05-25","2015-05-31",7,2015,22,67281040,9513,0,"TBC"
"Britain","Britain",0,"2015-06-01","2015-06-07",7,2015,23,67281040,11590,0,"TBC"
"Britain","Britain",0,"2015-06-08","2015-06-14",7,2015,24,67281040,10856,0,"TBC"
"Britain","Britain",0,"2015-06-15","2015-06-21",7,2015,25,67281040,10625,0,"TBC"
