"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Chile","Tarapacá","CL-TA","2015-01-01","2015-01-07",2015,1,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-01-08","2015-01-14",2015,2,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-01-15","2015-01-21",2015,3,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-01-22","2015-01-28",2015,4,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-01-29","2015-02-04",2015,5,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-02-05","2015-02-11",2015,6,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-02-12","2015-02-18",2015,7,330558,34,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-02-19","2015-02-25",2015,8,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-02-26","2015-03-04",2015,9,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-03-05","2015-03-11",2015,10,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-03-12","2015-03-18",2015,11,330558,36,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-03-19","2015-03-25",2015,12,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-03-26","2015-04-01",2015,13,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-04-02","2015-04-08",2015,14,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-04-09","2015-04-15",2015,15,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-04-16","2015-04-22",2015,16,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-04-23","2015-04-29",2015,17,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-04-30","2015-05-06",2015,18,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-05-07","2015-05-13",2015,19,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-05-14","2015-05-20",2015,20,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-05-21","2015-05-27",2015,21,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-05-28","2015-06-03",2015,22,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-06-04","2015-06-10",2015,23,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-06-11","2015-06-17",2015,24,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-06-18","2015-06-24",2015,25,330558,18,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-06-25","2015-07-01",2015,26,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-07-02","2015-07-08",2015,27,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-07-09","2015-07-15",2015,28,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-07-16","2015-07-22",2015,29,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-07-23","2015-07-29",2015,30,330558,36,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-07-30","2015-08-05",2015,31,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-08-06","2015-08-12",2015,32,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-08-13","2015-08-19",2015,33,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-08-20","2015-08-26",2015,34,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-08-27","2015-09-02",2015,35,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-09-03","2015-09-09",2015,36,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-09-10","2015-09-16",2015,37,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-09-17","2015-09-23",2015,38,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-09-24","2015-09-30",2015,39,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-10-01","2015-10-07",2015,40,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-10-08","2015-10-14",2015,41,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-10-15","2015-10-21",2015,42,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-10-22","2015-10-28",2015,43,330558,16,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-10-29","2015-11-04",2015,44,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-11-05","2015-11-11",2015,45,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-11-12","2015-11-18",2015,46,330558,34,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-11-19","2015-11-25",2015,47,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-11-26","2015-12-02",2015,48,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-12-03","2015-12-09",2015,49,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-12-10","2015-12-16",2015,50,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-12-17","2015-12-23",2015,51,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2015-12-24","2015-12-30",2015,52,330558,44,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-01-01","2016-01-07",2016,1,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-01-08","2016-01-14",2016,2,330558,37,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-01-15","2016-01-21",2016,3,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-01-22","2016-01-28",2016,4,330558,17,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-01-29","2016-02-04",2016,5,330558,36,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-02-05","2016-02-11",2016,6,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-02-12","2016-02-18",2016,7,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-02-19","2016-02-25",2016,8,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-02-26","2016-03-03",2016,9,330558,18,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-03-04","2016-03-10",2016,10,330558,22,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-03-11","2016-03-17",2016,11,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-03-18","2016-03-24",2016,12,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-03-25","2016-03-31",2016,13,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-04-01","2016-04-07",2016,14,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-04-08","2016-04-14",2016,15,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-04-15","2016-04-21",2016,16,330558,22,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-04-22","2016-04-28",2016,17,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-04-29","2016-05-05",2016,18,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-05-06","2016-05-12",2016,19,330558,31,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-05-13","2016-05-19",2016,20,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-05-20","2016-05-26",2016,21,330558,34,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-05-27","2016-06-02",2016,22,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-06-03","2016-06-09",2016,23,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-06-10","2016-06-16",2016,24,330558,31,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-06-17","2016-06-23",2016,25,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-06-24","2016-06-30",2016,26,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-07-01","2016-07-07",2016,27,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-07-08","2016-07-14",2016,28,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-07-15","2016-07-21",2016,29,330558,35,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-07-22","2016-07-28",2016,30,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-07-29","2016-08-04",2016,31,330558,22,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-08-05","2016-08-11",2016,32,330558,18,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-08-12","2016-08-18",2016,33,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-08-19","2016-08-25",2016,34,330558,35,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-08-26","2016-09-01",2016,35,330558,31,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-09-02","2016-09-08",2016,36,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-09-09","2016-09-15",2016,37,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-09-16","2016-09-22",2016,38,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-09-23","2016-09-29",2016,39,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-09-30","2016-10-06",2016,40,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-10-07","2016-10-13",2016,41,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-10-14","2016-10-20",2016,42,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-10-21","2016-10-27",2016,43,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-10-28","2016-11-03",2016,44,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-11-04","2016-11-10",2016,45,330558,35,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-11-11","2016-11-17",2016,46,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-11-18","2016-11-24",2016,47,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-11-25","2016-12-01",2016,48,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-12-02","2016-12-08",2016,49,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-12-09","2016-12-15",2016,50,330558,34,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-12-16","2016-12-22",2016,51,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2016-12-23","2016-12-29",2016,52,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-01-01","2017-01-07",2017,1,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-01-08","2017-01-14",2017,2,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-01-15","2017-01-21",2017,3,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-01-22","2017-01-28",2017,4,330558,17,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-01-29","2017-02-04",2017,5,330558,33,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-02-05","2017-02-11",2017,6,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-02-12","2017-02-18",2017,7,330558,33,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-02-19","2017-02-25",2017,8,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-02-26","2017-03-04",2017,9,330558,31,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-03-05","2017-03-11",2017,10,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-03-12","2017-03-18",2017,11,330558,22,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-03-19","2017-03-25",2017,12,330558,22,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-03-26","2017-04-01",2017,13,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-04-02","2017-04-08",2017,14,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-04-09","2017-04-15",2017,15,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-04-16","2017-04-22",2017,16,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-04-23","2017-04-29",2017,17,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-04-30","2017-05-06",2017,18,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-05-07","2017-05-13",2017,19,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-05-14","2017-05-20",2017,20,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-05-21","2017-05-27",2017,21,330558,36,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-05-28","2017-06-03",2017,22,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-06-04","2017-06-10",2017,23,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-06-11","2017-06-17",2017,24,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-06-18","2017-06-24",2017,25,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-06-25","2017-07-01",2017,26,330558,22,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-07-02","2017-07-08",2017,27,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-07-09","2017-07-15",2017,28,330558,36,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-07-16","2017-07-22",2017,29,330558,36,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-07-23","2017-07-29",2017,30,330558,34,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-07-30","2017-08-05",2017,31,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-08-06","2017-08-12",2017,32,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-08-13","2017-08-19",2017,33,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-08-20","2017-08-26",2017,34,330558,18,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-08-27","2017-09-02",2017,35,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-09-03","2017-09-09",2017,36,330558,40,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-09-10","2017-09-16",2017,37,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-09-17","2017-09-23",2017,38,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-09-24","2017-09-30",2017,39,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-10-01","2017-10-07",2017,40,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-10-08","2017-10-14",2017,41,330558,20,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-10-15","2017-10-21",2017,42,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-10-22","2017-10-28",2017,43,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-10-29","2017-11-04",2017,44,330558,34,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-11-05","2017-11-11",2017,45,330558,27,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-11-12","2017-11-18",2017,46,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-11-19","2017-11-25",2017,47,330558,32,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-11-26","2017-12-02",2017,48,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-12-03","2017-12-09",2017,49,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-12-10","2017-12-16",2017,50,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-12-17","2017-12-23",2017,51,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2017-12-24","2017-12-30",2017,52,330558,23,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-01-01","2018-01-07",2018,1,330558,29,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-01-08","2018-01-14",2018,2,330558,26,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-01-15","2018-01-21",2018,3,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-01-22","2018-01-28",2018,4,330558,28,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-01-29","2018-02-04",2018,5,330558,30,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-02-05","2018-02-11",2018,6,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-02-12","2018-02-18",2018,7,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-02-19","2018-02-25",2018,8,330558,35,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-02-26","2018-03-04",2018,9,330558,17,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-03-05","2018-03-11",2018,10,330558,25,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-03-12","2018-03-18",2018,11,330558,21,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-03-19","2018-03-25",2018,12,330558,19,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-03-26","2018-04-01",2018,13,330558,24,0,"TBC"
"Chile","Tarapacá","CL-TA","2018-04-02","2018-04-08",2018,14,330558,33,0,"TBC"
