"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Colombia","Colombia",0,"2014-12-29","2015-01-04",7,2015,1,51265841,4725,0,"TBC"
"Colombia","Colombia",0,"2015-01-05","2015-01-11",7,2015,2,51265841,4565,0,"TBC"
"Colombia","Colombia",0,"2015-01-12","2015-01-18",7,2015,3,51265841,4506,0,"TBC"
"Colombia","Colombia",0,"2015-01-19","2015-01-25",7,2015,4,51265841,4264,0,"TBC"
"Colombia","Colombia",0,"2015-01-26","2015-02-01",7,2015,5,51265841,4170,0,"TBC"
"Colombia","Colombia",0,"2015-02-02","2015-02-08",7,2015,6,51265841,4072,0,"TBC"
"Colombia","Colombia",0,"2015-02-09","2015-02-15",7,2015,7,51265841,4052,0,"TBC"
"Colombia","Colombia",0,"2015-02-16","2015-02-22",7,2015,8,51265841,4091,0,"TBC"
"Colombia","Colombia",0,"2015-02-23","2015-03-01",7,2015,9,51265841,4112,0,"TBC"
"Colombia","Colombia",0,"2015-03-02","2015-03-08",7,2015,10,51265841,4094,0,"TBC"
"Colombia","Colombia",0,"2015-03-09","2015-03-15",7,2015,11,51265841,4246,0,"TBC"
"Colombia","Colombia",0,"2015-03-16","2015-03-22",7,2015,12,51265841,4057,0,"TBC"
"Colombia","Colombia",0,"2015-03-23","2015-03-29",7,2015,13,51265841,4176,0,"TBC"
"Colombia","Colombia",0,"2015-03-30","2015-04-05",7,2015,14,51265841,4052,0,"TBC"
"Colombia","Colombia",0,"2015-04-06","2015-04-12",7,2015,15,51265841,4047,0,"TBC"
"Colombia","Colombia",0,"2015-04-13","2015-04-19",7,2015,16,51265841,4040,0,"TBC"
"Colombia","Colombia",0,"2015-04-20","2015-04-26",7,2015,17,51265841,4018,0,"TBC"
"Colombia","Colombia",0,"2015-04-27","2015-05-03",7,2015,18,51265841,4167,0,"TBC"
"Colombia","Colombia",0,"2015-05-04","2015-05-10",7,2015,19,51265841,4223,0,"TBC"
"Colombia","Colombia",0,"2015-05-11","2015-05-17",7,2015,20,51265841,4245,0,"TBC"
"Colombia","Colombia",0,"2015-05-18","2015-05-24",7,2015,21,51265841,4142,0,"TBC"
"Colombia","Colombia",0,"2015-05-25","2015-05-31",7,2015,22,51265841,4010,0,"TBC"
"Colombia","Colombia",0,"2015-06-01","2015-06-07",7,2015,23,51265841,4078,0,"TBC"
"Colombia","Colombia",0,"2015-06-08","2015-06-14",7,2015,24,51265841,4119,0,"TBC"
"Colombia","Colombia",0,"2015-06-15","2015-06-21",7,2015,25,51265841,4254,0,"TBC"
"Colombia","Colombia",0,"2015-06-22","2015-06-28",7,2015,26,51265841,4322,0,"TBC"
"Colombia","Colombia",0,"2015-06-29","2015-07-05",7,2015,27,51265841,4346,0,"TBC"
"Colombia","Colombia",0,"2015-07-06","2015-07-12",7,2015,28,51265841,4313,0,"TBC"
"Colombia","Colombia",0,"2015-07-13","2015-07-19",7,2015,29,51265841,4105,0,"TBC"
"Colombia","Colombia",0,"2015-07-20","2015-07-26",7,2015,30,51265841,3945,0,"TBC"
"Colombia","Colombia",0,"2015-07-27","2015-08-02",7,2015,31,51265841,4053,0,"TBC"
"Colombia","Colombia",0,"2015-08-03","2015-08-09",7,2015,32,51265841,4281,0,"TBC"
"Colombia","Colombia",0,"2015-08-10","2015-08-16",7,2015,33,51265841,4067,0,"TBC"
"Colombia","Colombia",0,"2015-08-17","2015-08-23",7,2015,34,51265841,3967,0,"TBC"
"Colombia","Colombia",0,"2015-08-24","2015-08-30",7,2015,35,51265841,4065,0,"TBC"
"Colombia","Colombia",0,"2015-08-31","2015-09-06",7,2015,36,51265841,4205,0,"TBC"
"Colombia","Colombia",0,"2015-09-07","2015-09-13",7,2015,37,51265841,4113,0,"TBC"
"Colombia","Colombia",0,"2015-09-14","2015-09-20",7,2015,38,51265841,4186,0,"TBC"
"Colombia","Colombia",0,"2015-09-21","2015-09-27",7,2015,39,51265841,4190,0,"TBC"
"Colombia","Colombia",0,"2015-09-28","2015-10-04",7,2015,40,51265841,4201,0,"TBC"
"Colombia","Colombia",0,"2015-10-05","2015-10-11",7,2015,41,51265841,4143,0,"TBC"
"Colombia","Colombia",0,"2015-10-12","2015-10-18",7,2015,42,51265841,4022,0,"TBC"
"Colombia","Colombia",0,"2015-10-19","2015-10-25",7,2015,43,51265841,4004,0,"TBC"
"Colombia","Colombia",0,"2015-10-26","2015-11-01",7,2015,44,51265841,4209,0,"TBC"
"Colombia","Colombia",0,"2015-11-02","2015-11-08",7,2015,45,51265841,4138,0,"TBC"
"Colombia","Colombia",0,"2015-11-09","2015-11-15",7,2015,46,51265841,4334,0,"TBC"
"Colombia","Colombia",0,"2015-11-16","2015-11-22",7,2015,47,51265841,4276,0,"TBC"
"Colombia","Colombia",0,"2015-11-23","2015-11-29",7,2015,48,51265841,4260,0,"TBC"
"Colombia","Colombia",0,"2015-11-30","2015-12-06",7,2015,49,51265841,4330,0,"TBC"
"Colombia","Colombia",0,"2015-12-07","2015-12-13",7,2015,50,51265841,4295,0,"TBC"
"Colombia","Colombia",0,"2015-12-14","2015-12-20",7,2015,51,51265841,4273,0,"TBC"
"Colombia","Colombia",0,"2015-12-21","2015-12-27",7,2015,52,51265841,4522,0,"TBC"
"Colombia","Colombia",0,"2015-12-28","2016-01-03",7,2015,53,51265841,4580,0,"TBC"
"Colombia","Colombia",0,"2016-01-04","2016-01-10",7,2016,1,51265841,4442,0,"TBC"
"Colombia","Colombia",0,"2016-01-11","2016-01-17",7,2016,2,51265841,4405,0,"TBC"
"Colombia","Colombia",0,"2016-01-18","2016-01-24",7,2016,3,51265841,4363,0,"TBC"
"Colombia","Colombia",0,"2016-01-25","2016-01-31",7,2016,4,51265841,4222,0,"TBC"
"Colombia","Colombia",0,"2016-02-01","2016-02-07",7,2016,5,51265841,4152,0,"TBC"
"Colombia","Colombia",0,"2016-02-08","2016-02-14",7,2016,6,51265841,4095,0,"TBC"
"Colombia","Colombia",0,"2016-02-15","2016-02-21",7,2016,7,51265841,4108,0,"TBC"
"Colombia","Colombia",0,"2016-02-22","2016-02-28",7,2016,8,51265841,4072,0,"TBC"
"Colombia","Colombia",0,"2016-02-29","2016-03-06",7,2016,9,51265841,4175,0,"TBC"
"Colombia","Colombia",0,"2016-03-07","2016-03-13",7,2016,10,51265841,4206,0,"TBC"
"Colombia","Colombia",0,"2016-03-14","2016-03-20",7,2016,11,51265841,4200,0,"TBC"
"Colombia","Colombia",0,"2016-03-21","2016-03-27",7,2016,12,51265841,4244,0,"TBC"
"Colombia","Colombia",0,"2016-03-28","2016-04-03",7,2016,13,51265841,4066,0,"TBC"
"Colombia","Colombia",0,"2016-04-04","2016-04-10",7,2016,14,51265841,4098,0,"TBC"
"Colombia","Colombia",0,"2016-04-11","2016-04-17",7,2016,15,51265841,4137,0,"TBC"
"Colombia","Colombia",0,"2016-04-18","2016-04-24",7,2016,16,51265841,4196,0,"TBC"
"Colombia","Colombia",0,"2016-04-25","2016-05-01",7,2016,17,51265841,4092,0,"TBC"
"Colombia","Colombia",0,"2016-05-02","2016-05-08",7,2016,18,51265841,4154,0,"TBC"
"Colombia","Colombia",0,"2016-05-09","2016-05-15",7,2016,19,51265841,4301,0,"TBC"
"Colombia","Colombia",0,"2016-05-16","2016-05-22",7,2016,20,51265841,4611,0,"TBC"
"Colombia","Colombia",0,"2016-05-23","2016-05-29",7,2016,21,51265841,4509,0,"TBC"
"Colombia","Colombia",0,"2016-05-30","2016-06-05",7,2016,22,51265841,4549,0,"TBC"
"Colombia","Colombia",0,"2016-06-06","2016-06-12",7,2016,23,51265841,4525,0,"TBC"
"Colombia","Colombia",0,"2016-06-13","2016-06-19",7,2016,24,51265841,4513,0,"TBC"
"Colombia","Colombia",0,"2016-06-20","2016-06-26",7,2016,25,51265841,4484,0,"TBC"
"Colombia","Colombia",0,"2016-06-27","2016-07-03",7,2016,26,51265841,4515,0,"TBC"
"Colombia","Colombia",0,"2016-07-04","2016-07-10",7,2016,27,51265841,4316,0,"TBC"
"Colombia","Colombia",0,"2016-07-11","2016-07-17",7,2016,28,51265841,4295,0,"TBC"
"Colombia","Colombia",0,"2016-07-18","2016-07-24",7,2016,29,51265841,4072,0,"TBC"
"Colombia","Colombia",0,"2016-07-25","2016-07-31",7,2016,30,51265841,4156,0,"TBC"
"Colombia","Colombia",0,"2016-08-01","2016-08-07",7,2016,31,51265841,4143,0,"TBC"
"Colombia","Colombia",0,"2016-08-08","2016-08-14",7,2016,32,51265841,4263,0,"TBC"
"Colombia","Colombia",0,"2016-08-15","2016-08-21",7,2016,33,51265841,4154,0,"TBC"
"Colombia","Colombia",0,"2016-08-22","2016-08-28",7,2016,34,51265841,4019,0,"TBC"
"Colombia","Colombia",0,"2016-08-29","2016-09-04",7,2016,35,51265841,4103,0,"TBC"
"Colombia","Colombia",0,"2016-09-05","2016-09-11",7,2016,36,51265841,4061,0,"TBC"
