"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Ecuador","Ecuador","EC","2018-01-01","2018-01-31",2018,1,17226800,6608,0,"TBC"
"Ecuador","Ecuador","EC","2018-02-01","2018-02-28",2018,2,17226800,5680,0,"TBC"
"Ecuador","Ecuador","EC","2018-03-01","2018-03-31",2018,3,17226800,5988,0,"TBC"
"Ecuador","Ecuador","EC","2018-04-01","2018-04-30",2018,4,17226800,5692,0,"TBC"
"Ecuador","Ecuador","EC","2018-05-01","2018-05-31",2018,5,17226800,5811,0,"TBC"
"Ecuador","Ecuador","EC","2019-01-01","2019-01-31",2019,1,17226800,6637,0,"TBC"
"Ecuador","Ecuador","EC","2019-02-01","2019-02-28",2019,2,17226800,5867,0,"TBC"
"Ecuador","Ecuador","EC","2019-03-01","2019-03-31",2019,3,17226800,6492,0,"TBC"
"Ecuador","Ecuador","EC","2019-04-01","2019-04-30",2019,4,17226800,6071,0,"TBC"
"Ecuador","Ecuador","EC","2019-05-01","2019-05-31",2019,5,17226800,5892,0,"TBC"
"Ecuador","Ecuador","EC","2020-01-01","2020-01-31",2020,1,17226800,6669,0,"TBC"
"Ecuador","Ecuador","EC","2020-02-01","2020-02-29",2020,2,17226800,5993,0,"TBC"
"Ecuador","Ecuador","EC","2020-03-01","2020-03-31",2020,3,17226800,8985,79,"TBC"
"Ecuador","Ecuador","EC","2020-04-01","2020-04-30",2020,4,17226800,18496,821,"TBC"
"Ecuador","Ecuador","EC","2020-05-01","2020-05-31",2020,5,17226800,8252,2458,"TBC"
"Ecuador","Azuay","EC-A","2018-01-01","2018-01-31",2018,1,867200,358,0,"TBC"
"Ecuador","Azuay","EC-A","2018-02-01","2018-02-28",2018,2,867200,316,0,"TBC"
"Ecuador","Azuay","EC-A","2018-03-01","2018-03-31",2018,3,867200,346,0,"TBC"
"Ecuador","Azuay","EC-A","2018-04-01","2018-04-30",2018,4,867200,342,0,"TBC"
"Ecuador","Azuay","EC-A","2018-05-01","2018-05-31",2018,5,867200,318,0,"TBC"
"Ecuador","Azuay","EC-A","2019-01-01","2019-01-31",2019,1,867200,353,0,"TBC"
"Ecuador","Azuay","EC-A","2019-02-01","2019-02-28",2019,2,867200,297,0,"TBC"
"Ecuador","Azuay","EC-A","2019-03-01","2019-03-31",2019,3,867200,310,0,"TBC"
"Ecuador","Azuay","EC-A","2019-04-01","2019-04-30",2019,4,867200,309,0,"TBC"
"Ecuador","Azuay","EC-A","2019-05-01","2019-05-31",2019,5,867200,347,0,"TBC"
"Ecuador","Azuay","EC-A","2020-01-01","2020-01-31",2020,1,867200,360,0,"TBC"
"Ecuador","Azuay","EC-A","2020-02-01","2020-02-29",2020,2,867200,319,0,"TBC"
"Ecuador","Azuay","EC-A","2020-03-01","2020-03-31",2020,3,867200,306,0,"TBC"
"Ecuador","Azuay","EC-A","2020-04-01","2020-04-30",2020,4,867200,327,0,"TBC"
"Ecuador","Azuay","EC-A","2020-05-01","2020-05-31",2020,5,867200,304,0,"TBC"
"Ecuador","Bolívar","EC-B","2018-01-01","2018-01-31",2018,1,208400,91,0,"TBC"
"Ecuador","Bolívar","EC-B","2018-02-01","2018-02-28",2018,2,208400,75,0,"TBC"
"Ecuador","Bolívar","EC-B","2018-03-01","2018-03-31",2018,3,208400,73,0,"TBC"
"Ecuador","Bolívar","EC-B","2018-04-01","2018-04-30",2018,4,208400,74,0,"TBC"
"Ecuador","Bolívar","EC-B","2018-05-01","2018-05-31",2018,5,208400,63,0,"TBC"
"Ecuador","Bolívar","EC-B","2019-01-01","2019-01-31",2019,1,208400,72,0,"TBC"
"Ecuador","Bolívar","EC-B","2019-02-01","2019-02-28",2019,2,208400,74,0,"TBC"
"Ecuador","Bolívar","EC-B","2019-03-01","2019-03-31",2019,3,208400,82,0,"TBC"
"Ecuador","Bolívar","EC-B","2019-04-01","2019-04-30",2019,4,208400,55,0,"TBC"
"Ecuador","Bolívar","EC-B","2019-05-01","2019-05-31",2019,5,208400,68,0,"TBC"
"Ecuador","Bolívar","EC-B","2020-01-01","2020-01-31",2020,1,208400,63,0,"TBC"
"Ecuador","Bolívar","EC-B","2020-02-01","2020-02-29",2020,2,208400,84,0,"TBC"
"Ecuador","Bolívar","EC-B","2020-03-01","2020-03-31",2020,3,208400,49,0,"TBC"
"Ecuador","Bolívar","EC-B","2020-04-01","2020-04-30",2020,4,208400,102,0,"TBC"
"Ecuador","Bolívar","EC-B","2020-05-01","2020-05-31",2020,5,208400,72,0,"TBC"
"Ecuador","Carchi","EC-C","2018-01-01","2018-01-31",2018,1,185500,47,0,"TBC"
"Ecuador","Carchi","EC-C","2018-02-01","2018-02-28",2018,2,185500,61,0,"TBC"
"Ecuador","Carchi","EC-C","2018-03-01","2018-03-31",2018,3,185500,52,0,"TBC"
"Ecuador","Carchi","EC-C","2018-04-01","2018-04-30",2018,4,185500,43,0,"TBC"
"Ecuador","Carchi","EC-C","2018-05-01","2018-05-31",2018,5,185500,56,0,"TBC"
"Ecuador","Carchi","EC-C","2019-01-01","2019-01-31",2019,1,185500,62,0,"TBC"
"Ecuador","Carchi","EC-C","2019-02-01","2019-02-28",2019,2,185500,57,0,"TBC"
"Ecuador","Carchi","EC-C","2019-03-01","2019-03-31",2019,3,185500,57,0,"TBC"
"Ecuador","Carchi","EC-C","2019-04-01","2019-04-30",2019,4,185500,57,0,"TBC"
"Ecuador","Carchi","EC-C","2019-05-01","2019-05-31",2019,5,185500,62,0,"TBC"
"Ecuador","Carchi","EC-C","2020-01-01","2020-01-31",2020,1,185500,56,0,"TBC"
"Ecuador","Carchi","EC-C","2020-02-01","2020-02-29",2020,2,185500,57,0,"TBC"
